Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,45,6,39,0,-310.89
ATR,H12,2,0,2,0,-129.32
ATR,M15,163,27,135,0,457.3
ATR,M30,93,15,78,0,-118.40999999999998
ATR/FVG,H1,2,1,1,0,79.74
Div,D1,1,0,1,0,-134.15
Div,H1,282,37,245,0,-2502.84
Div,H12,15,0,15,0,-914.72
Div,M15,354,41,313,0,-1618.6
Div,M30,295,26,269,0,-2791.57
Div/ATR,H1,1,0,1,0,-41.71
Div/ATR,M15,3,0,3,0,-42.94
Div/FVG,H1,1,0,1,0,-64.36
Div/FollowDiv,H1,5,1,4,0,31.11
Div/FollowDiv,M15,12,1,11,0,77.18
Div/FollowDiv,M30,12,1,11,0,-61.83000000000001
FVG,D1,8,0,6,0,-716.56
FVG,H1,2507,458,2034,0,-393.5599999999999
FVG,H12,66,9,37,0,-39.61000000000004
FVG,M15,5364,811,4544,0,-17496.73
FVG,M30,3990,637,3340,0,-8169.17
FVG/ATR,H1,11,4,7,0,356.68
FVG/ATR,M15,14,3,11,0,87.6
FVG/ATR,M30,16,3,13,0,29.4
FVG/Div,D1,4,0,4,0,-532.6899999999999
FVG/Div,H1,19,2,17,0,-110.55999999999999
FVG/Div,M15,43,4,39,0,-433.24
FVG/Div,M30,23,2,21,0,-247.99
FVG/FVG,H1,119,53,66,0,1988.37
FVG/Fibo,H12,2,1,1,0,-32.84
FVG/FollowDiv,H1,10,1,9,0,-72.46999999999998
FVG/FollowDiv,M15,40,6,34,0,-89.57
FVG/FollowDiv,M30,28,4,24,0,-257.52000000000004
FVG/FollowDiv/FVG,H1,2,2,0,0,297.12
Fibo,D1,1,1,0,0,249.95
Fibo,H1,6,0,6,0,-42.24
Fibo,H12,2,0,2,0,-75.0
Fibo,M15,14,5,9,0,-14.080000000000002
Fibo,M30,1,0,1,0,-0.86
Fibo/ATR,M15,1,1,0,0,33.08
FollowDiv,D1,5,0,5,0,-421.83
FollowDiv,H1,90,12,78,0,134.02999999999994
FollowDiv,H12,8,0,8,0,-716.62
FollowDiv,M15,508,83,425,0,1171.06
FollowDiv,M30,200,35,165,0,414.87
FollowDiv/ATR,M15,1,0,1,0,-5.15
FollowDiv/ATR,M30,1,0,1,0,-16.08
FollowDiv/FVG,H1,3,0,3,0,-89.06
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
