Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,52,14,38,0,56.529999999999994,56.529999999999994
2025-04,691,93,598,0,-2392.03,-2335.5
2025-05,748,57,691,0,-8471.27,-10806.77
2025-06,432,53,379,0,-1731.82,-12538.59
2025-07,284,68,216,0,771.67,-11766.92
2025-08,230,43,187,0,-820.58,-12587.5
2025-09,295,73,222,0,1182.05,-11405.45
2025-10,916,157,759,0,4515.3,-6890.150000000001
2025-11,840,153,687,0,-1092.25,-7982.400000000001
2025-12,706,136,570,0,-306.9999999999999,-8289.4
2026-01,943,115,828,0,-13369.82,-21659.22
2026-02,1212,182,1030,0,-10071.86,-31731.08
2026-03,1380,224,1156,0,-11001.71,-42732.79
2026-04,1091,169,913,0,-5206.95,-47939.74
2026-05,1223,279,944,0,7047.35,-40892.39
2026-06,1083,213,863,0,5901.31,-34991.08
2026-07,1055,227,827,0,4573.17,-30417.910000000003
2026-08,1028,173,855,0,-1265.05,-31682.960000000003
2026-09,672,134,490,0,2867.9,-28815.06
