Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,77,17,60,0,4.319999999999998,4.319999999999998
2025-04,242,45,197,0,-204.96,-200.64000000000001
2025-05,282,55,227,0,-1186.5,-1387.14
2025-06,220,54,166,0,822.32,-564.82
2025-07,282,69,213,0,785.6800000000001,220.86
2025-08,216,45,171,0,-467.74,-246.88
2025-09,284,53,231,0,-1260.3899999999999,-1507.27
2025-10,293,29,264,0,-4244.0,-5751.27
2025-11,254,81,173,0,947.8000000000001,-4803.47
2025-12,270,59,211,0,-1129.64,-5933.110000000001
2026-01,292,44,248,0,-3759.3999999999996,-9692.51
2026-02,273,47,226,0,-4741.35,-14433.86
2026-03,296,65,231,0,-1729.19,-16163.050000000001
2026-04,252,61,191,0,-234.19,-16397.24
2026-05,316,63,253,0,-1999.9199999999998,-18397.16
2026-06,309,39,270,0,-3929.27,-22326.43
2026-07,261,72,189,0,218.14999999999998,-22108.28
2026-08,327,56,271,0,-3373.01,-25481.29
2026-09,184,45,128,0,-97.53999999999994,-25578.83
