bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4509.08,2026-06-01 19:00:00,4498.36,2026-06-01 17:15:00,4509.08,M1,,10.72,SL,,,,,,BUY,,,1,M1 4509.08,-6.41,0.0,PNL_DIFF_SAME_BUCKET,4502.665,2026-06-01 18:38:57,,4498.36,M15_S1_P6,2026-06-01 18:21:20,,,,17.62,[sl 4504.31],,2.21,3.17,6.19,6.05,BUY,,,,,,,,,535508735,,,LOOSE,663.33,,,,,,,,,,,6.9,False,MISMATCH,66.33
4495.98,2026-06-01 15:15:00,4504.64,2026-06-01 14:15:00,,,,-8.66,S1_SWING_EXIT,,,,,,BUY,,,,,10.51,0.0,CLOSE_BUCKET_DIFF,4506.4875,2026-06-01 15:33:29,,4504.64,M15_S1_P6,2026-06-01 15:22:27,,,,7.59,[sl 4505.80],,2.07,3.1,1.21,1.21,BUY,,,,,,,,,535406661,,,LOOSE,674.5,,,,,,,,,,,16.25,False,MISMATCH,67.45
4484.27,2026-06-01 20:00:00,4509.26,2026-06-01 19:00:00,,,,24.99,S1_FORWARD_EXIT,,,,,,SELL,,,,,20.05,0.0,CLOSE_BUCKET_DIFF,4504.32,2026-06-01 20:24:34,,4509.26,M15_S1_P3,2026-06-01 20:10:06,,,,19.8,[sl 4502.24],,2.64,3.94,6.19,7.03,SELL,,,,,,,,,535557830,,,LOOSE,701.0,,,,,,,,,,,-5.19,False,MISMATCH,70.1
4519.37,2026-06-01 10:00:00,4540.79,2026-06-01 07:45:00,,,,21.42,TP,,,,,,SELL,,,,,12.02,4.71,CLOSE_BUCKET_DIFF,4531.39,2026-06-01 09:33:19,,4536.08,M15_S1_P6,2026-06-01 09:21:36,,,,18.76,[sl 4529.92],,2.41,3.83,6.36,6.16,SELL,,,,,,,,,535227923,,,LOOSE,970.71,,,,,,,,,,,-2.66,False,MISMATCH,96.6
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4540.965,2026-06-01 07:45:35,,4539.18,M15_S1_P1,2026-06-01 07:35:08,,,,8.5,[sl 4540.32],,2.47,3.07,1.48,1.48,BUY,,,,,,,,,535198535,,,,,4504.64,34.54,2026-06-01 14:15:00,S1_SWING_EXIT,399.87,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4518.19,2026-06-01 13:41:42,,4516.43,M15_S1_P1,2026-06-01 13:32:19,,,,7.119999999999999,[sl 4517.42],,2.08,3.02,1.01,1.01,BUY,,,,,,,,,535341126,,,,,4504.64,11.79,2026-06-01 14:15:00,S1_SWING_EXIT,42.68,,,,,,,,LIVE_ONLY,
4497.9,2026-06-01 17:15:00,4498.06,2026-06-01 16:30:00,,,,0.16,SL,,,,,,SELL,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4509.26,11.2,2026-06-01 20:10:06,[sl 4502.24],220.1,,,BACKTEST_ONLY,
