Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1431,187,1244,0,564.2,564.2
2025-04,4228,638,3590,0,1206.48,1770.68
2025-05,4558,575,3983,0,-1936.26,-165.57999999999993
2025-06,4501,562,3939,0,-698.83,-864.41
2025-07,5002,585,4417,0,-1028.5500000000002,-1892.96
2025-08,4585,558,4027,0,-2130.45,-4023.41
2025-09,4256,707,3549,0,6950.83,2927.42
2025-10,4753,616,4137,0,1804.6300000000003,4732.05
2025-11,4376,727,3649,0,7474.92,12206.970000000001
2025-12,4760,675,4085,0,5974.87,18181.84
2026-01,4624,709,3915,0,10027.45,28209.29
2026-02,4570,558,4012,0,-2536.0499999999997,25673.24
2026-03,4563,538,4025,0,-2364.7299999999996,23308.510000000002
2026-04,4533,573,3956,0,-708.6900000000002,22599.820000000003
2026-05,4841,648,4193,0,-3865.29,18734.530000000002
2026-06,4701,595,4106,0,-4537.94,14196.590000000004
2026-07,5150,656,4481,0,-684.1400000000003,13512.450000000004
2026-08,4433,514,3919,0,-5249.5599999999995,8262.890000000005
2026-09,2924,423,2481,0,6124.28,14387.170000000006
