bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.7,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-28.48,SL Guard Group a,,-7.12,-7.12,-7.12,-7.12,SELL,,,,,,,,,540243199,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.77,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-28.76,SL Guard Group a,,-7.19,-7.19,-7.19,-7.19,SELL,,,,,,,,,540246945,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.83,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-29.0,SL Guard Group a,,-7.25,-7.25,-7.25,-7.25,SELL,,,,,,,,,540250459,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.83,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-29.0,SL Guard Group a,,-7.25,-7.25,-7.25,-7.25,SELL,,,,,,,,,540253200,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4295.63,2026-06-09 22:43:44,,4306.14,M1_S16_FVG,2026-06-09 22:41:04,,,,-41.76,SL Guard Group a,,-10.44,-10.44,-10.44,-10.44,BUY,,,,,,,,,540354670,,,,,4315.36,9.22,2026-06-09 21:23:00,SL,78.07,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4272.857499999999,2026-06-09 23:31:50,,4284.92,M1_S16_FVG,2026-06-09 23:26:18,,,,-48.010000000000005,[sl 4268.15],,2.12,-16.71,-16.71,-16.71,BUY,,,,,,,,,540376331,,,,,4315.36,30.44,2026-06-09 21:23:00,SL,123.3,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4272.5075,2026-06-09 23:31:52,,4284.92,M1_S16_FVG,2026-06-09 23:26:18,,,,-49.41,[sl 4267.69],,2.1,-17.17,-17.17,-17.17,BUY,,,,,,,,,540380766,,,,,4315.36,30.44,2026-06-09 21:23:00,SL,123.3,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4272.912499999999,2026-06-09 23:31:50,,4284.92,M1_S16_FVG,2026-06-09 23:26:18,,,,-47.79,[sl 4268.42],,1.53,-16.44,-16.44,-16.44,BUY,,,,,,,,,540385746,,,,,4315.36,30.44,2026-06-09 21:23:00,SL,123.3,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4273.115,2026-06-09 23:31:50,,4284.92,M1_S16_FVG,2026-06-09 23:26:18,,,,-46.980000000000004,[sl 4268.73],,1.41,-16.13,-16.13,-16.13,BUY,,,,,,,,,540387723,,,,,4315.36,30.44,2026-06-09 21:23:00,SL,123.3,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4166.0650000000005,2026-06-10 19:05:17,,4174.22,M1_S16_FVG,2026-06-10 17:39:04,,,,-32.3,[sl 4155.08],,2.46,3.36,-19.06,-19.06,BUY,,,,,,,,,541327920,,,,,4139.96,34.26,2026-06-10 19:27:00,SL,107.93,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4134.89,2026-06-10 21:17:25,,4139.96,M1_S16_FVG,2026-06-10 21:16:22,,,,-20.12,SL Guard Group a,,-5.03,-5.03,-5.03,-5.03,BUY,,,,,,,,,541463497,,,,,4139.96,0.0,2026-06-10 19:27:00,SL,109.37,,,LIVE_ONLY,
