bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4132.22,2026-06-10 19:27:00,4139.96,2026-06-10 19:27:00,,,,-7.74,SL,,,,,,BUY,,,,,17.69,0.0,CLOSE_BUCKET_DIFF,4149.9125,2026-06-10 20:30:05,,4139.96,M1_S16_FVG,2026-06-10 20:27:03,,,,39.93,[tp 4152.56],,2.04,12.63,12.63,12.63,BUY,,,,,,,,,541438137,,,LOOSE,600.5,,,,,,47.67,False,MISMATCH,60.05
4303.91,2026-06-09 21:39:00,4315.36,2026-06-09 21:23:00,,,,-11.45,SL,,,,,,BUY,,,,,4.19,0.0,PNL_DIFF_SAME_BUCKET,4308.105,2026-06-09 22:43:39,,4315.36,M1_S16_FVG,2026-06-09 22:30:13,,,,-28.580000000000005,[sl 4297.65],,2.65,3.97,-17.6,-17.6,BUY,,,,,,,,,540331709,,,LOOSE,672.17,,,,,,-17.13,False,MISMATCH,67.22
4159.2,2026-06-10 17:07:00,4174.22,2026-06-10 15:18:00,,,,-15.02,SL,,,,,,BUY,,,,,13.47,0.0,LOOSE_MATCH_SL_GUARD,4172.6725,2026-06-10 17:27:33,,4174.22,M1_S16_FVG,2026-06-10 16:37:08,,,,-5.99,SL Guard Group a,,2.16,3.15,-5.65,-5.65,BUY,,,,,,,,,541294355,,,LOOSE,791.33,,,,,,9.03,False,MISMATCH,79.13
4344.57,2026-06-09 20:00:00,4342.95,2026-06-09 19:09:00,,,,-1.62,SL,,,,,,SELL,,,,,-3.47,0.31,PNL_DIFF_SAME_BUCKET,4341.1,2026-06-09 21:48:06,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.68,[sl 4347.06],,2.48,3.9,6.09,-3.79,SELL,,,,,,,,,540185881,,,LOOSE,978.98,,,,,,10.3,False,MISMATCH,97.87
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.165,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.420000000000002,SL Guard Group a,,2.49,3.98,6.11,-4.16,SELL,,,,,,,,,540188223,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.1675,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.41,SL Guard Group a,,2.48,3.98,6.11,-4.16,SELL,,,,,,,,,540189573,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.155000000001,2026-06-09 21:48:13,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.46,[sl 4347.39],,2.48,3.99,6.11,-4.12,SELL,,,,,,,,,540190628,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.135,2026-06-09 21:48:13,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.54,[sl 4347.30],,2.48,3.98,6.11,-4.03,SELL,,,,,,,,,540192153,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.1875,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.330000000000002,SL Guard Group a,,2.48,3.92,6.11,-4.18,SELL,,,,,,,,,540195855,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.205,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.26,SL Guard Group a,,2.49,3.93,6.09,-4.25,SELL,,,,,,,,,540196544,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.2075,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.25,SL Guard Group a,,2.49,3.93,6.1,-4.27,SELL,,,,,,,,,540197914,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.205,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.26,SL Guard Group a,,2.49,3.93,6.1,-4.26,SELL,,,,,,,,,540199838,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.2025,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:52,,,,8.27,SL Guard Group a,,2.49,3.93,6.1,-4.25,SELL,,,,,,,,,540200626,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4341.169999999999,2026-06-09 21:48:14,,4343.26,M1_S16_FVG,2026-06-09 20:46:54,,,,8.360000000000001,SL Guard Group a,,2.48,3.92,6.11,-4.15,SELL,,,,,,,,,540203524,,,,,4342.95,0.31,2026-06-09 19:09:00,SL,97.9,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4339.7925,2026-06-09 21:48:14,,4341.17,M1_S16_FVG,2026-06-09 21:02:07,,,,5.589999999999998,SL Guard Group a,,2.52,3.26,6.05,-6.24,SELL,,,,,,,,,540212972,,,,,4342.95,1.78,2026-06-09 19:09:00,SL,113.12,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4339.2325,2026-06-09 21:48:14,,4340.35,M1_S16_FVG,2026-06-09 21:16:05,,,,4.47,SL Guard Group a,,2.42,3.1,6.08,-7.13,SELL,,,,,,,,,540223852,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,127.08,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.55,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-27.88,SL Guard Group a,,-6.97,-6.97,-6.97,-6.97,SELL,,,,,,,,,540232304,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.55,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-27.88,SL Guard Group a,,-6.97,-6.97,-6.97,-6.97,SELL,,,,,,,,,540235528,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.61,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-28.12,SL Guard Group a,,-7.03,-7.03,-7.03,-7.03,SELL,,,,,,,,,540239378,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4347.61,2026-06-09 21:48:15,,4340.35,M1_S16_FVG,2026-06-09 21:47:34,,,,-28.12,SL Guard Group a,,-7.03,-7.03,-7.03,-7.03,SELL,,,,,,,,,540241347,,,,,4342.95,2.6,2026-06-09 19:09:00,SL,158.57,,,LIVE_ONLY,
