target_af,window_days,component_no,component_type,component_name,weight,raw_trades,derived_window,pnl,pnl_per_day
AF51,30,0,base,S88,,,yes,9046.29001,301.543
AF51,30,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,,yes,2031.64584,67.721528
AF51,30,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,,yes,0.0,0.0
AF51,30,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,,yes,1609.2978,53.64326
AF51,30,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,,yes,855.06848,28.502283
AF51,30,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,,yes,2293.99808,76.466603
AF51,30,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,,yes,1038.4212,34.61404
AF51,30,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,,yes,-1172.72286,-39.090762
AF51,30,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,,yes,1274.2077,42.47359
AF51,30,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,,yes,1531.08765,51.036255
AF51,30,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,,yes,977.58277,32.586092
AF51,30,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,,yes,472.63708,15.754569
AF51,30,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,,yes,1088.73529,36.291176
AF51,30,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,,yes,0.0,0.0
AF51,30,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,,yes,0.0,0.0
AF51,30,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,,yes,685.72729,22.857576
AF51,30,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,,yes,0.0,0.0
AF51,30,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,,yes,0.0,0.0
AF51,30,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,,yes,675.48888,22.516296
AF51,30,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,,yes,-162.39015,-5.413005
AF51,30,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,,yes,0.0,0.0
AF51,30,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,,yes,0.0,0.0
AF51,30,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,,yes,1547.52426,51.584142
AF51,30,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,,yes,-2531.10358,-84.370119
AF51,30,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,,yes,952.37513,31.745838
AF51,30,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,,yes,0.0,0.0
AF51,30,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,,yes,0.0,0.0
AF51,30,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,,yes,0.0,0.0
AF51,30,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,,yes,1393.6125,46.45375
AF51,30,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,,yes,4377.68757,145.922919
AF51,30,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,,yes,3239.25448,107.975149
AF51,30,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,,yes,2202.2315,73.407717
AF51,30,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,,yes,3736.3728,124.54576
AF51,30,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,,yes,1739.77342,57.992447
AF51,30,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,,yes,1686.7928,56.226427
AF51,30,35,overlay,AMBFIX_DIR_S84c889_RD4.0_5.0_H19,70.685,,yes,452.384,15.079467
AF51,30,36,overlay,AMBFIX_DIR_S84c889_RD4.0_5.0_H17,215.498,,yes,-1870.52264,-62.350755
AF51,30,37,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H18,434.774,,yes,2799.94456,93.331485
AF51,30,38,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H11,888.785,,yes,0.0,0.0
AF51,30,39,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H20,286.625,,yes,1788.54,59.618
AF51,30,40,overlay,AMBFIX_INV_S84c889_RD2.0_2.7_H18,168.714,,yes,590.499,19.6833
AF51,30,41,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H16,106.536,,yes,1223.03328,40.767776
AF51,30,42,overlay,AMBFIX_DIR_S84c889_RD5.0_7.0_H15,32.734,,yes,469.40556,15.646852
AF51,30,43,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H22,124.801,,yes,0.0,0.0
AF51,30,44,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H14,125.633,,yes,-6880.91941,-229.36398
AF51,30,45,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H15,31.539,,yes,-708.68133,-23.622711
AF51,30,46,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H11,23.755,,yes,1051.63385,35.054462
AF51,30,47,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H13,145.72,,yes,0.0,0.0
AF51,30,48,overlay,AMBFIX_INV_S86RUNc7171_ALL_H17,35.801,,yes,-1338.24138,-44.608046
AF51,30,49,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H10,17.894,,yes,0.0,0.0
AF51,30,50,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H20,7.112,,yes,179.79136,5.993045
AF51,30,51,overlay,AMBFIX_INV_S86RUNc7171_ALL_H18,20.491,,yes,0.0,0.0
AF51,60,0,base,S88,,,yes,20326.4298,338.77383
AF51,60,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,,yes,2128.39088,35.473181
AF51,60,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,,yes,-2742.36044,-45.706007
AF51,60,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,,yes,2295.8331,38.263885
AF51,60,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,,yes,2278.64693,37.977449
AF51,60,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,,yes,3626.73276,60.445546
AF51,60,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,,yes,2119.0908,35.31818
AF51,60,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,,yes,2280.86847,38.014474
AF51,60,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,,yes,1778.07248,29.634541
AF51,60,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,,yes,750.44205,12.507367
AF51,60,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,,yes,1972.1301,32.868835
AF51,60,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,,yes,1269.52518,21.158753
AF51,60,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,,yes,1082.78,18.046333
AF51,60,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,,yes,1424.27352,23.737892
AF51,60,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,,yes,-154.71568,-2.578595
AF51,60,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,,yes,-590.00792,-9.833465
AF51,60,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,,yes,2156.29304,35.938217
AF51,60,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,,yes,-518.6029,-8.643382
AF51,60,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,,yes,959.50125,15.991688
AF51,60,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,,yes,-162.39015,-2.706503
AF51,60,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,,yes,-3509.382,-58.4897
AF51,60,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,,yes,0.0,0.0
AF51,60,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,,yes,1547.52426,25.792071
AF51,60,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,,yes,-693.12237,-11.55204
AF51,60,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,,yes,986.80697,16.446783
AF51,60,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,,yes,-268.61003,-4.476834
AF51,60,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,,yes,0.0,0.0
AF51,60,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,,yes,0.0,0.0
AF51,60,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,,yes,1393.6125,23.226875
AF51,60,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,,yes,8146.75191,135.779199
AF51,60,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,,yes,3239.25448,53.987575
AF51,60,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,,yes,2202.2315,36.703858
AF51,60,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,,yes,1971.42828,32.857138
AF51,60,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,,yes,-17.48516,-0.291419
AF51,60,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,,yes,1686.7928,28.113213
AF51,60,35,overlay,AMBFIX_DIR_S84c889_RD4.0_5.0_H19,70.685,,yes,815.7049,13.595082
AF51,60,36,overlay,AMBFIX_DIR_S84c889_RD4.0_5.0_H17,215.498,,yes,-2945.85766,-49.097628
AF51,60,37,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H18,434.774,,yes,2799.94456,46.665743
AF51,60,38,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H11,888.785,,yes,0.0,0.0
AF51,60,39,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H20,286.625,,yes,1788.54,29.809
AF51,60,40,overlay,AMBFIX_INV_S84c889_RD2.0_2.7_H18,168.714,,yes,590.499,9.84165
AF51,60,41,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H16,106.536,,yes,1223.03328,20.383888
AF51,60,42,overlay,AMBFIX_DIR_S84c889_RD5.0_7.0_H15,32.734,,yes,413.10308,6.885051
AF51,60,43,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H22,124.801,,yes,0.0,0.0
AF51,60,44,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H14,125.633,,yes,-2399.5903,-39.993172
AF51,60,45,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H15,31.539,,yes,2381.82528,39.697088
AF51,60,46,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H11,23.755,,yes,1714.87345,28.581224
AF51,60,47,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H13,145.72,,yes,0.0,0.0
AF51,60,48,overlay,AMBFIX_INV_S86RUNc7171_ALL_H17,35.801,,yes,1311.03262,21.850544
AF51,60,49,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H10,17.894,,yes,1556.59906,25.943318
AF51,60,50,overlay,AMBFIX_DIR_S86RUNc7171_ALL_H20,7.112,,yes,1353.34248,22.555708
AF51,60,51,overlay,AMBFIX_INV_S86RUNc7171_ALL_H18,20.491,,yes,0.0,0.0
AF51,90,0,base,S88,,,no,42622.95059,473.58834
AF51,90,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,12,no,4464.09256,49.601028
AF51,90,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,16,no,4048.62108,44.984679
AF51,90,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,17,no,4707.3191,52.303546
AF51,90,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,12,no,3683.79718,40.93108
AF51,90,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,9,no,3525.71864,39.174652
AF51,90,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,8,no,3728.9772,41.43308
AF51,90,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,9,no,1100.39634,12.226626
AF51,90,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,14,no,2195.82642,24.398071
AF51,90,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,7,no,703.97505,7.821945
AF51,90,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,8,no,-1365.64708,-15.173856
AF51,90,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,6,no,3036.41845,33.737983
AF51,90,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,19,no,120.72997,1.341444
AF51,90,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,1,no,1424.27352,15.825261
AF51,90,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,8,no,533.21654,5.924628
AF51,90,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,6,no,-21.96838,-0.244093
AF51,90,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,10,no,4227.21964,46.969107
AF51,90,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,13,no,-47.4595,-0.527328
AF51,90,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,13,no,1355.24221,15.058247
AF51,90,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,6,no,-4.6265,-0.051406
