target_af,window_days,component_no,component_type,component_name,weight,raw_trades,derived_window,pnl,pnl_per_day
AF22,30,0,base,S88,,,yes,9046.29001,301.543
AF22,30,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,,yes,2031.64584,67.721528
AF22,30,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,,yes,0.0,0.0
AF22,30,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,,yes,1609.2978,53.64326
AF22,30,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,,yes,855.06848,28.502283
AF22,30,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,,yes,2293.99808,76.466603
AF22,30,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,,yes,1038.4212,34.61404
AF22,30,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,,yes,-1172.72286,-39.090762
AF22,30,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,,yes,1274.2077,42.47359
AF22,30,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,,yes,1531.08765,51.036255
AF22,30,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,,yes,977.58277,32.586092
AF22,30,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,,yes,472.63708,15.754569
AF22,30,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,,yes,1088.73529,36.291176
AF22,30,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,,yes,0.0,0.0
AF22,30,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,,yes,0.0,0.0
AF22,30,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,,yes,685.72729,22.857576
AF22,30,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,,yes,0.0,0.0
AF22,30,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,,yes,0.0,0.0
AF22,30,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,,yes,675.48888,22.516296
AF22,30,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,,yes,-162.39015,-5.413005
