target_af,window_days,component_no,component_name,family,entry_tf,mode,rd_min,rd_max,fill_hour,weight,orders,pnl_per_001lot,pnl_weighted_full,lot_max,max_dd_pct,skipped_by_cb,ambiguous,m1_sl,m1_tp,unresolved
AF170,730,17,AMBFIX_INV_S84_RD5.0_7.0_H8,s84,M15,inverse,5.0,7.0,8,86.29,34,40.35,3481.8015,0.01,1.53,6,1522,745,719,58
AF170,730,18,AMBFIX_DIR_S84_RD4.0_5.0_H14,s84,M15,direct,4.0,5.0,14,85.289,20,-2.3,-196.1647,0.01,1.81,10,1522,745,719,58
AF170,730,19,AMBFIX_INV_S84_RD3.4_4.0_H10,s84,M15,inverse,3.4,4.0,10,46.265,18,1.43,66.15895,0.01,0.71,0,1522,745,719,58
AF170,730,20,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,584.897,31,-17.8,-10411.1666,0.01,3.23,16,47,24,20,3
AF170,730,21,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,s84,M30,direct,5.0,7.0,10,344.492,22,5.82,2004.94344,0.01,2.4,10,47,24,20,3
AF170,730,22,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,s84,M30,direct,5.0,7.0,14,244.089,44,20.43,4986.73827,0.01,2.92,20,47,24,20,3
AF170,730,23,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,s84,M30,inverse,5.0,7.0,16,344.837,33,44.18,15234.89866,0.01,2.21,10,47,24,20,3
AF170,730,24,AMBFIX_DIR_S84c6017_ALL_H12,s84,M30,direct,,,12,23.911,186,216.17,5168.84087,0.04,8.27,70,47,24,20,3
AF170,730,25,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,s84,M30,inverse,5.0,7.0,11,121.543,35,38.94,4732.88442,0.01,2.9,10,48,25,20,3
AF170,730,26,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,s84,M30,direct,5.0,7.0,14,114.571,45,2.17,248.61907,0.01,3.59,18,48,25,20,3
AF170,730,27,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,s84,M30,inverse,5.0,7.0,11,415.734,30,22.91,9524.46594,0.01,2.28,6,57,27,28,2
AF170,730,28,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,s84,M30,inverse,5.0,7.0,22,222.978,49,9.97,2223.09066,0.01,2.82,10,57,27,28,2
AF170,730,29,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,s84,M15,direct,4.0,5.0,19,733.281,52,28.87,21169.82247,0.01,1.84,20,174,103,65,6
AF170,730,30,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,s84,M15,inverse,2.7,3.4,13,525.853,62,49.88,26229.54764,0.02,4.22,10,174,103,65,6
AF170,730,31,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,s84,M15,inverse,3.4,4.0,11,321.025,26,-8.42,-2703.0305,0.01,2.61,10,174,103,65,6
AF170,730,32,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,s84,M15,direct,2.7,3.4,9,491.628,52,26.53,13042.89084,0.02,4.68,20,225,132,87,6
AF170,730,33,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,s84,M15,direct,3.4,4.0,13,437.129,34,-4.11,-1796.60019,0.01,1.66,20,225,132,87,6
AF170,730,34,AMBFIX_INV_S84c889_RD2.7_3.4_H13,s84,M15,inverse,2.7,3.4,13,273.83,51,79.91,21881.7553,0.02,3.79,10,225,132,87,6
AF170,730,35,AMBFIX_DIR_S84c889_RD4.0_5.0_H19,s84,M15,direct,4.0,5.0,19,70.685,49,45.65,3226.77025,0.01,1.74,20,225,132,87,6
AF170,730,36,AMBFIX_DIR_S84c889_RD4.0_5.0_H17,s84,M15,direct,4.0,5.0,17,215.498,51,-11.07,-2385.56286,0.01,3.24,21,225,132,87,6
AF170,730,37,AMBFIX_DIR_S84c889_RD2.7_3.4_H18,s84,M15,direct,2.7,3.4,18,434.774,56,15.38,6686.82412,0.02,2.74,20,225,132,87,6
AF170,730,38,AMBFIX_DIR_S84c889_RD2.7_3.4_H11,s84,M15,direct,2.7,3.4,11,888.785,37,25.26,22450.7091,0.02,1.97,10,225,132,87,6
AF170,730,39,AMBFIX_DIR_S84c889_RD2.7_3.4_H20,s84,M15,direct,2.7,3.4,20,286.625,57,-27.93,-8005.43625,0.02,5.36,30,225,132,87,6
AF170,730,40,AMBFIX_INV_S84c889_RD2.0_2.7_H18,s84,M15,inverse,2.0,2.7,18,168.714,67,-9.79,-1651.71006,0.03,5.13,30,225,132,87,6
AF170,730,41,AMBFIX_INV_S84c889_RD2.7_3.4_H16,s84,M15,inverse,2.7,3.4,16,106.536,56,-49.97,-5323.60392,0.02,7.49,20,225,132,87,6
AF170,730,42,AMBFIX_DIR_S84c889_RD5.0_7.0_H15,s84,M15,direct,5.0,7.0,15,32.734,64,55.26,1808.88084,0.01,2.63,20,225,132,87,6
AF170,730,43,AMBFIX_DIR_S86RUNc7171_ALL_H22,s86,M30,direct,,,22,124.801,21,208.25,25989.80825,0.01,5.16,10,3,1,1,1
AF170,730,44,AMBFIX_DIR_S86RUNc7171_ALL_H14,s86,M30,direct,,,14,125.633,31,25.99,3265.20167,0.01,4.57,15,3,1,1,1
AF170,730,45,AMBFIX_DIR_S86RUNc7171_ALL_H15,s86,M30,direct,,,15,31.539,32,222.29,7010.80431,0.01,6.6,10,3,1,1,1
AF170,730,46,AMBFIX_DIR_S86RUNc7171_ALL_H11,s86,M30,direct,,,11,23.755,25,-72.5,-1722.2375,0.01,7.65,18,3,1,1,1
AF170,730,47,AMBFIX_DIR_S86RUNc7171_ALL_H13,s86,M30,direct,,,13,145.72,27,4.73,689.2556,0.02,3.95,16,3,1,1,1
AF170,730,48,AMBFIX_INV_S86RUNc7171_ALL_H17,s86,M30,inverse,,,17,35.801,20,-12.18,-436.05618,0.02,5.35,10,3,1,1,1
AF170,730,49,AMBFIX_DIR_S86RUNc7171_ALL_H10,s86,M30,direct,,,10,17.894,21,256.96,4598.04224,0.01,4.66,0,3,1,1,1
AF170,730,50,AMBFIX_DIR_S86RUNc7171_ALL_H20,s86,M30,direct,,,20,7.112,55,117.22,833.66864,0.01,16.68,30,3,1,1,1
AF170,730,51,AMBFIX_INV_S86RUNc7171_ALL_H18,s86,M30,inverse,,,18,20.491,37,74.62,1529.03842,0.02,6.48,10,3,1,1,1
AF170,730,52,AMBFIX_DIR_S86RUNc7187_ALL_H11,s86,M30,direct,,,11,24.114,20,156.69,3778.42266,0.01,3.96,10,1,0,0,1
AF170,730,53,AMBFIX_DIR_S86RUNc4227_ALL_H16,s86,M30,direct,,,16,56.402,36,0.47,26.50894,0.02,4.68,20,3,1,2,0
AF170,730,54,AMBFIX_DIR_S86RUNc6275_ALL_H14,s86,M30,direct,,,14,136.45,36,-4.81,-656.3245,0.02,4.33,17,3,1,2,0
AF170,730,55,AMBFIX_INV_S84RUNc889_3.4-4.0_H12,s84,M15,inverse,,,12,402.161,508,-0.24,-96.51864,0.18,15.3,150,225,132,87,6
AF170,730,56,AMBFIX_INV_S84RUNc4369_5.0-7.0_H8,s84,M30,inverse,,,8,587.714,571,-369.49,-217154.44586,0.08,44.32,210,57,27,28,2
AF170,730,57,AMBFIX_DIR_S84RUNc5505_5.0-7.0_H14,s84,M30,direct,,,14,428.643,253,46.27,19833.31161,0.04,7.88,134,48,25,20,3
AF170,730,58,AMBFIX_INV_S84RUNc3057_4.0-5.0_H14,s84,M15,inverse,,,14,432.389,537,47.99,20750.34811,0.11,22.28,170,174,103,65,6
AF170,730,59,AMBFIX_INV_S84RUNc28_2.0-2.7_H11,s84,M15,inverse,,,11,227.609,442,-120.89,-27515.65201,0.24,15.81,180,1522,745,719,58
AF170,730,60,AMBFIX_DIR_S84RUNc6017_5.0-7.0_H18,s84,M30,direct,,,18,159.22,274,-17.21,-2740.1762,0.05,11.4,113,47,24,20,3
AF170,730,61,AMBFIX_INV_S84RUNc889_3.4-4.0_H11,s84,M15,inverse,,,11,392.288,437,2.76,1082.71488,0.18,12.16,130,225,132,87,6
AF170,730,62,AMBFIX_DIR_S84RUNc5505_5.0-7.0_H18,s84,M30,direct,,,18,221.915,286,-57.47,-12753.45505,0.05,12.1,133,48,25,20,3
AF170,730,63,AMBFIX_INV_S84RUNc3057_3.4-4.0_H8,s84,M15,inverse,,,8,2000.0,697,-240.5,-481000.0,0.17,35.54,262,174,103,65,6
AF170,730,64,AMBFIX_INV_S84RUNc28_1.3-2.0_H18,s84,M15,inverse,,,18,361.049,525,-225.93,-81571.80057,0.24,23.47,220,1522,745,719,58
AF170,730,65,AMBFIX_INV_S84RUNc28_RD1.3_2.0_H13,s84,M15,inverse,1.3,2.0,13,378.713,94,-57.87,-21916.12131,0.04,5.8,33,1522,745,719,58
