Mode,TF,Trades,WinRate%,FullWins,ScalpWins,BEs,Losses,NetPnL($),PF,MaxDD($),WinMonths
mode_static_be,M15,341,47.5,3,159,174,5,1610.45,24.11,29.14,13/13
mode_profit_lock,M15,341,47.5,11,151,174,5,2226.93,32.96,29.14,13/13
mode_dynamic_swing_trail,M15,341,47.5,3,159,174,5,1906.95,28.37,29.14,13/13
mode_tri_tier,M15,341,63.3,4,212,120,5,1853.47,27.6,29.14,13/13
