Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month,MT5_Ticket,MT5_Time,MT5_Entry,MT5_Comment
Naiya Doji,M15,2026-09-09 15:00,SELL,4409.36,4409.36,4415.3,4343.06,4397.48,False,63.91,7.91,0.01,0.5,,13.2,14.94,3,SL,-5.94,2026-09-09 15:15,9994.06,2026-09-09,2026-09,583235627,2026-09-09 13:18,4388.31,M1_S20.1412
Naiya Doji,M15,2026-09-09 15:00,SELL,4409.36,4409.36,4415.3,4343.06,4397.48,False,63.91,7.91,0.01,0.5,,13.2,14.94,2,SL,-5.94,2026-09-09 15:15,9988.12,2026-09-09,2026-09,583218915,2026-09-09 12:21,4374.43,M1_S20.1412
Naiya Doji,M15,2026-09-09 15:00,SELL,4409.36,4409.36,4415.3,4343.06,4397.48,False,63.91,7.91,0.01,0.5,,13.2,14.94,1,SL,-5.94,2026-09-09 15:15,9982.18,2026-09-09,2026-09,583217013,2026-09-09 12:12,4372.85,M1_S20.1412
Naiya Doji,M15,2026-09-09 16:45,BUY,4417.23,4417.23,4410.74,4448.54,4430.21,False,55.99,11.66,0.01,0.46,,0.21,8.47,2,SL,-6.49,2026-09-09 17:00,9975.69,2026-09-09,2026-09,583327048,2026-09-09 17:10,4399.42,M5_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4389.88,4389.88,4386.26,4429.22,4397.12,False,43.05,15.01,0.01,-0.21,,28.98,51.86,11,SL,-3.62,2026-09-09 17:00,9972.07,2026-09-09,2026-09,583089665,2026-09-09 02:18,4384.88,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4389.88,4389.88,4386.26,4433.25,4397.12,False,43.05,15.01,0.01,-0.21,,28.98,51.86,10,SL,-3.62,2026-09-09 17:00,9968.45,2026-09-09,2026-09,582428506,2026-09-09 00:09,4382.09,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4430.38,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,9,SL,-3.36,2026-09-09 17:00,9965.09,2026-09-09,2026-09,582772429,2026-09-08 17:30,4391.0,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4430.38,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,8,SL,-3.36,2026-09-09 17:00,9961.73,2026-09-09,2026-09,582776882,2026-09-08 16:55,4391.91,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4430.38,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,7,SL,-3.36,2026-09-09 17:00,9958.37,2026-09-09,2026-09,582581221,2026-09-08 08:53,4415.69,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4430.38,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,6,SL,-3.36,2026-09-09 17:00,9955.01,2026-09-09,2026-09,582560916,2026-09-08 06:21,4412.38,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4430.38,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,5,SL,-3.36,2026-09-09 17:00,9951.65,2026-09-09,2026-09,582553053,2026-09-08 01:30,4412.22,M1_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4430.38,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,4,SL,-3.36,2026-09-09 17:00,9948.29,2026-09-09,2026-09,582418602,2026-09-07 19:23,4390.37,M5_S20.1412
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4460.8,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,2,SL,-3.36,2026-09-09 17:00,9944.93,2026-09-09,2026-09,582396568,2026-09-07 18:27,4397.44,M1_S20.1412
Naiya Doji,M15,2026-09-09 18:45,SELL,4409.36,4409.36,4415.3,4375.82,4397.48,False,39.15,14.99,0.01,0.17,,2.33,4.77,7,SL,-5.94,2026-09-09 19:00,9935.63,2026-09-09,2026-09,583620943,2026-09-10 01:25,4418.52,M1_S20.1412
Naiya Doji,M15,2026-09-09 18:45,SELL,4409.36,4409.36,4415.3,4375.82,4397.48,False,39.15,14.99,0.01,0.17,,2.33,4.77,6,SL,-5.94,2026-09-09 19:00,9929.69,2026-09-09,2026-09,583207075,2026-09-09 11:24,4378.62,M1_S20.1412
Naiya Doji,M15,2026-09-09 18:45,SELL,4409.36,4409.36,4415.3,4375.82,4397.48,False,39.15,14.99,0.01,0.17,,2.33,4.77,5,SL,-5.94,2026-09-09 19:00,9923.75,2026-09-09,2026-09,583655389,2026-09-10 04:36,4400.71,M1_S20.1412
Naiya Doji,M15,2026-09-09 18:45,SELL,4409.36,4409.36,4415.3,4375.82,4397.48,False,39.15,14.99,0.01,0.17,,2.33,4.77,4,SL,-5.94,2026-09-09 19:00,9917.81,2026-09-09,2026-09,583663244,2026-09-10 07:00,4401.65,M1_S20.1412
Naiya Doji,M15,2026-09-09 18:45,SELL,4409.36,4409.36,4415.3,4350.29,4397.48,False,39.15,14.99,0.01,0.17,,2.33,4.77,3,SL,-5.94,2026-09-09 19:00,9911.87,2026-09-09,2026-09,583699236,2026-09-10 09:25,4415.45,M1_S20.1412
Naiya Doji,M15,2026-09-09 18:45,SELL,4409.36,4409.36,4415.3,4350.29,4397.48,False,39.15,14.99,0.01,0.17,,2.33,4.77,2,SL,-5.94,2026-09-09 19:00,9905.93,2026-09-09,2026-09,583062555,2026-09-09 00:50,4395.67,M1_S20.1412
Naiya Doji,M15,2026-09-09 20:00,SELL,4417.47,4417.47,4420.55,4347.04,4411.31,False,50.98,12.08,0.01,0.34,,4.21,5.67,2,SL,-3.08,2026-09-09 20:00,9902.85,2026-09-09,2026-09,583843287,2026-09-10 15:46,4410.78,M1_S20.1412
Naiya Doji,M15,2026-09-09 22:30,SELL,4398.86,4398.86,4401.41,4385.52,4393.76,False,29.97,5.62,0.01,-0.11,,5.31,6.13,1,SL,-2.55,2026-09-10 00:00,9851.6,2026-09-10,2026-09,583988720,2026-09-10 20:07,4373.24,M1_S20.1412
Naiya Doji,M15,2026-09-10 00:00,SELL,4401.69,4401.69,4404.83,4356.76,4395.41,False,37.07,5.31,0.01,-0.05,,1.85,3.48,4,SL,-3.14,2026-09-10 00:00,9848.46,2026-09-10,2026-09,584294157,2026-09-11 01:27,4366.25,M1_S20.1412
Naiya Doji,M15,2026-09-10 02:00,BUY,4389.88,4389.88,4386.26,4463.67,4397.12,False,40.03,4.56,0.01,-0.24,,0.69,7.48,31,SL,-3.62,2026-09-10 12:30,9833.13,2026-09-10,2026-09,584314151,2026-09-11 02:13,4340.97,M1_S20.1412
Naiya Doji,M15,2026-09-10 02:30,SELL,4400.83,4400.83,4403.1,4387.55,4396.29,False,55.72,5.14,0.01,-0.1,,8.1,10.16,5,SL,-2.27,2026-09-10 02:45,9830.86,2026-09-10,2026-09,582790281,2026-09-08 17:40,4399.41,M30_S20.1412
Naiya,M15,2026-09-10 02:30,SELL,4399.63,4399.63,4403.1,4387.55,4392.69,False,55.72,5.14,0.01,-0.1,,8.1,10.16,5,SL,-3.47,2026-09-10 02:45,9827.39,2026-09-10,2026-09,584312082,2026-09-11 13:55,4350.44,M1_S20.1412
