Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2026-09-09,23,0,23,0,-102.49000000000001,-102.49000000000001
2026-09-10,106,9,97,0,-309.14,-411.63
2026-09-11,135,17,117,0,77.11999999999999,-334.51
2026-09-14,110,6,103,0,-750.72,-1085.23
2026-09-15,91,3,81,0,-259.39000000000004,-1344.6200000000001
