Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
Fibo,H1,2025-03-14 17:00,SELL,2986.97,2986.97,2999.66,2980.89,2984.54,False,55.62,8.63,0.01,0.9,,5.25,7.09,1,SL,-12.69,2025-03-17 11:00,9987.31,2025-03-17,2025-03
Fibo,H1,2025-03-14 21:00,SELL,2986.97,2986.97,2998.77,2978.49,2983.58,False,50.47,7.84,0.01,0.61,,2.19,7.16,2,SL,-11.8,2025-03-17 11:00,9975.51,2025-03-17,2025-03
Fibo,H1,2025-03-17 00:00,SELL,2991.25,2991.25,3003.66,2980.89,2987.1,False,46.05,7.8,0.01,0.67,,0.78,5.97,5,SL,-12.41,2025-03-18 01:00,9963.1,2025-03-18,2025-03
Fibo,H1,2025-03-17 00:00,SELL,2991.25,2991.25,3003.01,2978.49,2986.14,False,46.05,7.8,0.01,0.67,,0.78,5.97,2,SL,-11.76,2025-03-18 01:00,9951.34,2025-03-18,2025-03
Fibo,H1,2025-03-17 00:00,SELL,2991.25,2991.25,3003.17,2978.49,2986.14,False,46.05,7.8,0.01,0.67,,0.78,5.97,1,SL,-11.92,2025-03-18 01:00,9939.42,2025-03-18,2025-03
Fibo,H1,2025-03-17 00:00,SELL,2991.25,2991.25,3004.0,2980.89,2987.1,False,46.05,7.8,0.01,0.67,,0.78,5.97,8,SL,-12.75,2025-03-18 02:00,9926.67,2025-03-18,2025-03
Fibo,H1,2025-03-17 00:00,SELL,2991.25,2991.25,3004.19,2980.89,2987.1,False,46.05,7.8,0.01,0.67,,0.78,5.97,6,SL,-12.94,2025-03-18 02:00,9913.73,2025-03-18,2025-03
Fibo,H1,2025-03-17 01:00,SELL,2991.25,2991.25,3002.95,2978.49,2986.14,False,38.5,7.66,0.01,0.66,,0.97,4.77,1,SL,-11.7,2025-03-18 01:00,9902.03,2025-03-18,2025-03
Fibo,H1,2025-03-17 02:00,SELL,2991.25,2991.25,3002.73,2978.49,2986.14,False,45.61,6.68,0.01,0.62,,0.07,4.52,1,SL,-11.48,2025-03-18 00:00,9890.55,2025-03-18,2025-03
Fibo,H1,2025-03-17 03:00,SELL,2991.25,2991.25,3001.26,2978.49,2986.14,False,41.37,6.61,0.01,0.49,,2.75,5.01,1,SL,-10.01,2025-03-17 12:00,9880.54,2025-03-17,2025-03
Fibo,H1,2025-03-17 10:00,SELL,2991.25,2991.25,2998.95,2978.49,2986.14,False,66.39,5.53,0.01,0.53,,7.24,9.25,3,SL,-7.7,2025-03-17 11:00,9872.84,2025-03-17,2025-03
Fibo,H1,2025-03-17 10:00,SELL,2991.25,2991.25,2998.81,2978.49,2986.14,False,66.39,5.53,0.01,0.53,,7.24,9.25,2,SL,-7.56,2025-03-17 11:00,9865.28,2025-03-17,2025-03
Fibo,H1,2025-03-17 10:00,SELL,2991.25,2991.25,2998.95,2981.8,2987.47,False,66.39,5.53,0.01,0.53,,7.24,9.25,1,SL,-7.7,2025-03-17 11:00,9857.58,2025-03-17,2025-03
Fibo,H1,2025-03-17 10:00,SELL,2991.25,2991.25,3001.16,2978.49,2986.14,False,66.39,5.53,0.01,0.53,,7.24,9.25,7,SL,-9.91,2025-03-17 12:00,9847.67,2025-03-17,2025-03
Fibo,H1,2025-03-17 10:00,SELL,2991.25,2991.25,3000.83,2978.49,2986.14,False,66.39,5.53,0.01,0.53,,7.24,9.25,6,SL,-9.58,2025-03-17 12:00,9838.09,2025-03-17,2025-03
Fibo,H1,2025-03-17 10:00,SELL,2991.25,2991.25,3000.01,2978.49,2986.14,False,66.39,5.53,0.01,0.53,,7.24,9.25,5,SL,-8.76,2025-03-17 12:00,9829.33,2025-03-17,2025-03
Fibo,H1,2025-03-17 15:00,SELL,2988.45,2988.45,2997.06,2982.31,2986.0,False,56.89,6.35,0.01,0.45,,10.42,13.33,1,SL,-8.61,2025-03-17 15:00,9820.72,2025-03-17,2025-03
Fibo,H1,2025-03-18 00:00,SELL,3002.56,3002.56,3010.69,2982.31,2994.46,False,62.26,5.7,0.01,0.31,,0.44,3.17,11,SL,-8.13,2025-03-18 03:00,9812.59,2025-03-18,2025-03
Fibo,H1,2025-03-18 00:00,SELL,3002.04,3002.04,3011.77,2983.14,2994.48,False,62.26,5.7,0.01,0.31,,0.44,3.17,7,SL,-9.73,2025-03-18 03:00,9802.86,2025-03-18,2025-03
Fibo,H1,2025-03-18 00:00,SELL,3002.56,3002.56,3011.34,2983.14,2994.79,False,62.26,5.7,0.01,0.31,,0.44,3.17,1,SL,-8.78,2025-03-18 03:00,9794.08,2025-03-18,2025-03
Fibo,H1,2025-03-18 01:00,SELL,3002.56,3002.56,3011.1,2983.14,2994.79,False,57.17,5.32,0.01,0.36,,1.81,3.99,1,SL,-8.54,2025-03-18 03:00,9785.54,2025-03-18,2025-03
Fibo,H1,2025-03-18 07:00,SELL,3014.1,3014.1,3021.83,2984.91,3002.43,False,79.14,5.2,0.01,0.73,,3.85,7.14,1,SL,-7.73,2025-03-18 09:00,9777.81,2025-03-18,2025-03
Fibo,H1,2025-03-18 12:00,SELL,3026.33,3026.33,3035.46,2999.41,3015.56,False,77.81,6.69,0.01,0.98,,2.82,7.12,2,SL,-9.13,2025-03-18 13:00,9768.68,2025-03-18,2025-03
Fibo,H1,2025-03-18 17:00,SELL,3035.41,3035.41,3047.65,2999.41,3021.01,False,72.91,7.84,0.01,1.16,,4.35,6.48,2,SL,-12.24,2025-03-19 19:00,9756.44,2025-03-19,2025-03
Fibo,H1,2025-03-18 20:00,SELL,3037.23,3037.23,3048.99,2999.41,3022.1,False,70.93,7.35,0.01,1.04,,0.38,2.84,6,SL,-11.76,2025-03-19 20:00,9744.68,2025-03-19,2025-03
Fibo,H1,2025-03-18 20:00,SELL,3037.23,3037.23,3049.09,3006.13,3024.79,False,70.93,7.35,0.01,1.04,,0.38,2.84,2,SL,-11.86,2025-03-19 20:00,9732.82,2025-03-19,2025-03
Fibo,H1,2025-03-19 04:00,SELL,3035.41,3035.41,3044.18,3006.13,3023.7,False,52.96,5.46,0.01,0.85,,2.96,6.74,3,SL,-8.77,2025-03-19 06:00,9724.05,2025-03-19,2025-03
Fibo,H1,2025-03-19 04:00,SELL,3035.41,3035.41,3044.08,3006.13,3023.7,False,52.96,5.46,0.01,0.85,,2.96,6.74,2,SL,-8.67,2025-03-19 06:00,9715.38,2025-03-19,2025-03
Fibo,H1,2025-03-19 04:00,SELL,3037.23,3037.23,3048.25,3006.13,3024.79,False,52.96,5.46,0.01,0.85,,2.96,6.74,7,SL,-11.02,2025-03-19 19:00,9704.36,2025-03-19,2025-03
Fibo,H1,2025-03-19 04:00,SELL,3037.23,3037.23,3047.78,3006.13,3024.79,False,52.96,5.46,0.01,0.85,,2.96,6.74,6,SL,-10.55,2025-03-19 19:00,9693.81,2025-03-19,2025-03
Fibo,H1,2025-03-19 04:00,SELL,3037.23,3037.23,3046.73,3006.13,3024.79,False,52.96,5.46,0.01,0.85,,2.96,6.74,4,SL,-9.5,2025-03-19 19:00,9684.31,2025-03-19,2025-03
