Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,20,5,15,0,274.25
ATR,H12,1,0,1,0,-95.18
ATR,M15,59,8,51,0,241.73
ATR,M30,40,7,33,0,-35.36
Div,D1,4,0,4,0,-540.45
Div,H1,179,26,153,0,-1150.41
Div,H12,13,0,13,0,-804.08
Div,M15,247,16,231,0,-2433.8
Div,M30,212,18,194,0,-2247.11
Div/ATR,H1,1,0,1,0,-41.71
Div/ATR,M15,1,0,1,0,-14.97
Div/FollowDiv,H1,1,0,1,0,-23.8
Div/FollowDiv,M15,1,1,0,0,297.67
Div/FollowDiv,M30,1,0,1,0,-14.48
Fibo,D1,154,28,108,0,852.4900000000001
Fibo,H1,8856,2419,6431,0,-9068.19
Fibo,H12,371,81,282,0,1721.99
Fibo,M15,39340,10782,28548,0,645.4499999999998
Fibo,M30,18541,5143,13390,0,-127.2599999999997
Fibo/ATR,H1,46,13,33,0,-74.01000000000002
Fibo/ATR,H12,2,0,2,0,-37.21
Fibo/ATR,M15,129,41,88,0,-139.95000000000002
Fibo/ATR,M30,85,27,58,0,-169.84
Fibo/Div,D1,1,0,1,0,-23.11
Fibo/Div,H1,123,16,107,0,-1049.43
Fibo/Div,H12,2,0,2,0,-110.64
Fibo/Div,M15,157,27,130,0,-285.75
Fibo/Div,M30,106,14,92,0,-286.29
Fibo/Div/ATR,M15,2,0,2,0,-5.28
Fibo/Div/FollowDiv,H1,4,0,4,0,-45.59
Fibo/Div/FollowDiv,M15,11,0,11,0,-132.95
Fibo/Div/FollowDiv,M30,11,1,10,0,-86.94
Fibo/Fibo,D1,2,0,2,0,-329.29
Fibo/Fibo,H1,5,3,2,0,29.29
Fibo/Fibo,M15,13,5,8,0,26.95
Fibo/Fibo/ATR,M15,1,0,1,0,-2.15
Fibo/FollowDiv,D1,5,0,4,0,-334.32
Fibo/FollowDiv,H1,102,10,91,0,-605.7900000000001
Fibo/FollowDiv,H12,3,0,3,0,-191.54000000000002
Fibo/FollowDiv,M15,544,104,440,0,700.9999999999999
Fibo/FollowDiv,M30,231,44,187,0,-208.14
Fibo/FollowDiv/ATR,M15,1,0,1,0,-5.16
Fibo/FollowDiv/ATR,M30,2,1,1,0,15.7
FollowDiv,D1,1,0,1,0,-87.51
FollowDiv,H1,10,2,8,0,155.44
FollowDiv,H12,5,0,5,0,-468.75
FollowDiv,M15,18,4,14,0,493.8
FollowDiv,M30,13,2,11,0,-273.76
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
