Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
08-07-2026 16:34:18,08-07-2026 19:19:33,M30-LTS44_20,M30,SELL,4082.22,4052.69,0.28,826.84,TP
08-07-2026 16:34:18,08-07-2026 19:19:33,M30-LTS44_43,M30,SELL,4082.03,4052.69,0.05,146.7,TP
10-07-2026 09:02:29,10-07-2026 09:02:43,M15-LTS44_1,M15,BUY,4125.91,4123.43,0.89,-220.72,SL
10-07-2026 11:32:29,10-07-2026 11:32:31,M15-LTS44_14,M15,SELL,4124.84,4124.87,0.87,-2.61,SL
13-07-2026 22:02:20,14-07-2026 00:55:07,M30-LTS44_41,M30,BUY,4042.26,3990.32,0.06,-311.64,SL
14-07-2026 09:02:19,14-07-2026 09:05:19,M15-LTS44_1,M15,BUY,3994.97,3999.62,0.89,413.85,TP
14-07-2026 09:02:20,14-07-2026 12:32:28,M30-LTS44_21,M30,BUY,3995.0,4020.92,0.73,1892.16,TP
15-07-2026 09:08:01,15-07-2026 09:14:30,M15-LTS44_1,M15,BUY,4057.79,4055.22,0.89,-228.73,SL
15-07-2026 12:08:01,15-07-2026 12:19:42,M15-LTS44_34,M15,BUY,4030.47,4034.15,0.85,312.8,TP
17-07-2026 09:07:09,17-07-2026 09:07:15,M15-LTS44_1,M15,BUY,3990.74,3990.56,0.89,-16.02,SL
17-07-2026 14:34:41,17-07-2026 20:43:04,M30-LTS44_18,M30,BUY,4006.42,3969.51,0.78,-2878.98,SL
20-07-2026 09:02:56,20-07-2026 09:04:27,M15-LTS44_1,M15,BUY,4015.09,4012.16,0.89,-260.77,SL
20-07-2026 11:33:21,20-07-2026 11:34:33,M15-LTS44_14,M15,BUY,4019.9,4020.44,0.87,46.98,TP
20-07-2026 21:47:53,20-07-2026 21:48:00,M15-LTS44_24,M15,SELL,4011.54,4011.44,0.61,6.1,TP
20-07-2026 22:02:25,20-07-2026 22:03:19,M30-LTS44_41,M30,BUY,4003.86,4004.65,0.06,4.74,TP
21-07-2026 09:48:50,21-07-2026 09:48:54,M15-LTS44_1,M15,SELL,4026.33,4026.87,0.89,-48.06,SL
23-07-2026 09:05:15,23-07-2026 09:05:59,M15-LTS44_1,M15,BUY,4133.55,4134.33,0.89,69.42,TP
23-07-2026 14:30:18,23-07-2026 14:30:22,M15-LTS44_35,M15,BUY,4121.71,4121.9,0.34,6.46,TP
24-07-2026 08:03:05,24-07-2026 08:04:31,M15-LTS44_1,M15,SELL,4049.34,4048.12,0.89,108.58,TP
24-07-2026 08:03:05,24-07-2026 08:04:31,M15-LTS44_12,M15,SELL,4049.34,4048.12,0.52,63.44,TP
24-07-2026 20:01:55,24-07-2026 20:01:56,M15-LTS44_13,M15,SELL,4054.16,4054.24,0.71,-5.68,SL
27-07-2026 20:01:53,27-07-2026 20:01:54,M15-LTS44_13,M15,SELL,4096.53,4096.97,0.71,-31.24,SL
27-07-2026 21:16:48,27-07-2026 21:28:51,M15-LTS44_24,M15,SELL,4083.2,4076.91,0.61,383.69,TP
28-07-2026 14:00:55,28-07-2026 14:00:57,M15-LTS44_35,M15,SELL,4046.5,4046.75,0.34,-8.5,SL
29-07-2026 09:03:16,29-07-2026 09:04:05,M15-LTS44_1,M15,SELL,4015.6,4012.93,0.89,237.63,TP
29-07-2026 11:48:10,29-07-2026 11:48:19,M15-LTS44_14,M15,BUY,4026.9,4026.79,0.87,-9.57,SL
30-07-2026 09:03:59,30-07-2026 09:04:35,M15-LTS44_1,M15,BUY,4084.18,4087.26,0.89,274.12,TP
30-07-2026 09:33:56,30-07-2026 11:12:19,M30-LTS44_21,M30,BUY,4085.7,4061.79,0.73,-1745.43,SL
31-07-2026 09:17:59,31-07-2026 09:19:35,M15-LTS44_1,M15,SELL,4091.25,4092.52,0.89,-113.03,SL
03-08-2026 11:46:21,03-08-2026 11:55:14,M15-LTS44_14,M15,BUY,4060.75,4066.52,0.87,501.99,TP
03-08-2026 14:16:19,03-08-2026 14:30:06,M15-LTS44_35,M15,BUY,4067.9,4068.84,0.34,31.96,TP
04-08-2026 09:01:24,04-08-2026 09:01:26,M15-LTS44_1,M15,SELL,4049.64,4049.49,0.89,13.35,TP
04-08-2026 14:32:10,04-08-2026 14:32:12,M15-LTS44_35,M15,BUY,4058.14,4058.17,0.34,1.02,TP
05-08-2026 09:03:56,05-08-2026 09:07:37,M15-LTS44_1,M15,BUY,4080.26,4082.42,0.89,192.24,TP
05-08-2026 14:31:11,05-08-2026 14:35:15,M15-LTS44_35,M15,BUY,4168.5,4174.88,0.34,216.92,TP
06-08-2026 09:33:31,06-08-2026 09:37:07,M15-LTS44_1,M15,SELL,4283.77,4288.54,0.89,-424.53,SL
07-08-2026 09:56:46,07-08-2026 09:58:20,M15-LTS44_1,M15,BUY,4254.86,4258.48,0.89,322.18,TP
