[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_144 skipped - hour 16 != 9
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_145 skipped - hour 16 != 20
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_149 skipped - hour 16 != 19
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_150 skipped - hour 16 != 10
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_151 skipped - hour 16 != 11
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_156 skipped - hour 16 != 14
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_157 skipped - risk_distance 8.46 > 1.30
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_159 skipped - risk_distance 5.47 > 2.00
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_160 skipped - hour 16 != 22
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_161 skipped - hour 16 != 19
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_164 skipped - hour 16 != 10
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_165 skipped - hour 16 != 12
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_167 skipped - hour 16 != 15
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_168 skipped - hour 16 != 10
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_169 skipped - hour 16 != 17
[2026-07-27 17:47:04] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_174 skipped - hour 16 != 12
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_176 skipped - hour 16 != 12
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_177 skipped - risk_distance 5.47 > 4.00
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_178 skipped - hour 16 != 19
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_182 skipped - hour 16 != 14
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_183 skipped - hour 16 != 17
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_185 skipped - hour 16 != 8
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SIGNAL | LTS_AVENGERS_ULTRA_SAFE_186 BUY lot=0.50 sl=4086.41 tp=4100.793 rd=5.47 weight=50.000 scale=1.00 h=16 success=True ticket=3530716767 err=None
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_187 skipped - hour 16 != 12
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_190 skipped - hour 16 != 9
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_191 skipped - hour 16 != 15
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_193 skipped - hour 16 != 15
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_194 skipped - hour 16 != 14
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_195 skipped - hour 16 != 11
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_197 skipped - risk_distance 8.46 > 1.30
[2026-07-27 17:47:05] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_198 skipped - hour 16 != 10
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_199 skipped - hour 16 != 13
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_200 skipped - hour 16 != 11
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_203 skipped - hour 16 != 17
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_205 skipped - hour 16 != 8
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_206 skipped - risk_distance 5.47 > 2.70
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_207 skipped - hour 16 != 11
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_209 skipped - hour 16 != 20
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_211 skipped - hour 16 != 10
