idx,signal,outcome,time,open,high,low,close,tick_volume,spread,real_volume,time_dt,hour,atr,atr_pct,range,body,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,vol_ma20,vol_ratio,ema_50,ema_200,dist_ema50,dist_ema200,rsi,rsi_7,z_score,adx,di_diff
101,SELL,BE,1725015600,2524.17,2524.76,2515.17,2515.26,5102,15,0,2024-08-30 11:00:00,11,4.57071428571427,0.18171935647663737,9.590000000000146,8.909999999999854,0.9290831169643402,0.5900000000001455,0.09000000000014552,0.061521777666566205,0.009384677949150077,4851.1,1.0515034727231507,2516.6740954476095,2514.6526151663184,-1.4140954476092702,0.6073848336818628,39.518158935634595,54.31164901664156,-1.100596779757512,24.349425195616032,-1.8440381309577099
138,BUY,BE,1725339600,2494.81,2496.96,2493.94,2495.94,3449,15,0,2024-09-03 05:00:00,5,3.285000000000017,0.1316137407149217,3.019999999999982,1.1300000000001091,0.3741597960332823,1.0199999999999818,0.8699999999998909,0.33773716102115425,0.2880699314591888,4458.8,0.7733530651598726,2503.393052251974,2510.28957554544,-7.453052251973986,-14.349575545440075,40.29498525073799,28.707627118644282,-0.9044315748831112,31.561238528567827,-18.917155903456777
144,SELL,BE,1725361200,2500.9,2501.05,2492.73,2497.31,7077,15,0,2024-09-03 11:00:00,11,4.071428571428571,0.16303256589804915,8.320000000000164,3.5900000000001455,0.4314851984952194,0.15000000000009095,4.579999999999927,0.018028629463598754,0.5504741529548728,4763.6,1.4853293036141544,2502.5406138797466,2509.65216864713,-5.23061387974667,-12.342168647130165,43.91255182811912,57.08616780045339,-0.44347200594836583,33.1114624672208,-12.771929824560953
149,BUY,BE,1725379200,2478.33,2489.5,2477.2,2488.39,9210,15,0,2024-09-03 16:00:00,16,8.617857142857181,0.3463226079053999,12.300000000000182,10.059999999999945,0.8178795294347035,1.1100000000001273,1.1300000000001091,0.09024316875473459,0.09186917179535878,6220.7,1.4803028111287913,2499.516376504439,2508.4967264631478,-11.126376504439122,-20.10672646314788,45.23043944265792,31.87223128934437,-0.9935636951452994,36.59930539200392,-11.927061748860183
167,BUY,WIN,1725447600,2481.67,2489.96,2481.14,2489.0,6453,15,0,2024-09-04 11:00:00,11,5.174285714285621,0.20788612753256816,8.820000000000164,7.329999999999927,0.831056337229713,0.9600000000000364,0.5300000000002001,0.10884230337524728,0.060090021655104846,5507.2,1.1715260883773284,2494.1176040354703,2505.3536772042653,-5.117604035470322,-16.353677204265296,46.662186379928286,42.27040816326525,0.012722251379842417,30.3685529931035,-16.703478741027233
229,BUY,WIN,1725876000,2492.2,2497.62,2492.1,2496.39,4972,15,0,2024-09-09 10:00:00,10,4.714285714285714,0.18884411947995763,5.519999999999982,4.190000000000055,0.7590442202134143,1.2300000000000182,0.09999999999990905,0.2228220503251793,0.01811561384755881,7210.55,0.689449563547365,2502.266092602874,2505.184279711996,-5.876092602873996,-8.794279711996296,52.70024271844614,48.36065573770469,-0.09136572012665553,47.573234370998684,-10.545454545455977
234,SELL,LOSS,1725894000,2499.8,2501.2,2493.26,2496.87,9832,15,0,2024-09-09 15:00:00,15,5.915714285714265,0.23692520178120066,7.9399999999996,2.930000000000291,0.36901298472316957,1.3999999999996362,3.6099999999996726,0.17632019747858424,0.45465422349842627,5856.1,1.678646429120213,2501.471876430441,2504.826228464226,-4.60187643044128,-7.956228464226115,51.10230369085936,57.41138560687356,0.26367790585556483,38.21580255055163,-5.1195363438774955
281,BUY,WIN,1726070400,2509.49,2514.93,2508.73,2514.79,9710,15,0,2024-09-11 16:00:00,16,7.335714285714305,0.29170285732463963,6.199999999999818,5.300000000000182,0.854824922178729,0.13999999999987267,0.7599999999997635,0.022580280963190397,0.12257866808596407,6383.4,1.5208946807844121,2512.233743537541,2507.5589513077707,2.556256462458805,7.231048692229251,45.036441316914136,30.162703379223785,-0.7033238237821645,65.650311598735,-23.14508276533585
295,SELL,LOSS,1726124400,2519.44,2522.25,2516.74,2516.9,8471,15,0,2024-09-12 07:00:00,7,3.422857142857148,0.13599495978613166,5.510000000000218,2.5399999999999636,0.46097167020559754,2.8099999999999454,0.16000000000030923,0.509972595778631,0.029037585524818586,6298.75,1.344656533989444,2513.133304472198,2508.420641950856,3.7666955278023124,8.479358049144139,54.84611851171366,70.780856423176,0.7102263830930293,45.90487734520707,22.892320534224204
341,SELL,BE,1726470000,2588.75,2589.64,2585.16,2585.28,7939,15,0,2024-09-16 07:00:00,7,3.8564285714284585,0.14916870015737013,4.480000000000018,3.4699999999998,0.774536282672214,0.8899999999998727,0.12000000000034561,0.19865627999372093,0.02678511640372874,7660.5,1.0362200613456896,2563.252071846085,2529.7898919486984,22.027928153915127,55.49010805130183,56.33456334563367,71.51988636363929,0.8227646670798039,53.87522125216329,18.81829968512716
348,BUY,LOSS,1726495200,2583.38,2589.32,2581.25,2588.25,14537,15,0,2024-09-16 14:00:00,14,5.13999999999997,0.198589780739881,8.070000000000164,4.869999999999891,0.6034621627984526,1.0700000000001637,2.130000000000109,0.1325881959331535,0.26393724984821326,6673.55,2.177974545100419,2568.367673627375,2533.4653876046586,19.882326372624902,54.784612395341355,62.06251669783657,56.35974304068482,1.627927452799387,33.32454773178095,7.768204558086815
363,BUY,LOSS,1726552800,2576.92,2579.56,2574.59,2579.4,4744,15,0,2024-09-17 06:00:00,6,3.666428571428599,0.14214269099126148,4.9699999999998,2.480000000000018,0.4989839238647347,0.15999999999985448,2.3299999999999272,0.03219251121705015,0.4688034445987045,6701.5,0.7077955986572174,2574.063790723914,2540.103997879075,5.336209276086265,39.296002120925095,48.19897084048088,38.08553971486844,-0.9300046907212729,18.60724605008018,-8.552503409312866
364,BUY,LOSS,1726556400,2579.43,2586.92,2579.38,2584.35,9371,15,0,2024-09-17 07:00:00,7,3.902857142857166,0.15101890776625326,7.539999999999964,4.920000000000073,0.6525112399039928,2.5700000000001637,0.04999999999972715,0.34084428588482596,0.006631211787605919,6793.75,1.379153022554178,2574.467171479839,2540.5442566066467,9.882828520160729,43.80574339335317,57.90414878397749,51.69491525423698,0.9810390592260989,19.07966673144457,5.435578330892721
367,SELL,LOSS,1726567200,2580.12,2580.12,2571.68,2573.62,9156,15,0,2024-09-17 10:00:00,10,4.37357142857143,0.16993850796043822,8.440000000000055,6.5,0.7701330552955484,0.0,1.9400000000000546,0.0,0.22985509650360092,6724.6,1.3613655287260615,2574.9858573054985,2541.6854130340953,-1.3658573054985936,31.9345869659046,38.52585939919415,32.57343270495333,-2.458062141001427,19.58369999698766,-16.805487506125125
375,BUY,BE,1726596000,2563.12,2570.48,2560.79,2569.93,9925,15,0,2024-09-17 18:00:00,18,7.895714285714315,0.30723460505594763,9.690000000000055,6.809999999999945,0.7027791250864188,0.5500000000001819,2.3299999999999272,0.05675896017586803,0.2404515949267721,8530.95,1.1632745152046131,2574.1911162687916,2544.04279489376,-4.2611162687917385,25.88720510623989,43.355239138371395,45.6886898096299,-1.235439982766441,22.937919241389743,-8.84747602677696
394,SELL,LOSS,1726668000,2576.24,2578.56,2568.62,2571.72,14289,15,0,2024-09-18 14:00:00,14,5.002142857142904,0.19450573379461625,9.940000000000055,4.519999999999982,0.4547237955352519,2.3200000000001637,3.099999999999909,0.23339805434554492,0.31186808985824005,7054.55,2.0252141930820415,2573.1720330936378,2548.8952779610872,-1.452033093637965,22.82472203891257,46.452599388378985,57.49010740531249,-0.068577743324643,14.060906079065726,0.11423675567538538
400,SELL,LOSS,1726689600,2576.04,2576.16,2546.97,2548.99,26864,15,0,2024-09-18 20:00:00,20,9.515714285714305,0.3733131273843485,29.190000000000055,27.050000000000182,0.9266840469885382,0.11999999999989086,2.019999999999982,0.0041109828332171056,0.06920154435921692,10447.45,2.5710990625403767,2572.0009943838986,2550.0048980871443,-23.010994383898833,-1.014898087144502,36.67140825035557,25.58723327954094,-3.658636762566469,16.459031807745042,5.975078816994117
456,SELL,LOSS,1727074800,2630.05,2630.13,2624.46,2624.46,10050,15,0,2024-09-23 07:00:00,7,4.357857142857126,0.1660477638393089,5.670000000000073,5.5900000000001455,0.985873265021794,0.07999999999992724,0.0,0.014109098604949863,0.0,9136.7,1.099839128008142,2604.9148288606243,2571.3823610622026,19.545171139375725,53.077638937797474,52.562907735321666,60.998439937597546,0.6499053678024106,23.499425123071113,4.736928372397774
