Time (BKK),Type,P&L,Reason,time,open,high,low,close,tick_volume,spread,real_volume,dt_bkk,dt_str,atr,atr_pct,range,body,body_pct,vol_ma20,vol_ratio,ema_50,ema_200,dist_ema50,dist_ema200,rsi,rsi_7,z_score,adx,di_diff,hour,dayofweek
2025-08-07 13:00,SELL,-214.49999999999815,SL,1754546400,3377.65,3380.96,3371.82,3375.48,7251,14,0,2025-08-07 13:00:00,2025-08-07 13:00,6.480000000000051,0.1919726972163974,9.139999999999873,2.1700000000000728,0.23741534556515825,7042.3,1.0294890179319354,3370.7881862209924,3355.3950434118665,4.691813779007589,20.084956588133537,44.41219158200294,58.40114887506059,0.450818403328448,17.66228893203543,-0.5842151675477112,13,3
2025-08-08 09:00,SELL,0.0,BE,1754618400,3390.43,3391.28,3381.38,3383.55,12207,14,0,2025-08-08 09:00:00,2025-08-08 09:00,11.626428571428505,0.3436162779160498,9.900000000000091,6.879999999999654,0.6949424753284907,8939.6,1.3653446077444467,3380.6706815247144,3361.141737481765,2.8793184752857997,22.408262518235006,57.5656944845509,40.76352067868512,-0.46711343526331595,24.314591213398813,8.564231738035348,9,4
2025-08-13 23:00,SELL,-282.457142857138,SL,1755100800,3363.15,3363.61,3354.38,3357.78,11022,14,0,2025-08-13 23:00:00,2025-08-13 23:00,7.64285714285711,0.22761637578570096,9.230000000000018,5.369999999999891,0.5817921799330322,8009.75,1.375901132852729,3357.31085327261,3361.4335717946005,0.4691467273901253,-3.6535717946003388,56.7482241515393,45.59086040699782,0.3932577325587632,19.99982883413067,6.4112149532707505,23,2
2025-08-26 01:00,SELL,-147.9428571428616,SL,1756144800,3373.89,3374.88,3370.89,3371.1,6045,14,0,2025-08-26 01:00:00,2025-08-26 01:00,4.812142857142979,0.14274696262771736,3.9900000000002365,2.7899999999999636,0.6992305957243673,5907.3,1.023136942944671,3357.3524767787026,3348.240757046759,13.747523221297342,22.859242953240937,54.61010299166238,60.72925398155901,0.8952921966938311,25.84516768734915,3.8889713522343463,1,1
2025-09-05 14:00,SELL,-241.07142857142208,SL,1757055600,3557.79,3558.08,3548.46,3552.51,15999,14,0,2025-09-05 14:00:00,2025-09-05 14:00,7.748571428571365,0.21811540090165446,9.61999999999989,5.279999999999745,0.5488508435463046,14746.9,1.0848324168186658,3541.045140026146,3473.0290186864004,11.464859973854345,79.48098131359984,49.7012696041825,49.71857410881896,0.529104848109284,29.000624696119797,-1.13384955752257,14,4
2025-09-18 02:00,SELL,-820.2571428571446,SL,1758135600,3686.9,3707.56,3646.16,3650.33,52085,14,0,2025-09-18 02:00:00,2025-09-18 02:00,12.397857142857188,0.3396366121106088,61.40000000000009,36.570000000000164,0.5956016358279564,15260.1,3.4129256737718774,3675.3087812780127,3631.492922389536,-24.978781278012775,18.837077610463894,32.594539015194584,36.431420149124165,-2.448681137512561,46.652731845038254,-21.829809298841816,2,3
2025-09-30 17:00,SELL,-1010.4285714285652,SL,1759226400,3816.27,3821.48,3793.22,3798.8,26434,14,0,2025-09-30 17:00:00,2025-09-30 17:00,14.07142857142854,0.37041772589840316,28.26000000000022,17.4699999999998,0.6181860644512817,15301.25,1.7274583803035501,3810.2541805319684,3747.539313338636,-11.454180531968177,51.26068666136416,39.495386625295886,23.443065299514174,-2.145914905367409,34.486972750295294,-15.182741116751231,17,1
2025-10-02 22:00,SELL,-835.1999999999998,SL,1759417200,3875.23,3876.73,3825.39,3839.89,41523,14,0,2025-10-02 22:00:00,2025-10-02 22:00,13.28000000000007,0.3458432403011563,51.340000000000146,35.340000000000146,0.6883508212878441,14650.0,2.8341410142652377,3859.748552313377,3794.0883759638364,-19.858552313377004,45.8016240361635,40.8701532912532,27.67217201620413,-2.6799906738328554,34.15807190105248,-16.56626506024073,22,3
2025-10-07 23:00,SELL,-527.7142857142871,SL,1759852800,3985.56,3990.96,3961.85,3966.1,39358,14,0,2025-10-07 23:00:00,2025-10-07 23:00,13.955714285714294,0.35187499774877823,29.110000000000127,19.460000000000036,0.6684965012143534,20657.65,1.9051583719168483,3939.6596090008807,3859.022243116905,26.440390999119245,107.07775688309493,53.69526819745273,63.6464497041417,0.116555198553449,27.54493574827726,3.296140853720747,23,1
2025-10-09 21:00,SELL,-707.7285714285745,SL,1760018400,4053.73,4057.92,4017.95,4019.14,44119,14,0,2025-10-09 21:00:00,2025-10-09 21:00,15.996428571428623,0.39800625435860965,39.970000000000255,34.590000000000146,0.8653968841709159,21865.85,2.01762027909827,4015.2117226636537,3918.738897079901,3.9282773363461274,100.40110292009877,53.22509872751201,44.674509803921595,-1.194638262030459,20.077418504868074,6.974771154275434,21,3
