time,type,res,pnl,rsi,z_score,adx,atr,atr_pct,dist_ema20,dist_ema50,dist_ema200,body,upper_wick,lower_wick,wick_ratio,vol_ratio,macd_hist,hour
2026-03-04 21:00,SELL,TP,3372.219873363956,52.614189659169796,-0.20124596907371656,22.016405635963192,31.059999999999945,0.6033774372582643,-22.40803585181129,-55.220591768342274,-69.40758344837104,20.280000000000655,17.149999999999636,8.829999999999927,1.281058771899484,1.4355988618108129,6.43358287139619,21
2026-03-05 12:00,SELL,TP,2565.8779036691067,50.33138101109763,-0.6773085974816199,35.896333409131465,23.785000000000114,0.46197473074943646,-14.4983688301445,-35.19897192987264,-60.679456280231534,23.149999999999636,5.050000000000182,0.1999999999998181,0.2267808778363844,0.7527899187431473,3.517069279804967,12
2026-03-09 05:00,SELL,TP,3763.6068400404383,55.38331173362568,0.2321210621336776,15.150591394794462,33.09642857142847,0.6451256292881308,-0.32439832785712497,-4.4997465737533275,-49.70747933728762,34.710000000000036,6.280000000000655,26.039999999999964,0.9311410799738572,1.4995765592757373,5.470345162011811,5
2026-03-12 08:00,BUY,SL,-902.6000000000112,44.62207521744473,-0.37358709849073257,56.21733770562672,23.640000000000132,0.4573772394845825,-3.071297829987998,-2.696547073687725,-2.6182309352652737,15.660000000000764,4.329999999999927,1.2799999999997453,0.35823526031119846,1.1941937781999525,-2.987537223545538,8
2026-03-16 21:00,SELL,TP,2964.8835767912533,41.86978480456748,-0.8985897919936294,49.95098942825516,26.548571428571254,0.5313795280489667,-22.022208457002307,-61.44226599073136,-130.6666721706688,33.56999999999971,8.100000000000364,8.139999999999418,0.4837638255471363,1.4255679848346539,4.274508052562975,21
2026-03-16 22:00,SELL,TP,2671.92448057177,41.994273758396496,-1.4079721220645836,45.681097967605744,24.969285714285498,0.5006895097691488,-28.230569556336377,-67.85276536364472,-138.45516299484188,9.050000000000182,9.710000000000036,3.089999999999236,1.4143490127179827,1.1474225703320793,3.080804024465131,22
2026-03-17 12:00,SELL,TP,2182.6778279649534,59.53802030850343,0.7308858807925378,6.9891004158268215,19.001428571428473,0.3784564632801039,4.21814444300162,-17.776498412812543,-91.01029025870321,17.159999999999854,6.599999999999454,0.6400000000003274,0.42190896323447086,0.9511134969096453,5.456704968928244,12
2026-03-17 13:00,SELL,TP,2038.5657879775408,58.89434135868759,-0.014047916593210145,7.086673913143796,18.70142857142855,0.3732685965659627,-5.7650121706174104,-27.25408671034893,-100.58934209692507,10.509999999999309,2.1500000000005457,4.990000000000691,0.6793465333347644,1.1555335068435335,3.945193395344309,13
2026-03-18 14:00,SELL,TP,1535.0278862815867,44.99207378584813,-0.9017083369567248,35.503107693328985,13.722857142857135,0.2747318747318746,-6.471003098551591,-20.501063034033905,-92.78967850281424,14.460000000000036,5.489999999999782,4.579999999999927,0.696399056714662,0.7335031728335926,0.38711409821558984,14
2026-03-31 08:00,BUY,TP,2252.2458721933253,53.60071637289089,0.9933053757506795,29.157782938077087,32.20000000000001,0.7080673499589895,28.721923670645992,48.09888756593227,-33.1870530266915,33.82999999999993,0.6599999999998545,30.960000000000036,0.9346706039887542,1.2820948917952026,-3.138506242803862,8
2026-04-07 12:00,BUY,TP,1476.3101445841858,41.646191646191944,-0.3100264971958347,26.521413004982495,21.160000000000114,0.45412013151456604,2.0831097298860186,-0.06584115150053549,26.46573841780537,9.900000000000546,4.589999999999236,4.029999999999745,0.8706982757748413,0.5746529181052235,-1.2054506132395009,12
