idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,range_atr_ratio,hour
1258,2025-10-10 17:00,SELL,LOSS,52.13,36.85,27.42,-0.11,1.59,0.16,0.68,0.48,-10.53,50.26,0.04,0.28,1.11,17
1485,2025-10-24 14:00,BUY,LOSS,45.62,58.2,26.58,2.86,2.01,0.16,0.59,0.57,-5.09,-34.75,0.34,0.07,1.81,14
1489,2025-10-24 18:00,SELL,BE,45.58,76.79,24.75,-2.81,1.19,0.26,0.76,0.61,-5.72,-33.23,0.18,0.06,1.14,18
1568,2025-10-30 04:00,BUY,WIN,39.73,70.9,41.5,-15.23,1.24,-0.17,0.73,0.7,-6.31,-83.8,0.21,0.06,1.7,4
1610,2025-11-03 01:00,BUY,WIN,45.84,59.33,11.52,-9.92,1.17,-0.59,0.7,0.53,-2.39,-41.96,0.16,0.14,1.71,1
1822,2025-11-14 06:00,SELL,BE,40.0,40.34,34.09,-16.13,0.97,-0.91,0.63,0.47,-3.91,74.06,0.15,0.22,1.21,6
1924,2025-11-20 16:00,SELL,LOSS,42.38,41.16,42.22,-5.77,1.76,-1.73,0.56,0.55,-27.32,-34.73,0.32,0.12,1.69,16
2252,2025-12-11 03:00,SELL,LOSS,59.87,50.2,32.11,13.91,1.07,0.44,0.35,0.37,7.76,20.53,0.17,0.48,1.0,3
2381,2025-12-18 17:00,SELL,LOSS,50.09,54.51,23.24,7.03,1.88,0.04,0.65,0.36,7.43,52.5,0.08,0.27,2.67,17
2493,2025-12-26 17:00,SELL,WIN,58.16,53.02,32.98,9.8,1.42,0.44,0.62,0.33,26.12,119.18,0.04,0.33,1.83,17
2536,2025-12-30 14:00,SELL,BE,59.16,46.11,48.3,2.89,1.62,0.21,0.61,0.48,-45.24,-37.53,0.1,0.29,1.74,14
2678,2026-01-08 18:00,SELL,LOSS,59.88,71.4,38.65,-3.37,0.98,0.71,0.9,0.36,3.88,28.71,0.0,0.1,0.96,18
2746,2026-01-13 17:00,SELL,LOSS,48.43,52.45,43.36,0.26,1.31,-0.39,0.78,0.4,17.52,101.17,0.09,0.13,1.61,17
2958,2026-01-27 01:00,BUY,WIN,44.54,40.71,44.7,-18.58,1.12,-0.41,0.48,0.78,51.21,240.42,0.27,0.25,1.45,1
3181,2026-02-09 17:00,SELL,BE,56.3,72.66,27.5,6.6,0.97,1.07,0.78,0.6,80.25,92.75,0.06,0.16,1.15,17
3247,2026-02-12 14:00,SELL,BE,43.41,38.57,24.08,-3.61,1.73,-2.14,0.8,0.41,-10.4,41.14,0.06,0.13,1.86,14
