idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,hour
2746,2026-01-13 17:00,SELL,LOSS,48.43,52.45,43.36,0.26,1.31,-0.39,0.78,0.4,17.52,101.17,0.09,0.13,17
2772,2026-01-14 20:00,SELL,BE,47.11,47.01,33.96,-11.0,1.28,0.53,0.42,0.35,26.93,113.01,0.16,0.42,20
2813,2026-01-16 15:00,SELL,LOSS,37.59,26.77,21.21,-18.11,2.03,-3.29,0.44,0.42,-33.18,22.86,0.15,0.41,15
2958,2026-01-27 01:00,BUY,WIN,44.54,40.71,44.7,-18.58,1.12,-0.41,0.48,0.78,51.21,240.42,0.27,0.25,1
3181,2026-02-09 17:00,SELL,BE,56.3,72.66,27.5,6.6,0.97,1.07,0.78,0.6,80.25,92.75,0.06,0.16,17
3247,2026-02-12 14:00,SELL,BE,43.41,38.57,24.08,-3.61,1.73,-2.14,0.8,0.41,-10.4,41.14,0.06,0.13,14
3249,2026-02-12 16:00,SELL,LOSS,28.35,20.27,22.52,-36.84,2.33,-3.95,0.55,0.69,-95.4,-47.63,0.04,0.41,16
3356,2026-02-19 10:00,SELL,LOSS,54.78,57.74,25.0,1.85,0.89,0.23,0.16,0.31,28.86,19.2,0.04,0.8,10
3430,2026-02-24 15:00,BUY,BE,41.76,37.96,41.17,-20.43,1.56,-0.92,0.58,0.48,8.88,100.62,0.13,0.28,15
3476,2026-02-26 15:00,BUY,WIN,47.73,53.65,20.92,-8.27,1.98,0.35,0.34,0.43,10.75,87.96,0.11,0.55,15
3567,2026-03-04 14:00,SELL,WIN,52.61,35.17,22.02,-5.73,1.44,-0.2,0.44,0.6,-54.9,-31.37,0.37,0.19,14
3581,2026-03-05 05:00,SELL,BE,50.33,55.13,35.9,-2.63,0.75,-0.68,0.82,0.46,-35.01,-27.61,0.18,0.01,5
3752,2026-03-16 14:00,SELL,WIN,41.87,50.34,49.95,-4.27,1.43,-0.9,0.67,0.53,-61.44,-124.69,0.16,0.16,14
3753,2026-03-16 15:00,SELL,WIN,41.99,48.23,45.68,-1.67,1.15,-1.41,0.41,0.5,-67.85,-132.53,0.44,0.14,15
3766,2026-03-17 05:00,SELL,WIN,59.54,61.14,6.99,6.03,0.95,0.73,0.7,0.38,-17.78,-85.81,0.27,0.03,5
3767,2026-03-17 06:00,SELL,WIN,58.89,48.35,7.09,2.0,1.16,-0.01,0.6,0.37,-27.25,-95.44,0.12,0.28,6
3791,2026-03-18 07:00,SELL,WIN,44.99,41.41,35.5,0.39,0.73,-0.9,0.59,0.27,-20.5,-88.74,0.22,0.19,7
