idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,range_atr_ratio,hour
7881,2025-12-30 14:00,SELL,BE,59.16,46.11,48.3,2.89,1.62,0.21,0.61,0.48,-45.24,-37.53,0.1,0.29,1.74,14
8303,2026-01-27 01:00,BUY,WIN,44.54,40.71,44.7,-18.58,1.12,-0.41,0.48,0.78,51.21,240.42,0.27,0.25,1.45,1
8526,2026-02-09 17:00,SELL,BE,56.3,72.66,27.5,6.6,0.97,1.07,0.78,0.6,80.25,92.75,0.06,0.16,1.15,17
8592,2026-02-12 14:00,SELL,BE,43.41,38.57,24.08,-3.61,1.73,-2.14,0.8,0.41,-10.4,41.14,0.06,0.13,1.86,14
8775,2026-02-24 15:00,BUY,BE,41.76,37.96,41.17,-20.43,1.56,-0.92,0.58,0.48,8.88,100.62,0.13,0.28,1.51,15
8821,2026-02-26 15:00,BUY,WIN,47.73,53.65,20.92,-8.27,1.98,0.35,0.34,0.43,10.75,87.96,0.11,0.55,2.81,15
8912,2026-03-04 14:00,SELL,WIN,52.61,35.17,22.02,-5.73,1.44,-0.2,0.44,0.6,-54.9,-31.37,0.37,0.19,1.49,14
8926,2026-03-05 05:00,SELL,BE,50.33,55.13,35.9,-2.63,0.75,-0.68,0.82,0.46,-35.01,-27.61,0.18,0.01,1.19,5
9097,2026-03-16 14:00,SELL,WIN,41.87,50.34,49.95,-4.27,1.43,-0.9,0.67,0.53,-61.44,-124.69,0.16,0.16,1.88,14
9098,2026-03-16 15:00,SELL,WIN,41.99,48.23,45.68,-1.67,1.15,-1.41,0.41,0.5,-67.85,-132.53,0.44,0.14,0.88,15
9111,2026-03-17 05:00,SELL,WIN,59.54,61.14,6.99,6.03,0.95,0.73,0.7,0.38,-17.78,-85.81,0.27,0.03,1.28,5
9112,2026-03-17 06:00,SELL,WIN,58.89,48.35,7.09,2.0,1.16,-0.01,0.6,0.37,-27.25,-95.44,0.12,0.28,0.94,6
9136,2026-03-18 07:00,SELL,WIN,44.99,41.41,35.5,0.39,0.73,-0.9,0.59,0.27,-20.5,-88.74,0.22,0.19,1.79,7
9336,2026-03-31 01:00,BUY,WIN,53.6,53.99,29.16,1.63,1.28,0.99,0.52,0.71,48.1,-32.64,0.01,0.47,2.03,1
9432,2026-04-07 05:00,BUY,WIN,41.65,56.94,26.52,-7.48,0.57,-0.31,0.53,0.45,-0.07,26.68,0.25,0.22,0.88,5
9445,2026-04-07 18:00,BUY,BE,56.96,65.57,26.91,-2.61,1.17,1.67,0.58,0.66,17.84,40.31,0.33,0.1,1.06,18
9520,2026-04-13 01:00,BUY,WIN,35.11,27.42,19.38,-20.02,0.85,-1.57,0.71,0.58,-48.9,-2.64,0.09,0.2,1.25,1
9659,2026-04-21 02:00,SELL,WIN,56.9,54.02,48.44,13.14,1.22,0.27,0.73,0.35,1.01,33.97,0.03,0.24,1.12,2
9811,2026-04-29 16:00,BUY,BE,38.9,37.9,39.53,-23.61,1.64,-1.19,0.36,0.47,-60.98,-141.42,0.5,0.14,1.06,16
9949,2026-05-07 16:00,SELL,WIN,54.69,48.83,47.45,15.27,1.65,0.41,0.88,0.44,49.0,84.25,0.05,0.07,1.82,16
9950,2026-05-07 17:00,SELL,WIN,52.42,42.13,48.6,7.68,1.69,-0.25,0.57,0.45,33.43,69.35,0.02,0.41,1.17,17
9971,2026-05-08 15:00,SELL,WIN,54.38,54.76,21.76,7.5,1.56,0.16,0.88,0.48,15.02,57.29,0.05,0.07,1.6,15
9972,2026-05-08 16:00,SELL,WIN,44.86,44.95,20.86,-1.14,1.34,-0.46,0.47,0.47,5.95,47.98,0.27,0.27,0.85,16
9996,2026-05-11 17:00,SELL,WIN,59.19,76.64,46.53,7.62,1.07,1.13,0.62,0.47,19.77,50.01,0.05,0.33,1.14,17
10027,2026-05-13 02:00,SELL,WIN,53.39,71.59,45.05,-3.76,1.11,0.26,0.77,0.39,-1.45,24.48,0.14,0.09,0.87,2
10028,2026-05-13 03:00,SELL,WIN,43.78,45.76,44.04,-9.41,0.96,-0.33,0.53,0.39,-11.67,13.64,0.26,0.21,1.1,3
10120,2026-05-19 03:00,SELL,BE,48.89,57.04,16.76,-0.23,0.92,-0.6,0.94,0.44,-26.02,-85.67,0.0,0.06,0.88,3
10227,2026-05-25 18:00,SELL,WIN,53.47,43.01,37.39,-5.05,0.56,-0.01,0.58,0.24,19.15,-1.23,0.3,0.12,1.32,18
10231,2026-05-26 01:00,SELL,WIN,40.79,32.9,29.94,-16.52,1.48,-2.28,0.49,0.26,1.18,-16.51,0.02,0.49,1.71,1
10232,2026-05-26 02:00,SELL,WIN,38.89,21.27,30.08,-22.12,2.01,-2.93,0.56,0.28,-10.98,-28.83,0.02,0.41,1.75,2
