entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-06 22:30:00,2026-01-06 23:15:00,SELL,4483.45,4502.36,4461.05,SL,26.51,S420 SELL Wolf Wave,Wolf Wave X=4470.52 A=4457.15 B=4475.78 C=4442.57 D=4490.94 EW=4479.52
2026-01-07 10:30:00,2026-01-07 11:15:00,BUY,4466.13,4450.22,4484.97,SL,18.82,S420 BUY Shark,Shark X=4463.27 A=4494.16 B=4477.44 C=4500.51 D=4459.82 EW=4469.42
2026-01-08 21:00:00,2026-01-08 21:15:00,SELL,4432.98,4442.71,4418.57,TP,3.89,S420 SELL Anti Butterfly,Anti Butterfly X=4439.64 A=4419.87 B=4434.86 C=4407.77 D=4436.04 EW=4429.37
2026-01-09 20:00:00,2026-01-09 20:15:00,SELL,4482.68,4484.38,4470.37,SL,28.47,S420 SELL ABCD,ABCD X=4476.54 A=4460.45 B=4477.46 C=4464.11 D=4480.51 EW=4476.64
2026-01-12 16:30:00,2026-01-12 17:15:00,SELL,4592.54,4606.35,4581.06,TP,-1.94,S420 SELL ABCD,ABCD X=4582.05 A=4563.45 B=4584.94 C=4569.75 D=4599.36 EW=4592.37
2026-01-12 21:15:00,2026-01-12 22:15:00,SELL,4617.51,4630.15,4594.4,SL,40.71,S420 SELL Anti Gartley,Anti Gartley X=4599.36 A=4586.05 B=4595.39 C=4578.41 D=4620.27 EW=4610.39
2026-01-13 05:30:00,2026-01-13 06:15:00,BUY,4584.91,4582.43,4607.62,TP,9.77,S420 BUY ABCD,ABCD X=4584.94 A=4630.18 B=4600.62 C=4618.89 D=4589.39 EW=4596.35
2026-01-15 18:45:00,2026-01-15 19:30:00,SELL,4617.27,4628.91,4607.46,TP,9.61,S420 SELL ABCD,ABCD X=4614.72 A=4581.07 B=4613.66 C=4597.86 D=4622.98 EW=4617.05
2026-01-19 23:45:00,2026-01-20 00:15:00,SELL,4676.2,4679.52,4667.19,SL,8.43,S420 SELL ABCD,ABCD X=4672.97 A=4659.67 B=4673.80 C=4661.68 D=4676.11 EW=4672.70
2026-01-20 13:15:00,2026-01-20 14:15:00,SELL,4715.53,4729.36,4685.25,SL,12.4,S420 SELL Crab,Crab X=4680.29 A=4659.49 B=4676.13 C=4665.52 D=4717.17 EW=4704.98
2026-01-20 22:45:00,2026-01-20 23:15:00,SELL,4745.29,4759.58,4728.87,SL,29.32,S420 SELL Anti Gartley,Anti Gartley X=4737.48 A=4721.61 B=4735.30 C=4715.13 D=4751.09 EW=4742.60
2026-01-21 03:15:00,2026-01-21 05:15:00,SELL,4760.03,4776.6,4739.23,TP,0.85,S420 SELL ABCD,ABCD X=4735.30 A=4715.13 B=4751.09 C=4722.51 D=4766.27 EW=4755.94
