entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-08-14 00:30:00,2026-08-14 07:30:00,BUY,4359.72,4342.86,4373.38,SL,-1706.93,S420 BUY ABCD,ABCD X=4380.80 A=4402.09 B=4357.60 C=4387.03 D=4351.29 EW=4359.72 (limit)
2026-08-14 00:30:00,2026-08-14 07:30:00,BUY,4359.72,4342.86,4373.38,SL,-1706.93,S420 BUY ABCD,ABCD X=4380.80 A=4402.09 B=4357.60 C=4387.03 D=4351.29 EW=4359.72 (limit)
2026-08-14 00:45:00,2026-08-14 07:30:00,BUY,4357.22,4342.86,4373.38,SL,-1456.46,S420 BUY ABCD,ABCD X=4380.80 A=4402.09 B=4357.60 C=4387.03 D=4351.29 EW=4359.72 (limit)
2026-08-14 01:00:00,2026-08-14 07:30:00,BUY,4356.01,4342.86,4373.38,SL,-1335.46,S420 BUY ABCD,ABCD X=4380.80 A=4402.09 B=4357.60 C=4387.03 D=4351.29 EW=4359.72 (limit)
2026-08-18 00:15:00,2026-08-18 09:45:00,SELL,4422.97,4440.99,4396.99,TP,2577.94,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 00:30:00,2026-08-18 09:45:00,SELL,4416.67,4440.99,4396.99,TP,1948.06,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 00:45:00,2026-08-18 09:45:00,SELL,4417.44,4440.99,4396.99,TP,2024.94,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 02:15:00,2026-08-18 09:45:00,SELL,4416.67,4440.99,4396.99,TP,1948.06,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 02:15:00,2026-08-18 09:45:00,SELL,4416.67,4440.99,4396.99,TP,1948.06,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 02:15:00,2026-08-18 09:45:00,SELL,4416.67,4440.99,4396.99,TP,1948.06,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 02:30:00,2026-08-18 09:45:00,SELL,4416.67,4440.99,4396.99,TP,1948.06,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 02:45:00,2026-08-18 09:45:00,SELL,4419.34,4440.99,4396.99,TP,2214.94,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
2026-08-18 03:00:00,2026-08-18 09:45:00,SELL,4419.81,4440.99,4396.99,TP,2261.94,S420 SELL Anti Gartley,Anti Gartley X=4411.40 A=4392.55 B=4405.83 C=4377.31 D=4428.83 EW=4416.67 (limit)
