Ticket,TF,Direction,Open_Time,Close_Time,Entry,SL,TP,Profit,Reason
581484618,M5,BUY,2026-09-04 07:18:33,2026-09-04 07:55:38,4476.95,4465.99,4485.81,541.68,[tp 4485.81]
581489721,M5,BUY,2026-09-04 07:28:34,2026-09-04 07:55:38,4476.95,4465.99,4485.81,544.12,[tp 4485.81]
581498538,M5,BUY,2026-09-04 08:08:34,2026-09-04 11:00:24,4476.95,4465.99,4485.81,-743.24,[sl 4465.99]
581502351,M5,BUY,2026-09-04 08:18:33,2026-09-04 11:00:24,4476.95,4465.99,4485.81,-741.88,[sl 4465.99]
581565766,M5,BUY,2026-09-04 12:07:55,2026-09-04 13:57:40,4470.62,4460.36,4478.92,-604.16,[sl 4460.36]
581570033,M5,BUY,2026-09-04 12:22:55,2026-09-04 13:57:40,4470.62,4460.36,4478.92,-602.98,[sl 4460.36]
