Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1525,186,1339,0,-112321.54,-112321.54
2025-04,4435,627,3808,0,-259119.33,-371440.87
2025-05,4777,562,4215,0,-263945.99,-635386.86
2025-06,4694,555,4139,0,-213700.64,-849087.5
2025-07,5238,573,4665,0,-259619.43,-1108706.93
2025-08,4766,551,4215,0,-193433.24,-1302140.17
2025-09,4448,704,3744,0,-127764.12,-1429904.29
2025-10,4994,611,4383,0,-69188.47,-1499092.76
2025-11,4534,714,3820,0,-40648.59,-1539741.35
2025-12,4928,667,4261,0,-5985.679999999999,-1545727.03
2026-01,4777,880,3897,0,79056.26000000001,-1466670.77
2026-02,4545,555,3990,0,-1930.4799999999998,-1468601.25
2026-03,4533,524,4009,0,-2520.2099999999996,-1471121.46
2026-04,4503,567,3932,0,2011.42,-1469110.04
2026-05,4797,628,4169,0,-4070.9300000000003,-1473180.97
2026-06,4841,569,4272,0,-32068.01,-1505248.98
2026-07,5359,639,4707,0,-61197.45,-1566446.43
2026-08,4457,526,3931,0,-680.5099999999992,-1567126.94
2026-09,2969,413,2530,0,4720.0199999999995,-1562406.92
