Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
Naiya Hidden,H1,2025-03-14 18:00,BUY,4275.95,4275.95,2982.41,4392.04,4322.38,False,43.26,8.28,0.01,0.74,,3.19,4.05,1,SL,-1293.54,2025-03-14 20:00,8706.46,2025-03-14,2025-03
Naiya,H1,2025-03-14 19:00,BUY,2985.39,2985.39,2978.49,3021.32,2999.19,False,47.62,7.87,0.01,0.59,,3.12,3.76,2,TP,35.93,2025-03-18 09:00,8742.39,2025-03-18,2025-03
Naiya Doji,H1,2025-03-14 20:00,BUY,2982.5,2982.5,2978.49,3021.32,2990.52,False,47.03,7.79,0.01,0.57,,0.55,3.83,3,TP,38.82,2025-03-18 09:00,8781.21,2025-03-18,2025-03
Naiya Doji,H1,2025-03-14 20:00,BUY,2982.5,2982.5,2978.49,3021.32,2990.52,False,47.03,7.79,0.01,0.57,,0.55,3.83,2,TP,38.82,2025-03-18 09:00,8820.03,2025-03-18,2025-03
Naiya Hidden,H1,2025-03-14 21:00,BUY,4275.95,4275.95,2981.76,4392.04,4322.38,False,50.47,7.84,0.01,0.61,,2.19,7.16,1,SL,-1294.19,2025-04-07 01:00,7525.84,2025-04-07,2025-04
Naiya Hidden,H1,2025-03-16 23:00,BUY,4275.95,4275.95,2981.3,4392.04,4322.38,False,52.48,7.95,0.01,0.68,,4.19,7.73,1,SL,-1294.65,2025-04-07 01:00,6231.1900000000005,2025-04-07,2025-04
Naiya Hidden,H1,2025-03-17 00:00,BUY,4275.95,4275.95,2982.42,4392.04,4322.38,False,46.05,7.8,0.01,0.67,,0.78,5.97,1,SL,-1293.53,2025-03-17 06:00,4937.66,2025-03-17,2025-03
Naiya Hidden,H1,2025-03-17 01:00,BUY,4275.95,4275.95,2987.79,4392.04,4322.38,False,38.5,7.66,0.01,0.66,,0.97,4.77,1,SL,-1288.16,2025-03-17 01:00,3649.5,2025-03-17,2025-03
Naiya Hidden,H1,2025-03-17 02:00,BUY,4275.95,4275.95,2985.86,4392.04,4322.38,False,45.61,6.68,0.01,0.62,,0.07,4.52,1,SL,-1290.09,2025-03-17 04:00,2359.41,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3019.27,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,5,TP,33.89,2025-03-18 09:00,2393.3,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3019.27,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,4,TP,33.89,2025-03-18 09:00,2427.1900000000005,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3019.27,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,3,TP,33.89,2025-03-18 09:00,2461.080000000001,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3019.27,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,2,TP,33.89,2025-03-18 09:00,2494.970000000001,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 05:00,BUY,2982.5,2982.5,2978.49,3004.01,2990.52,False,44.1,5.84,0.01,0.25,,4.34,5.33,2,TP,21.51,2025-03-18 02:00,2516.4800000000014,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 05:00,BUY,2982.5,2982.5,2978.49,3004.01,2990.52,False,44.1,5.84,0.01,0.25,,4.34,5.33,1,TP,21.51,2025-03-18 02:00,2537.9900000000016,2025-03-18,2025-03
Naiya Hidden,H1,2025-03-17 05:00,BUY,2983.5,2983.5,2967.6,3028.05,3015.3,False,44.1,5.84,0.01,0.25,,4.34,5.33,6,TP,44.55,2025-03-18 10:00,2582.540000000002,2025-03-18,2025-03
Naiya Hidden,H1,2025-03-17 07:00,BUY,4275.95,4275.95,2981.81,4392.04,4322.38,False,57.82,5.14,0.01,0.43,,3.79,5.44,1,SL,-1294.14,2025-04-07 01:00,1288.4000000000015,2025-04-07,2025-04
Naiya Hidden,H1,2025-03-17 08:00,BUY,4275.95,4275.95,2984.79,4392.04,4322.38,False,43.79,5.04,0.01,0.26,,4.03,5.79,1,SL,-1291.16,2025-03-17 08:00,-2.7599999999983993,2025-03-17,2025-03
