Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03-18,1,0,1,0,-1278.14,-1278.14
2025-03-19,27,0,27,0,-12804.47,-14082.609999999999
2025-03-20,70,6,64,0,-14075.960000000001,-28158.57
2025-03-21,219,19,200,0,-16775.38,-44933.95
2025-03-24,197,23,174,0,-16911.06,-61845.009999999995
2025-03-25,172,34,138,0,-9022.95,-70867.95999999999
2025-03-26,215,3,212,0,-14525.32,-85393.28
2025-03-27,300,28,272,0,-6394.6,-91787.88
2025-03-28,145,33,112,0,-8876.71,-100664.59
2025-03-31,179,40,139,0,-11656.95,-112321.54
2025-04-01,204,24,180,0,-17814.87,-130136.40999999999
2025-04-02,107,33,74,0,-11545.0,-141681.40999999997
2025-04-03,442,42,400,0,-22692.52,-164373.92999999996
2025-04-04,390,32,358,0,-27146.36,-191520.28999999998
2025-04-07,159,12,147,0,-14634.98,-206155.27
2025-04-08,160,27,133,0,-14268.76,-220424.03
2025-04-09,219,27,192,0,-8745.03,-229169.06
2025-04-10,216,12,204,0,-8214.14,-237383.2
2025-04-11,135,16,119,0,-8026.33,-245409.53
2025-04-14,210,31,179,0,-11806.630000000001,-257216.16
2025-04-15,158,18,140,0,-7895.03,-265111.19
2025-04-16,141,75,66,0,-1276.17,-266387.36
2025-04-17,210,17,193,0,-15175.0,-281562.36
2025-04-21,155,14,141,0,-4154.88,-285717.24
2025-04-22,274,66,208,0,-14651.76,-300369.0
2025-04-23,231,46,185,0,-17255.76,-317624.76
2025-04-24,187,9,178,0,-7642.4,-325267.16000000003
2025-04-25,264,47,217,0,-12612.81,-337879.97000000003
2025-04-28,153,8,145,0,-11728.5,-349608.47000000003
2025-04-29,158,32,126,0,-7869.8099999999995,-357478.28
2025-04-30,262,39,223,0,-13962.59,-371440.87000000005
2025-05-01,211,47,164,0,-15175.17,-386616.04000000004
2025-05-02,212,29,183,0,-12580.54,-399196.58
2025-05-05,273,25,248,0,-3918.89,-403115.47000000003
2025-05-06,160,8,152,0,-6683.64,-409799.11000000004
2025-05-07,250,22,228,0,-18062.7,-427861.81000000006
2025-05-08,290,35,255,0,-13707.789999999999,-441569.60000000003
2025-05-09,145,11,134,0,-7214.1,-448783.7
2025-05-11,9,0,9,0,-215.82,-448999.52
2025-05-12,262,33,229,0,-25837.7,-474837.22000000003
2025-05-13,158,23,135,0,-9633.23,-484470.45
2025-05-14,251,35,216,0,-23204.66,-507675.11
2025-05-15,199,21,178,0,-6113.43,-513788.54
2025-05-16,146,4,142,0,-17104.56,-530893.1
2025-05-19,205,10,195,0,-9235.24,-540128.34
2025-05-20,426,20,406,0,-10096.21,-550224.5499999999
2025-05-21,180,15,165,0,-8021.39,-558245.94
2025-05-22,183,35,148,0,-12728.85,-570974.7899999999
2025-05-23,220,18,202,0,-5514.360000000001,-576489.1499999999
2025-05-26,143,2,141,0,-10178.59,-586667.7399999999
2025-05-27,249,85,164,0,-13319.279999999999,-599987.0199999999
2025-05-28,258,60,198,0,-15706.07,-615693.0899999999
2025-05-29,175,14,161,0,-6196.93,-621890.0199999999
2025-05-30,172,10,162,0,-13496.84,-635386.8599999999
2025-06-02,332,12,320,0,-3151.52,-638538.3799999999
2025-06-03,165,27,138,0,-13389.89,-651928.2699999999
2025-06-04,303,38,265,0,-8618.289999999999,-660546.5599999999
2025-06-05,232,6,226,0,-12689.56,-673236.12
2025-06-06,181,19,162,0,-13502.57,-686738.69
2025-06-09,219,30,189,0,-6914.0199999999995,-693652.71
2025-06-10,240,40,200,0,-12064.64,-705717.35
2025-06-11,223,35,188,0,-8508.38,-714225.73
2025-06-12,253,39,214,0,-6975.75,-721201.48
2025-06-13,130,20,110,0,-6339.93,-727541.41
2025-06-16,232,27,205,0,-10849.59,-738391.0
2025-06-17,255,43,212,0,-9281.27,-747672.27
2025-06-18,253,9,244,0,-12690.98,-760363.25
2025-06-19,162,26,136,0,-8012.7300000000005,-768375.98
2025-06-20,199,38,161,0,-12882.69,-781258.6699999999
2025-06-23,244,29,215,0,-10471.130000000001,-791729.7999999999
2025-06-24,265,23,242,0,-13209.99,-804939.7899999999
2025-06-25,223,29,194,0,-5070.38,-810010.1699999999
2025-06-26,209,20,189,0,-14912.289999999999,-824922.46
2025-06-27,137,17,120,0,-17706.38,-842628.84
2025-06-30,237,28,209,0,-6458.66,-849087.5
2025-07-01,247,6,241,0,-5344.99,-854432.49
2025-07-02,195,41,154,0,-9783.82,-864216.3099999999
2025-07-03,291,19,272,0,-19525.489999999998,-883741.7999999999
2025-07-04,114,6,108,0,-4968.75,-888710.5499999999
2025-07-07,249,20,229,0,-12116.57,-900827.1199999999
2025-07-08,282,24,258,0,-15849.12,-916676.2399999999
2025-07-09,210,35,175,0,-10794.880000000001,-927471.1199999999
2025-07-10,256,65,191,0,-8587.0,-936058.1199999999
2025-07-11,244,19,225,0,-3999.3799999999997,-940057.4999999999
2025-07-14,231,14,217,0,-13770.91,-953828.4099999999
2025-07-15,280,23,257,0,-17666.26,-971494.6699999999
2025-07-16,297,19,278,0,-10335.07,-981829.7399999999
2025-07-17,200,20,180,0,-11075.92,-992905.6599999999
2025-07-18,273,15,258,0,-8012.74,-1000918.3999999999
2025-07-21,140,22,118,0,-3450.52,-1004368.9199999999
2025-07-22,155,16,139,0,-8154.36,-1012523.2799999999
2025-07-23,208,10,198,0,-16529.71,-1029052.9899999999
2025-07-24,155,31,124,0,-10211.0,-1039263.9899999999
2025-07-25,302,26,276,0,-15017.05,-1054281.0399999998
2025-07-28,280,64,216,0,-15038.02,-1069319.0599999998
2025-07-29,180,33,147,0,-5796.6,-1075115.66
2025-07-30,302,31,271,0,-25284.0,-1100399.66
2025-07-31,147,14,133,0,-8307.27,-1108706.93
2025-08-01,401,39,362,0,-8436.11,-1117143.04
2025-08-04,170,22,148,0,-7683.07,-1124826.11
2025-08-05,265,16,249,0,-9811.56,-1134637.6700000002
2025-08-06,155,22,133,0,-9418.1,-1144055.7700000003
2025-08-07,187,24,163,0,-3700.95,-1147756.7200000002
2025-08-08,214,4,210,0,-13407.56,-1161164.2800000003
2025-08-11,337,23,314,0,-20502.420000000002,-1181666.7000000002
2025-08-12,184,11,173,0,-10812.99,-1192479.6900000002
2025-08-13,227,57,170,0,-8242.12,-1200721.8100000003
2025-08-14,256,32,224,0,-14572.57,-1215294.3800000004
2025-08-15,132,13,119,0,-8821.18,-1224115.5600000003
2025-08-18,213,21,192,0,-8833.98,-1232949.5400000003
2025-08-19,206,14,192,0,-9097.85,-1242047.3900000004
2025-08-20,221,45,176,0,-4994.71,-1247042.1000000003
2025-08-21,174,16,158,0,-11818.84,-1258860.9400000004
2025-08-22,443,72,371,0,-9973.67,-1268834.6100000003
2025-08-25,162,29,133,0,-6495.83,-1275330.4400000004
2025-08-26,269,17,252,0,-5990.33,-1281320.7700000005
2025-08-27,188,27,161,0,-6228.5,-1287549.2700000005
2025-08-28,166,43,123,0,-8964.59,-1296513.8600000006
2025-08-29,196,4,192,0,-5626.3099999999995,-1302140.1700000006
2025-09-01,102,5,97,0,-6146.28,-1308286.4500000007
2025-09-02,222,12,210,0,-5809.42,-1314095.8700000006
2025-09-03,164,39,125,0,-5167.44,-1319263.3100000005
2025-09-04,182,24,158,0,-13192.07,-1332455.3800000006
2025-09-05,312,31,281,0,-5221.58,-1337676.9600000007
2025-09-08,134,50,84,0,-2335.9900000000002,-1340012.9500000007
2025-09-09,221,34,187,0,-7902.5,-1347915.4500000007
