Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-04,552,281,271,361.39,50.91,1361.39
2024-05,703,375,328,1084.06,53.34,2445.45
2024-06,585,340,245,1967.62,58.12,4413.07
2024-07,775,430,345,2498.06,55.48,6911.13
2024-08,619,314,305,1862.59,50.73,8773.72
2024-09,593,267,326,-126.71,45.03,8647.01
2024-10,622,281,341,838.99,45.18,9486.0
2024-11,677,304,373,846.36,44.9,10332.36
2024-12,551,228,323,1560.65,41.38,11893.01
2025-01,796,407,389,2709.88,51.13,14602.89
2025-02,730,390,340,5010.96,53.42,19613.85
2025-03,634,284,350,1327.85,44.79,20941.7
2025-04,779,416,363,5673.86,53.4,26615.56
2025-05,664,295,369,4771.26,44.43,31386.82
2025-06,716,364,352,4659.64,50.84,36046.46
2025-07,708,362,346,4702.12,51.13,40748.58
2025-08,844,464,380,10157.25,54.98,50905.83
2025-09,721,378,343,9836.96,52.43,60742.79
2025-10,801,444,357,29627.68,55.43,90370.47
2025-11,718,376,342,20236.7,52.37,110607.17
2025-12,798,408,390,25505.33,51.13,136112.5
2026-01,738,368,370,29046.3,49.86,165158.8
2026-02,731,383,348,49501.48,52.39,214660.28
2026-03,707,327,380,31652.44,46.25,246312.72
2026-04,720,398,322,57661.74,55.28,303974.46
2026-05,887,542,345,98087.12,61.1,402061.58
2026-06,897,537,360,178254.13,59.87,580315.71
2026-07,270,139,131,13458.9,51.48,593774.61
