Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-04,795,417,378,903.99,52.45,2403.99
2024-05,1031,497,534,518.54,48.21,2922.53
2024-06,893,462,431,1243.54,51.74,4166.07
2024-07,1164,637,527,3041.07,54.73,7207.14
2024-08,926,466,460,2187.19,50.32,9394.33
2024-09,910,411,499,279.73,45.16,9674.06
2024-10,972,450,522,962.73,46.3,10636.79
2024-11,1005,459,546,524.55,45.67,11161.34
2024-12,817,328,489,1355.1,40.15,12516.44
2025-01,1095,541,554,2643.84,49.41,15160.28
2025-02,999,522,477,5207.94,52.25,20368.22
2025-03,885,400,485,1729.25,45.2,22097.47
2025-04,1058,567,491,6712.87,53.59,28810.34
2025-05,981,451,530,4862.52,45.97,33672.86
2025-06,1010,509,501,4433.15,50.4,38106.01
2025-07,1037,538,499,4977.4,51.88,43083.41
2025-08,1160,616,544,10822.9,53.1,53906.31
2025-09,986,526,460,11396.58,53.35,65302.89
2025-10,1133,631,502,29900.87,55.69,95203.76
2025-11,982,504,478,20299.84,51.32,115503.6
2025-12,1123,548,575,24753.65,48.8,140257.25
2026-01,1022,498,524,32988.84,48.73,173246.09
2026-02,1022,517,505,49299.42,50.59,222545.51
2026-03,990,456,534,33777.6,46.06,256323.11
2026-04,1030,557,473,57601.96,54.08,313925.07
2026-05,1237,720,517,97961.11,58.21,411886.18
2026-06,1249,745,504,182111.09,59.65,593997.27
2026-07,405,205,200,13351.06,50.62,607348.33
