Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,40,10,30,0,45.629999999999995,45.629999999999995
2025-04,172,17,155,0,-381.74000000000007,-336.11000000000007
2025-05,173,21,152,0,-850.6600000000001,-1186.7700000000002
2025-06,107,18,89,0,515.06,-671.7100000000003
2025-07,137,34,103,0,1301.84,630.1299999999997
2025-08,96,12,84,0,-176.94,453.18999999999966
2025-09,162,17,145,0,-951.54,-498.3500000000003
2025-10,185,8,177,0,-2036.52,-2534.8700000000003
2025-11,118,21,97,0,521.88,-2012.9900000000002
2025-12,132,14,118,0,-721.42,-2734.4100000000003
2026-01,198,18,180,0,-3164.9900000000002,-5899.400000000001
2026-02,146,14,132,0,-1567.78,-7467.18
2026-03,159,20,139,0,-1328.78,-8795.960000000001
2026-04,139,19,120,0,93.86000000000003,-8702.1
2026-05,153,25,128,0,957.87,-7744.2300000000005
2026-06,209,35,174,0,3506.62,-4237.610000000001
2026-07,118,31,87,0,1357.92,-2879.6900000000005
2026-08,206,15,191,0,-2816.07,-5695.76
2026-09,85,16,67,0,944.85,-4750.91
