Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1646,186,1460,0,-12455.18,-12455.18
2025-04,4664,627,4037,0,-28091.25,-40546.43
2025-05,4997,561,4436,0,-31702.23,-72248.66
2025-06,4930,555,4375,0,-28861.8,-101110.46
2025-07,5481,567,4914,0,-33757.63,-134868.09
2025-08,5047,551,4496,0,-31812.07,-166680.16
2025-09,4744,704,4040,0,-23981.91,-190662.07
2025-10,5246,618,4628,0,-29151.03,-219813.1
2025-11,4783,714,4069,0,-20378.15,-240191.25
2025-12,5000,737,4263,0,-411.7299999999996,-240602.98
2026-01,4648,751,3897,0,14678.810000000001,-225924.17
2026-02,4546,555,3991,0,-1963.7999999999997,-227887.97
2026-03,4539,525,4014,0,-2755.8399999999997,-230643.81
2026-04,4497,561,3932,0,-268.40000000000015,-230912.21
2026-05,4798,628,4170,0,-4079.9500000000003,-234992.16
2026-06,5040,572,4468,0,-28947.04,-263939.2
2026-07,5639,638,4988,0,-33898.74,-297837.94
2026-08,4493,505,3988,0,-10410.96,-308248.9
2026-09,3028,475,2535,0,6693.64,-301555.26
