Mode,TF,Trades,WinRate%,FullWins,ScalpWins,BEs,Losses,NetPnL($),PF,MaxDD($),WinMonths
mode_stepped_macro,M30,219,46.1,3,98,116,2,2052.08,106.02,10.26,13/13
mode_stepped_macro,M15,309,47.9,4,144,156,5,2229.12,32.99,29.14,13/13
mode_conviction_weighted,M30,219,46.1,3,98,116,2,2227.14,91.28,15.39,13/13
mode_conviction_weighted,M15,309,47.9,4,144,156,5,2407.65,35.55,29.14,13/13
mode_dual_horizon,M15+M30,419,46.3,5,189,219,6,3214.32,41.21,29.14,13/13
