Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,7,3,4,0,156.88000000000002
ATR,M15,25,3,22,0,116.22999999999999
ATR,M30,18,5,13,0,208.01000000000002
Div,H1,152,18,134,0,-696.45
Div,H12,13,0,13,0,-804.08
Div,M15,190,13,177,0,-1756.26
Div,M30,180,16,164,0,-1944.7
Div/ATR,H1,1,0,1,0,-41.71
Div/ATR,M15,1,0,1,0,-14.97
Div/FollowDiv,H1,1,0,1,0,-23.8
Div/FollowDiv,M15,1,1,0,0,297.67
Div/FollowDiv,M30,1,0,1,0,-14.48
FVG,D1,6,0,5,0,-584.69
FVG,H1,484,73,406,0,212.0699999999999
FVG,H12,30,3,19,0,-627.1
FVG,M15,1283,178,1104,0,-7186.33
FVG,M30,854,146,705,0,-1255.73
FVG/ATR,H1,3,0,3,0,-95.55
FVG/ATR,M15,2,0,2,0,-35.25
FVG/ATR,M30,1,1,0,0,82.48
FVG/Div,D1,2,0,2,0,-276.65999999999997
FVG/Div,H1,11,2,9,0,80.36
FVG/Div,M15,26,1,25,0,-478.71
FVG/Div,M30,10,2,8,0,34.43999999999999
FVG/Fibo,D1,27,12,12,0,1923.73
FVG/Fibo,H1,2555,1290,1264,0,13441.73
FVG/Fibo,H12,141,60,81,0,4375.17
FVG/Fibo,M15,4780,2014,2763,0,3926.61
FVG/Fibo,M30,3980,1912,2064,0,11839.13
FVG/Fibo/ATR,H1,16,6,10,0,-102.31
FVG/Fibo/ATR,M15,12,4,8,0,-106.05
FVG/Fibo/ATR,M30,24,11,13,0,12.559999999999988
FVG/Fibo/Div,D1,2,0,2,0,-256.03999999999996
FVG/Fibo/Div,H1,8,1,7,0,-115.65
FVG/Fibo/Div,M15,19,4,15,0,-129.33
FVG/Fibo/Div,M30,13,6,7,0,160.85000000000002
FVG/Fibo/FollowDiv,D1,1,0,0,0,0.0
FVG/Fibo/FollowDiv,H1,11,3,8,0,-39.720000000000006
FVG/Fibo/FollowDiv,M15,45,17,28,0,136.71999999999997
FVG/Fibo/FollowDiv,M30,29,13,16,0,1.960000000000008
FVG/Fibo/FollowDiv/ATR,M30,1,1,0,0,31.77
FVG/FollowDiv,H1,1,0,1,0,-37.45
FVG/FollowDiv,M15,2,0,2,0,-59.64
FVG/FollowDiv,M30,1,0,1,0,-106.53
Fibo,D1,216,56,135,0,-1952.3899999999999
Fibo,H1,9711,3462,6245,0,-25600.16
Fibo,H12,417,124,283,0,-386.66999999999956
Fibo,M15,48815,18910,29900,0,-3703.6300000000006
Fibo,M30,21336,8138,13192,0,-14635.74
Fibo/ATR,D1,2,1,0,0,213.55
Fibo/ATR,H1,44,15,29,0,-39.73000000000002
Fibo/ATR,H12,6,2,4,0,-128.67000000000002
Fibo/ATR,M15,149,58,91,0,-29.370000000000008
Fibo/ATR,M30,89,39,50,0,-94.02999999999999
Fibo/Div,D1,1,0,1,0,-134.15
Fibo/Div,H1,131,23,108,0,-2216.13
Fibo/Div,H12,2,0,2,0,-110.64
Fibo/Div,M15,173,52,121,0,-63.14
Fibo/Div,M30,116,22,94,0,-723.68
Fibo/Div/ATR,M15,2,0,2,0,-27.96
Fibo/Div/FollowDiv,H1,4,0,4,0,-84.36
Fibo/Div/FollowDiv,M15,11,0,11,0,-220.47
Fibo/Div/FollowDiv,M30,11,1,10,0,-117.22
Fibo/Fibo,D1,4,3,1,0,152.32999999999998
Fibo/Fibo,H1,5,3,2,0,29.29
Fibo/Fibo,M15,14,9,5,0,41.51
Fibo/Fibo/ATR,M15,1,1,0,0,26.03
Fibo/FollowDiv,D1,4,0,4,0,-334.32
Fibo/FollowDiv,H1,86,20,65,0,-530.13
Fibo/FollowDiv,H12,4,0,4,0,-405.15999999999997
Fibo/FollowDiv,M15,495,132,363,0,-87.07000000000001
Fibo/FollowDiv,M30,199,55,144,0,-181.75
Fibo/FollowDiv/ATR,M15,1,0,1,0,-5.16
Fibo/FollowDiv/ATR,M30,1,0,1,0,-16.07
FollowDiv,D1,1,0,1,0,-87.51
FollowDiv,H1,14,3,11,0,292.84999999999997
FollowDiv,H12,4,0,4,0,-311.47
FollowDiv,M15,23,4,19,0,331.85
FollowDiv,M30,15,3,12,0,78.73999999999998
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
