Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1816,687,1129,0,-446.12000000000006,-446.12000000000006
2025-04,4935,1806,3129,0,-4936.23,-5382.349999999999
2025-05,5404,1912,3492,0,-8158.16,-13540.509999999998
2025-06,5463,2009,3454,0,-3901.8,-17442.309999999998
2025-07,6157,2285,3872,0,-2460.29,-19902.6
2025-08,5979,2206,3773,0,169.61000000000013,-19732.989999999998
2025-09,5167,1945,3222,0,1137.38,-18595.609999999997
2025-10,5180,1847,3333,0,-1772.3900000000003,-20367.999999999996
2025-11,5129,2058,3071,0,-320.30000000000007,-20688.299999999996
2025-12,5696,2436,3260,0,5100.12,-15588.179999999997
2026-01,4432,1758,2674,0,-6755.95,-22344.129999999997
2026-02,5082,2002,3077,0,-9929.039999999999,-32273.17
2026-03,5193,2057,3136,0,-829.9899999999996,-33103.159999999996
2026-04,5424,2035,3385,0,-10500.73,-43603.89
2026-05,5745,2275,3470,0,-2091.34,-45695.229999999996
2026-06,5633,2135,3493,0,6451.18,-39244.049999999996
2026-07,6345,2482,3857,0,5790.24,-33453.81
2026-08,5200,1941,3251,0,1240.2699999999998,-32213.539999999997
2026-09,3585,1349,2175,0,5884.31,-26329.229999999996
