Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03-19,23,8,15,0,-56.85999999999999,-56.85999999999999
2025-03-20,70,22,48,0,-115.57000000000001,-172.43
2025-03-21,281,125,156,0,369.33,196.89999999999998
2025-03-23,2,0,2,0,-7.62,189.27999999999997
2025-03-24,240,72,168,0,-552.6,-363.32000000000005
2025-03-25,276,102,174,0,-259.26,-622.58
2025-03-26,297,132,165,0,159.65,-462.93000000000006
2025-03-27,327,115,212,0,293.6,-169.33000000000004
2025-03-28,136,48,88,0,-70.97000000000001,-240.30000000000007
2025-03-31,164,63,101,0,-205.82000000000002,-446.1200000000001
2025-04-01,201,62,139,0,-637.79,-1083.91
2025-04-02,184,45,139,0,-661.14,-1745.0500000000002
2025-04-03,395,133,262,0,-447.3,-2192.3500000000004
2025-04-04,348,127,221,0,677.74,-1514.6100000000004
2025-04-07,216,83,133,0,-249.28000000000003,-1763.8900000000003
2025-04-08,180,72,108,0,-261.21999999999997,-2025.1100000000004
2025-04-09,305,121,184,0,-86.28999999999996,-2111.4000000000005
2025-04-10,237,61,176,0,-1512.93,-3624.330000000001
2025-04-11,111,44,67,0,274.12,-3350.210000000001
2025-04-14,191,103,88,0,560.36,-2789.850000000001
2025-04-15,270,140,130,0,292.24,-2497.6100000000006
2025-04-16,147,21,126,0,-837.98,-3335.5900000000006
2025-04-17,200,65,135,0,-258.15999999999997,-3593.7500000000005
2025-04-21,117,26,91,0,-613.96,-4207.710000000001
2025-04-22,148,44,104,0,-465.38,-4673.090000000001
2025-04-23,247,80,167,0,-1274.72,-5947.810000000001
2025-04-24,268,100,168,0,-641.49,-6589.300000000001
2025-04-25,312,95,217,0,-831.22,-7420.520000000001
2025-04-28,283,122,161,0,237.65000000000003,-7182.870000000002
2025-04-29,195,83,112,0,-341.68,-7524.550000000002
2025-04-30,380,179,201,0,2142.2,-5382.350000000002
2025-05-01,190,61,129,0,308.78999999999996,-5073.560000000002
2025-05-02,208,105,103,0,24.89999999999997,-5048.660000000003
2025-05-05,304,89,215,0,-581.4399999999999,-5630.100000000002
2025-05-06,184,45,139,0,-545.83,-6175.930000000002
2025-05-07,187,113,74,0,585.34,-5590.590000000002
2025-05-08,348,109,239,0,-1214.32,-6804.910000000002
2025-05-09,187,68,119,0,-993.1999999999999,-7798.1100000000015
2025-05-12,274,90,184,0,-112.85,-7910.960000000002
2025-05-13,141,60,81,0,-440.77,-8351.730000000001
2025-05-14,332,125,207,0,-50.79999999999997,-8402.53
2025-05-15,178,35,143,0,-1306.64,-9709.17
2025-05-16,264,95,169,0,-323.87,-10033.04
2025-05-19,211,68,143,0,-339.38,-10372.42
2025-05-20,412,135,277,0,-482.73,-10855.15
2025-05-21,196,73,123,0,-512.32,-11367.47
2025-05-22,174,38,136,0,-1359.11,-12726.58
2025-05-23,293,113,180,0,269.92999999999995,-12456.65
2025-05-26,150,45,105,0,-353.17,-12809.82
2025-05-27,329,131,198,0,-129.65,-12939.47
2025-05-28,385,152,233,0,-265.29,-13204.76
2025-05-29,167,44,123,0,-424.07000000000005,-13628.83
2025-05-30,290,118,172,0,88.31999999999998,-13540.51
2025-06-02,306,74,232,0,-1838.12,-15378.630000000001
2025-06-03,203,78,125,0,-511.97999999999996,-15890.61
2025-06-04,315,129,186,0,-116.68,-16007.29
2025-06-05,298,107,191,0,42.19,-15965.1
2025-06-06,305,116,189,0,-644.71,-16609.81
2025-06-09,228,83,145,0,-321.59,-16931.4
2025-06-10,290,105,185,0,-392.90000000000003,-17324.300000000003
2025-06-11,344,142,202,0,299.23,-17025.070000000003
2025-06-12,199,72,127,0,209.32000000000002,-16815.750000000004
2025-06-13,192,57,135,0,60.87999999999995,-16754.870000000003
2025-06-15,2,0,2,0,-169.63,-16924.500000000004
2025-06-16,205,67,138,0,-247.69,-17172.190000000002
2025-06-17,295,127,168,0,512.63,-16659.56
2025-06-18,351,132,219,0,221.19000000000003,-16438.370000000003
2025-06-19,174,73,101,0,-239.62,-16677.99
2025-06-20,217,77,140,0,-152.01,-16830.0
2025-06-23,357,134,223,0,-158.46,-16988.46
2025-06-24,208,75,133,0,751.24,-16237.22
2025-06-25,286,134,152,0,-57.86,-16295.08
2025-06-26,279,121,158,0,55.91000000000001,-16239.17
2025-06-27,164,39,125,0,-551.83,-16791.0
2025-06-30,245,67,178,0,-651.31,-17442.31
2025-07-01,200,32,168,0,-719.0,-18161.31
2025-07-02,360,161,199,0,123.28,-18038.030000000002
