Month,VWAP_Reversion_PnL($),Asian_Expansion_PnL($),Institutional_ORB_PnL($)
2025-09,37.13,0.0,-15.16
2025-10,92.75,0.0,0.0
2025-11,75.87,0.0,2.88
2025-12,19.51,15.08,0.0
2026-01,28.9,0.0,0.0
2026-02,34.9,0.0,0.0
2026-03,163.45,0.0,0.0
2026-04,115.02,0.0,0.0
2026-05,-26.51,0.0,0.0
2026-06,114.97,0.0,0.0
2026-07,58.19,0.0,0.0
2026-08,-24.2,0.0,0.0
2026-09,-11.68,0.0,0.0
