Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,283,65,218,0,638.34,638.34
2025-04,501,62,439,0,-5564.42,-4926.08
2025-05,859,112,747,0,-6914.01,-11840.09
2025-06,768,141,627,0,957.07,-10883.02
2025-07,883,121,762,0,-4410.25,-15293.27
2025-08,882,87,795,0,-7342.6,-22635.870000000003
2025-09,594,143,451,0,2999.89,-19635.980000000003
2025-10,464,73,391,0,-3449.34,-23085.320000000003
2025-11,732,112,620,0,-7699.0,-30784.320000000003
2025-12,776,272,504,0,18620.55,-12163.770000000004
2026-01,544,98,446,0,-3347.19,-15510.960000000005
2026-02,649,63,584,0,-35023.5,-50534.46000000001
2026-03,603,152,451,0,20495.86,-30038.600000000006
2026-04,650,115,535,0,666.7999999999997,-29371.800000000007
2026-05,753,124,629,0,2716.62,-26655.180000000008
2026-06,689,167,522,0,18076.68,-8578.500000000007
2026-07,905,111,794,0,-11919.960000000001,-20498.460000000006
2026-08,681,138,539,0,2311.82,-18186.640000000007
2026-09,494,46,327,0,-3121.9700000000003,-21308.610000000008
