Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
FollowDiv,H1,2025-03-19 04:00,SELL,3038.25,3038.25,3050.91,2978.46,3014.33,False,52.96,5.46,0.01,0.85,,2.96,6.74,4,SL,-12.66,2025-03-19 20:00,9987.34,2025-03-19,2025-03
FollowDiv,H1,2025-03-27 15:00,SELL,3057.4,3057.4,3071.6,2997.72,3033.53,False,72.27,9.05,0.01,1.03,1.12,16.89,18.87,124,SL,-14.2,2025-03-28 02:00,9973.14,2025-03-28,2025-03
FollowDiv,H1,2025-03-27 15:00,SELL,3055.77,3055.77,3069.68,2976.82,3024.19,False,72.27,9.05,0.01,1.03,1.12,16.89,18.87,2,SL,-13.91,2025-03-28 02:00,9959.23,2025-03-28,2025-03
Div,H1,2025-03-28 15:00,SELL,3085.97,3085.97,3103.25,3023.72,3061.07,False,56.52,9.38,0.01,0.75,1.25,13.12,18.72,1,SL,-17.28,2025-03-31 04:00,9941.95,2025-03-31,2025-03
FollowDiv,H1,2025-04-07 18:00,BUY,2971.11,2971.11,2904.39,3280.29,3094.78,False,28.04,20.06,0.01,-2.92,-3.55,17.01,17.86,15,TP,309.18,2025-04-16 04:00,10251.13,2025-04-16,2025-04
FollowDiv,H1,2025-04-07 18:00,BUY,2971.11,2971.11,2910.65,3276.42,3093.23,False,28.04,20.06,0.01,-2.92,-3.55,17.01,17.86,12,TP,305.31,2025-04-16 04:00,10556.44,2025-04-16,2025-04
FollowDiv,H1,2025-04-09 21:00,SELL,3094.81,3094.81,3137.35,2914.73,3022.78,False,70.09,23.48,0.01,2.65,0.57,26.72,35.34,2,SL,-42.54,2025-04-10 16:00,10513.9,2025-04-10,2025-04
Div,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3168.74,2974.23,3069.15,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,4,SL,-36.31,2025-04-10 17:00,10477.59,2025-04-10,2025-04
Div,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3167.26,2975.14,3069.51,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,3,SL,-34.83,2025-04-10 17:00,10442.76,2025-04-10,2025-04
Div,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3162.7,2977.95,3070.64,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,1,SL,-30.27,2025-04-10 17:00,10412.49,2025-04-10,2025-04
Div,H1,2025-04-10 15:00,SELL,3132.43,3132.43,3162.48,3026.63,3090.11,False,66.39,15.81,0.01,2.05,1.21,6.06,20.41,1,SL,-30.05,2025-04-10 17:00,10382.44,2025-04-10,2025-04
Div,H1,2025-04-10 16:00,SELL,3133.68,3133.68,3165.31,3024.88,3090.16,False,74.06,17.09,0.01,3.18,2.41,37.56,37.82,1,SL,-31.63,2025-04-10 17:00,10350.81,2025-04-10,2025-04
Div,H1,2025-04-10 17:00,SELL,3136.59,3136.59,3170.77,3021.51,3090.56,False,76.66,16.98,0.01,3.19,2.52,3.52,20.47,1,SL,-34.18,2025-04-10 17:00,10316.630000000001,2025-04-10,2025-04
Div,H1,2025-04-10 18:00,SELL,3154.7,3154.7,3188.65,3010.46,3097.0,False,70.47,16.02,0.01,3.11,2.52,0.36,13.07,1,SL,-33.95,2025-04-11 00:00,10282.68,2025-04-11,2025-04
Div,H1,2025-04-10 20:00,SELL,3174.93,3174.93,3206.96,2999.14,3104.61,False,73.08,16.48,0.01,3.38,2.97,10.6,17.54,2,SL,-32.03,2025-04-11 02:00,10250.65,2025-04-11,2025-04
Div,H1,2025-04-10 20:00,SELL,3174.93,3174.93,3206.56,2999.39,3104.71,False,73.08,16.48,0.01,3.38,2.97,10.6,17.54,1,SL,-31.63,2025-04-11 02:00,10219.02,2025-04-11,2025-04
Div,H1,2025-04-10 21:00,SELL,3174.93,3174.93,3207.89,2998.57,3104.38,False,73.41,15.68,0.01,3.19,2.87,2.44,8.38,1,SL,-32.96,2025-04-11 02:00,10186.06,2025-04-11,2025-04
Div,H1,2025-04-10 22:00,SELL,3175.59,3175.59,3206.95,2999.15,3105.01,False,74.84,15.71,0.01,3.23,3.02,4.96,7.87,1,SL,-31.36,2025-04-11 02:00,10154.7,2025-04-11,2025-04
Div,H1,2025-04-11 00:00,SELL,3176.34,3176.34,3207.75,3038.89,3121.36,False,87.21,15.52,0.01,3.52,3.43,9.57,13.07,1,SL,-31.41,2025-04-11 02:00,10123.29,2025-04-11,2025-04
Div,H1,2025-04-11 01:00,SELL,3176.39,3176.39,3207.42,3039.1,3121.47,False,90.33,15.33,0.01,3.39,3.41,0.11,8.32,1,SL,-31.03,2025-04-11 02:00,10092.26,2025-04-11,2025-04
Div/FollowDiv,H1,2025-04-11 10:00,SELL,3219.92,3219.92,3251.65,3011.76,3136.66,False,76.17,16.17,0.01,2.96,4.13,3.52,18.99,4,SL,-31.73,2025-04-16 00:00,10060.53,2025-04-16,2025-04
Div,H1,2025-04-11 10:00,SELL,3219.92,3219.92,3250.85,3012.26,3136.86,False,76.17,16.17,0.01,2.96,4.13,3.52,18.99,3,SL,-30.93,2025-04-16 00:00,10029.6,2025-04-16,2025-04
Div,H1,2025-04-11 10:00,SELL,3219.92,3219.92,3250.69,3012.36,3136.9,False,76.17,16.17,0.01,2.96,4.13,3.52,18.99,2,SL,-30.77,2025-04-16 00:00,9998.83,2025-04-16,2025-04
