Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,4,0,4,0,-58.05,-58.05
2025-04,22,2,20,0,-79.59,-137.64
2025-05,37,5,32,0,-223.22999999999996,-360.86999999999995
2025-06,27,6,21,0,471.73,110.86000000000007
2025-07,23,11,12,0,706.59,817.45
2025-08,1,0,1,0,-17.63,799.82
2025-09,31,0,31,0,-664.7,135.12
2025-10,39,4,35,0,456.48,591.6
2025-11,13,0,13,0,-353.53000000000003,238.07
2025-12,12,1,11,0,-41.03,197.04
2026-01,38,1,37,0,-2016.57,-1819.53
2026-02,23,0,23,0,-1909.76,-3729.29
2026-03,7,0,7,0,-634.36,-4363.65
2026-04,24,1,23,0,-995.85,-5359.5
2026-05,25,6,19,0,665.02,-4694.48
2026-06,16,6,10,0,882.0799999999999,-3812.3999999999996
2026-07,12,1,11,0,-133.13,-3945.5299999999997
2026-08,40,2,38,0,-1045.54,-4991.07
2026-09,18,5,13,0,539.76,-4451.3099999999995
