Time (BKK),CloseTime (BKK),TF,Pattern,Type,RSI,ATR,dist_sma50,dist_sma200,body,range,Entry,SL,TP,Lot,P&L,Balance,Reason
2025-03-19 04:00,2025-03-19 20:00,H1,FollowDiv,SELL,52.96,5.46,0.85,,2.96,6.74,3038.25,3050.91,2957.62,0.01,-12.66,9987.34,SL
2025-03-27 15:00,2025-03-28 02:00,H1,FollowDiv,SELL,72.27,9.05,1.03,1.12,16.89,18.87,3057.4,3071.6,2966.96,0.01,-14.2,9973.14,SL
2025-03-27 15:00,2025-03-28 02:00,H1,FollowDiv,SELL,72.27,9.05,1.03,1.12,16.89,18.87,3055.77,3069.68,2967.2,0.01,-13.91,9959.23,SL
2025-03-28 15:00,2025-03-31 04:00,H1,Div,SELL,56.52,9.38,0.75,1.25,13.12,18.72,3085.97,3103.25,2975.89,0.01,-17.28,9941.95,SL
2025-04-07 18:00,2025-04-11 15:00,H1,FollowDiv,BUY,28.04,20.06,-2.92,-3.55,17.01,17.86,2971.11,2910.65,3243.38,0.01,272.27,10214.22,TP
2025-04-07 18:00,2025-04-16 02:00,H1,FollowDiv,BUY,28.04,20.06,-2.92,-3.55,17.01,17.86,2971.11,2904.39,3271.59,0.01,300.48,10514.7,TP
2025-04-09 21:00,2025-04-10 16:00,H1,FollowDiv,SELL,70.09,23.48,2.65,0.57,26.72,35.34,3094.81,3137.35,2823.91,0.01,-42.54,10472.16,SL
2025-04-10 14:00,2025-04-10 17:00,H1,Div,SELL,73.14,15.03,2.32,1.41,1.53,17.3,3132.43,3168.74,2901.2,0.01,-36.31,10435.85,SL
2025-04-10 14:00,2025-04-10 17:00,H1,Div,SELL,73.14,15.03,2.32,1.41,1.53,17.3,3132.43,3167.26,2910.58,0.01,-34.83,10401.02,SL
2025-04-10 14:00,2025-04-10 17:00,H1,Div,SELL,73.14,15.03,2.32,1.41,1.53,17.3,3132.43,3162.7,2939.63,0.01,-30.27,10370.75,SL
2025-04-10 15:00,2025-04-10 17:00,H1,Div,SELL,66.39,15.81,2.05,1.21,6.06,20.41,3132.43,3162.48,2941.03,0.01,-30.05,10340.7,SL
2025-04-10 16:00,2025-04-10 17:00,H1,Div,SELL,74.06,17.09,3.18,2.41,37.56,37.82,3133.68,3165.31,2932.24,0.01,-31.63,10309.07,SL
