Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month,MT5_Ticket,MT5_Time,MT5_Entry,MT5_Comment
FollowDiv,H1,2026-09-01 14:00,BUY,4364.68,4364.68,4328.23,4543.72,4436.29,False,21.28,19.63,0.01,-2.23,-4.51,18.06,24.03,2,SL,-36.45,2026-09-01 15:00,5772.100000000001,2026-09-01,2026-09,580396953,2026-09-02 03:39,4326.23,M30_S20.1421
Div,H1,2026-09-01 21:00,BUY,4326.23,4326.23,4281.54,4547.68,4414.81,False,19.14,22.34,0.01,-2.16,-5.04,4.56,14.69,5,SL,-44.69,2026-09-14 11:00,5727.410000000002,2026-09-14,2026-09,580393094,2026-09-02 03:39,4326.23,H1_S20.1421
Div,H1,2026-09-01 21:00,BUY,4326.23,4326.23,4281.79,4547.53,4414.75,False,19.14,22.34,0.01,-2.16,-5.04,4.56,14.69,4,SL,-44.44,2026-09-14 11:00,5682.970000000002,2026-09-14,2026-09,580375572,2026-09-02 03:39,4326.23,H1_S20.1421
Div,H1,2026-09-01 21:00,BUY,4326.23,4326.23,4280.9,4548.08,4414.97,False,19.14,22.34,0.01,-2.16,-5.04,4.56,14.69,3,SL,-45.33,2026-09-14 11:00,5637.640000000002,2026-09-14,2026-09,580362592,2026-09-02 03:39,4326.23,H1_S20.1421
Div,H1,2026-09-01 21:00,BUY,4326.23,4326.23,4281.1,4547.96,4414.92,False,19.14,22.34,0.01,-2.16,-5.04,4.56,14.69,2,SL,-45.13,2026-09-14 11:00,5592.510000000002,2026-09-14,2026-09,580337280,2026-09-02 03:39,4326.23,H1_S20.1421
Div,H1,2026-09-01 21:00,BUY,4326.23,4326.23,4280.52,4548.32,4415.06,False,19.14,22.34,0.01,-2.16,-5.04,4.56,14.69,1,SL,-45.71,2026-09-14 11:00,5546.800000000002,2026-09-14,2026-09,580404909,2026-09-02 04:00,4326.23,H1_S20.1421
Div,H1,2026-09-01 22:00,BUY,4326.23,4326.23,4281.54,4547.68,4414.81,False,21.06,21.92,0.01,-2.05,-4.99,1.68,7.04,1,SL,-44.69,2026-09-14 11:00,5502.110000000002,2026-09-14,2026-09,580423514,2026-09-02 08:01,4322.96,H1_S20.1421
Div,H1,2026-09-02 02:00,BUY,4322.96,4322.96,4286.75,4544.47,4411.56,False,30.21,18.56,0.01,-2.16,-5.22,8.45,19.77,1,SL,-36.21,2026-09-02 05:00,5465.900000000002,2026-09-02,2026-09,580418841,2026-09-02 08:01,4322.96,M30_S20.1421
Div,H1,2026-09-02 02:00,BUY,4322.96,4322.96,4279.11,4549.19,4413.45,False,30.21,18.56,0.01,-2.16,-5.22,8.45,19.77,3,SL,-43.85,2026-09-14 11:00,5422.050000000002,2026-09-14,2026-09,580416247,2026-09-02 08:01,4322.96,M30_S20.1421
Div,H1,2026-09-02 02:00,BUY,4322.96,4322.96,4281.3,4547.83,4412.91,False,30.21,18.56,0.01,-2.16,-5.22,8.45,19.77,2,SL,-41.66,2026-09-14 11:00,5380.390000000002,2026-09-14,2026-09,580414686,2026-09-02 08:01,4322.96,H1_S20.1421
Div,H1,2026-09-02 03:00,BUY,4322.96,4322.96,4285.85,4545.02,4411.78,False,17.72,19.74,0.01,-2.65,-5.75,24.89,38.24,1,SL,-37.11,2026-09-02 05:00,5343.2800000000025,2026-09-02,2026-09,580409848,2026-09-02 08:01,4322.96,H1_S20.1421
Div,H1,2026-09-02 04:00,BUY,4314.66,4314.66,4275.18,4551.61,4409.44,False,24.99,20.61,0.01,-2.31,-5.47,11.82,27.5,1,SL,-39.48,2026-09-14 14:00,5303.800000000003,2026-09-14,2026-09,580494609,2026-09-02 11:34,4288.46,H1_S20.1421
FollowDiv,H1,2026-09-11 05:00,BUY,4311.24,4311.24,4268.02,4537.37,4401.69,False,37.12,19.4,0.01,-1.76,-2.22,18.91,25.66,3,SL,-43.22,2026-09-14 14:00,5445.850000000003,2026-09-14,2026-09,584356613,2026-09-11 07:52,4313.73,M15_S20.1421
