Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,52,14,38,0,30.729999999999997,30.729999999999997
2025-04,185,32,153,0,-108.52000000000001,-77.79000000000002
2025-05,171,35,136,0,-530.1500000000001,-607.94
2025-06,104,26,78,0,1111.94,504.0
2025-07,140,44,96,0,1250.9,1754.9
2025-08,98,23,75,0,-35.490000000000016,1719.41
2025-09,170,36,134,0,-548.66,1170.75
2025-10,172,9,163,0,-2567.44,-1396.69
2025-11,139,49,90,0,1078.69,-318.0
2025-12,139,34,105,0,-18.54999999999999,-336.55
2026-01,178,21,157,0,-2839.59,-3176.1400000000003
2026-02,162,28,134,0,-1418.42,-4594.56
2026-03,173,44,129,0,410.05,-4184.51
2026-04,135,25,110,0,201.57000000000002,-3982.94
2026-05,185,44,141,0,322.27,-3660.67
2026-06,184,26,158,0,-1124.0,-4784.67
2026-07,121,41,80,0,1653.97,-3130.7
2026-08,205,34,171,0,-1437.78,-4568.48
2026-09,114,30,77,0,494.17,-4074.3099999999995
