SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,SIM_Reason
2026-07-06 05:00:00,,2026-07-06 05:37:00,,H1,,BUY,,4179.89,,,4155.19,,4188.39,,0.01,,8.36,,1008.36,,,,False,TP
2026-07-06 05:31:00,,2026-07-06 05:38:00,,M1,,BUY,,4185.65,,,4182.01,,4190.7,,0.05,,24.55,,1032.91,,,,False,TP
2026-07-06 05:46:00,,2026-07-06 05:47:00,,M1,,BUY,,4188.64,,,4186.54,,4189.45,,0.1,,6.7,,1039.61,,,,False,TP
2026-07-06 05:49:00,,2026-07-06 05:50:00,,M1,,SELL,,4187.43,,,4190.78,,4186.43,,0.06,,5.16,,1044.77,,,,False,TP
2026-07-06 05:58:00,,2026-07-06 06:00:00,,M1,,BUY,,4189.01,,,4184.59,,4189.62,,0.05,,2.35,,1047.12,,,,False,TP
2026-07-06 06:00:00,,2026-07-06 06:01:00,,M1,,SELL,,4188.16,,,4190.88,,4186.76,,0.08,,-22.88,,1024.24,,,,False,SL
2026-07-06 06:02:00,,2026-07-06 06:15:00,,M1,,BUY,,4191.12,,,4187.75,,4198.05,,0.06,,-21.06,,1001.92,,,,False,SL
2026-07-06 06:07:00,,2026-07-06 06:08:00,,M1,,BUY,,4190.23,,,4188.02,,4190.23,,0.09,,-1.26,,1022.98,,,,False,TP
2026-07-06 06:10:00,,2026-07-06 06:29:00,,M1,,SELL,,4189.51,,,4191.87,,4186.45,,0.09,,-22.5,,981.77,,,,False,SL
2026-07-06 06:12:00,,2026-07-06 06:15:00,,M1,,SELL,,4189.43,,,4191.22,,4187.08,,0.11,,24.31,,1026.23,,,,False,TP
2026-07-06 06:13:00,,2026-07-06 06:15:00,,M1,,BUY,,4190.21,,,4188.3,,4190.3,,0.11,,-22.55,,1003.68,,,,False,SL
2026-07-06 06:17:00,,2026-07-06 06:21:00,,M1,,BUY,,4189.01,,,4185.72,,4189.45,,0.06,,1.8,,1005.48,,,,False,TP
