Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2026-06-14,3,0,3,0,-2547960.0,-2547960.0
2026-06-17,1,0,1,0,-4016.0,-2551976.0
2026-06-18,2,0,0,0,0.0,-2551976.0
2026-06-19,1,0,0,0,0.0,-2551976.0
2026-06-22,2,0,2,0,-1673544.0,-4225520.0
2026-07-09,2,0,2,0,-1645088.0,-5870608.0
2026-07-13,1,0,1,0,-10974.0,-5881582.0
2026-07-21,1,0,1,0,-6414.0,-5887996.0
2026-07-28,2,0,2,0,-9170.0,-5897166.0
2026-07-29,5,0,4,0,-19820.0,-5916986.0
2026-07-30,1,0,0,0,0.0,-5916986.0
2026-07-31,1,0,1,0,-11988.0,-5928974.0
2026-08-04,31,0,31,0,-4722.0,-5933696.0
2026-08-05,36,0,36,0,-1735840.0,-7669536.0
2026-08-06,186,6,179,0,-1682542.0,-9352078.0
2026-08-07,86,2,80,0,1952.0,-9350126.0
