Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,56,0,56,0,436420.0
ATR,H12,2,0,2,0,3352.0
Div,H1,263,3,260,0,179800.0
Div,H12,23,0,23,0,-77808.0
Div/ATR,H1,1,0,1,0,-12820.0
Div/FollowDiv,H1,5,0,5,0,10664.0
Fibo,H1,25,3,22,0,-88920.0
Fibo,H12,1,0,1,0,-3520.0
FollowDiv,H1,106,0,106,0,223972.0
FollowDiv,H12,9,0,9,0,46034.0
Naiya,H1,1268,268,1000,0,252460.0
Naiya,H12,94,15,79,0,-170472.0
Naiya Doji,H1,9084,943,8141,0,-2157920.0
Naiya Doji,H12,462,67,393,0,930858.0
Naiya Hidden,H1,129,12,117,0,-1046.0
Naiya Hidden,H12,10,1,9,0,-40858.0
