live_entry,live_fill_ts,live_pnl,live_reason,live_side,live_ticket,status
4452.71,2026-06-05 08:20:04,-0.48,S14 strong-count,BUY,537981173,LIVE_ONLY
4460.78,2026-06-05 08:35:04,0.0,OPEN,SELL,537986274,LIVE_ONLY
