bar_index,signal_time,side,entry,sl,tp,score,members,profit
2435,2026-01-20T22:30:00+07:00,BUY,4729.09,4721.8,4807.83,2.0,114;172,78.54
9132,2026-02-24T08:40:00+07:00,BUY,5170.01,5161.14,5249.84,2.0,165;172,-9.07
12983,2026-03-16T06:50:00+07:00,BUY,4981.0,4971.42,5067.22,2.0,165;172,-9.78
16946,2026-04-06T16:20:00+07:00,BUY,4692.82,4683.82,4764.82,2.0,172;327,-9.2
18656,2026-04-14T20:55:00+07:00,BUY,4767.86,4761.82,4822.22,2.0,165;172,54.16
26080,2026-05-21T19:00:00+07:00,BUY,4515.45,4510.27,4571.4,2.0,165;172,-5.38
27867,2026-06-01T09:30:00+07:00,BUY,4529.94,4526.58,4560.18,2.0,165;172,-3.56
29113,2026-06-05T21:20:00+07:00,SELL,4409.95,4420.69,4324.03,2.0,322;327,85.72
31051,2026-06-16T22:00:00+07:00,BUY,4335.11,4331.12,4371.02,2.0,165;172,-4.19
33333,2026-06-29T09:15:00+07:00,BUY,4057.57,4053.34,4103.26,2.0,165;172,-4.43
36009,2026-07-13T06:25:00+07:00,BUY,4082.69,4079.61,4110.41,2.0,165;172,-3.28
36038,2026-07-13T08:50:00+07:00,BUY,4071.66,4068.2,4102.8,2.0,165;172,-3.66
