signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-03-18T14:55:00+07:00,2026-03-18T15:05:00+07:00,BUY,4993.52,4990.13,5050.82,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.943 collapsed; structural sweep reclaimed
2026-03-18T19:50:00+07:00,2026-03-18T20:00:00+07:00,BUY,4881.12,4869.72,5073.78,SL,-11.6,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.936 collapsed; structural sweep reclaimed
2026-03-31T09:00:00+07:00,2026-03-31T09:15:00+07:00,SELL,4545.61,4551.71,4442.51,SL,-6.3,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.934 collapsed; structural sweep reclaimed
2026-04-01T01:05:00+07:00,2026-04-01T01:20:00+07:00,SELL,4643.34,4656.81,4415.69,SL,-13.67,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.924 collapsed; structural sweep reclaimed
2026-04-01T01:35:00+07:00,2026-04-01T01:40:00+07:00,SELL,4653.28,4661.93,4507.09,SL,-8.85,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.910 collapsed; structural sweep reclaimed
2026-04-01T22:55:00+07:00,2026-04-01T23:00:00+07:00,SELL,4764.19,4769.79,4669.54,SL,-5.8,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.938 collapsed; structural sweep reclaimed
2026-04-01T23:10:00+07:00,2026-04-01T23:20:00+07:00,SELL,4768.58,4775.87,4645.37,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.945 collapsed; structural sweep reclaimed
2026-04-06T16:05:00+07:00,2026-04-06T16:25:00+07:00,SELL,4688.02,4695.17,4567.18,SL,-7.35,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.913 collapsed; structural sweep reclaimed
2026-04-06T18:15:00+07:00,2026-04-06T18:35:00+07:00,BUY,4688.52,4685.67,4736.69,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.937 collapsed; structural sweep reclaimed
2026-04-06T22:35:00+07:00,2026-04-06T22:55:00+07:00,SELL,4688.18,4698.7,4510.39,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.941 collapsed; structural sweep reclaimed
2026-04-09T15:40:00+07:00,2026-04-09T16:20:00+07:00,SELL,4725.69,4732.14,4616.68,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.885 collapsed; structural sweep reclaimed
2026-04-14T17:35:00+07:00,2026-04-14T18:35:00+07:00,BUY,4776.77,4771.41,4867.36,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.939 collapsed; structural sweep reclaimed
2026-04-23T11:00:00+07:00,2026-04-23T11:10:00+07:00,BUY,4703.73,4697.73,4805.13,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.911 collapsed; structural sweep reclaimed
2026-04-23T20:45:00+07:00,2026-04-23T20:55:00+07:00,SELL,4736.93,4743.05,4633.5,SL,-6.32,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.925 collapsed; structural sweep reclaimed
2026-04-28T01:35:00+07:00,2026-04-28T01:45:00+07:00,SELL,4683.04,4686.42,4625.91,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.938 collapsed; structural sweep reclaimed
