label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,S88_D1_INV_NO17,S88_D1_INV_RISK10,S88_D1_INV_RATR12,S89_D1_INV_NO17_RISK20,S89_D1_INV_NO17_RATR18,S89_D1_INV_NO17_RATR20,demo_allin_total
S82+S89_D1_INV_NO17_RISK20x20.5,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S89_D1_INV_NO17_RISK20x20.25,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.9613
S82+S89_D1_INV_NO17_RISK20x20.25,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937.3163
S82+S89_D1_INV_NO17_RISK20x20.25,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S89_D1_INV_NO17_RISK20x20.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S89_D1_INV_NO17_RISK20x20,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.9613
S82+S89_D1_INV_NO17_RISK20x20,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937.3163
S82+S89_D1_INV_NO17_RISK20x20,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S89_D1_INV_NO17_RISK20x20,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S89_D1_INV_NO17_RISK20x19.75,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.9613
S82+S89_D1_INV_NO17_RISK20x19.75,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937.3163
S82+S89_D1_INV_NO17_RISK20x19.75,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S89_D1_INV_NO17_RISK20x19.75,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S89_D1_INV_NO17_RISK20x19.5,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.9613
S82+S89_D1_INV_NO17_RISK20x19.5,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937.3163
S82+S89_D1_INV_NO17_RISK20x19.5,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S89_D1_INV_NO17_RISK20x19.5,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
