timestamp,rank,label,add_leg,add_weight,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 16:02:05,0,S83_BASELINE,,,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,90,439.1,4.474,3,-984.09,3352.32,6366.25,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16
2026-07-03 16:02:05,0,S83_BASELINE,,,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,120,475.4,4.573,3,-984.09,5771.9,8458.94,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57
2026-07-03 16:02:05,0,S83_BASELINE,,,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,150,402.83,4.22,3,-998.76,5771.9,10130.83,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5698.84
2026-07-03 16:02:05,0,S83_BASELINE,,,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,180,401.38,4.095,3,-999.91,5771.9,12068.08,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5946.03
2026-07-03 16:02:05,1,S83+S87_D1_LAST_INVx10,S87_D1_LAST_INV,10.0,"(0, 463.077779, 426.318455, -1473.5377, 3.98621, -3)",463.08,426.32,3.986,3,-1473.54,0.19,55.01,9782,90,483.68,4.427,3,-1457.99,4060.62,6706.25,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_D1_LAST_INV:4012.40;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16
2026-07-03 16:02:05,1,S83+S87_D1_LAST_INVx10,S87_D1_LAST_INV,10.0,"(0, 463.077779, 426.318455, -1473.5377, 3.98621, -3)",463.08,426.32,3.986,3,-1473.54,0.19,55.01,9782,120,510.7,4.366,3,-1457.99,6891.6,8978.94,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_D1_LAST_INV:4236.40;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57
2026-07-03 16:02:05,1,S83+S87_D1_LAST_INVx10,S87_D1_LAST_INV,10.0,"(0, 463.077779, 426.318455, -1473.5377, 3.98621, -3)",463.08,426.32,3.986,3,-1473.54,0.19,55.01,9782,150,431.61,4.065,3,-1468.02,6891.6,10730.83,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_D1_LAST_INV:4316.80;S87_MAIN:7685.63;S88_D1_INV_NO17:5698.84
2026-07-03 16:02:05,1,S83+S87_D1_LAST_INVx10,S87_D1_LAST_INV,10.0,"(0, 463.077779, 426.318455, -1473.5377, 3.98621, -3)",463.08,426.32,3.986,3,-1473.54,0.19,55.01,9782,180,426.32,3.986,3,-1473.54,6891.6,12738.08,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_D1_LAST_INV:4488.10;S87_MAIN:5749.80;S88_D1_INV_NO17:5946.03
2026-07-03 16:02:05,2,S83+S87_D1_LAST_INVx9.9,S87_D1_LAST_INV,9.9,"(0, 462.743784, 426.069116, -1468.7987, 3.98724, -3)",462.74,426.07,3.987,3,-1468.8,0.19,55.01,9782,90,483.24,4.427,3,-1453.25,4053.54,6702.85,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_D1_LAST_INV:3972.28;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16
2026-07-03 16:02:05,2,S83+S87_D1_LAST_INVx9.9,S87_D1_LAST_INV,9.9,"(0, 462.743784, 426.069116, -1468.7987, 3.98724, -3)",462.74,426.07,3.987,3,-1468.8,0.19,55.01,9782,120,510.35,4.368,3,-1453.25,6880.4,8973.74,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_D1_LAST_INV:4194.04;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57
2026-07-03 16:02:05,2,S83+S87_D1_LAST_INVx9.9,S87_D1_LAST_INV,9.9,"(0, 462.743784, 426.069116, -1468.7987, 3.98724, -3)",462.74,426.07,3.987,3,-1468.8,0.19,55.01,9782,150,431.32,4.067,3,-1463.28,6880.4,10724.83,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_D1_LAST_INV:4273.63;S87_MAIN:7685.63;S88_D1_INV_NO17:5698.84
2026-07-03 16:02:05,2,S83+S87_D1_LAST_INVx9.9,S87_D1_LAST_INV,9.9,"(0, 462.743784, 426.069116, -1468.7987, 3.98724, -3)",462.74,426.07,3.987,3,-1468.8,0.19,55.01,9782,180,426.07,3.987,3,-1468.8,6880.4,12731.38,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_D1_LAST_INV:4443.22;S87_MAIN:5749.80;S88_D1_INV_NO17:5946.03
2026-07-03 16:02:05,3,S83+S87_D1_LAST_INVx9.8,S87_D1_LAST_INV,9.8,"(0, 462.409788, 425.819777, -1464.0597, 3.988272, -3)",462.41,425.82,3.988,3,-1464.06,0.19,55.01,9782,90,482.79,4.428,3,-1448.51,4046.46,6699.45,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_D1_LAST_INV:3932.15;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16
2026-07-03 16:02:05,3,S83+S87_D1_LAST_INVx9.8,S87_D1_LAST_INV,9.8,"(0, 462.409788, 425.819777, -1464.0597, 3.988272, -3)",462.41,425.82,3.988,3,-1464.06,0.19,55.01,9782,120,510.0,4.37,3,-1448.51,6869.21,8968.55,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_D1_LAST_INV:4151.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57
