date,base_s87,overlay_x001,total
2026-04-03,-151.4205,0.0,-151.4205
2026-04-06,-207.8634,0.0,-207.8634
2026-04-07,231.4465,-0.655,230.7915
2026-04-08,407.14,0.0,407.14
2026-04-09,602.79,-0.1563,602.6337
2026-04-10,599.24,0.0,599.24
2026-04-11,-13.96,0.0,-13.96
2026-04-13,-437.31,0.0,-437.31
2026-04-14,634.6606,0.0,634.6606
2026-04-15,-77.6768,0.0,-77.6768
2026-04-16,-339.8987,0.0,-339.8987
2026-04-17,-133.8287,-0.1476,-133.9763
2026-04-18,170.64,0.0,170.64
2026-04-20,210.0919,0.0,210.0919
2026-04-21,499.2151,0.6809,499.896
2026-04-22,113.1389,0.394,113.5329
2026-04-23,1589.2761,0.0,1589.2761
2026-04-24,-37.1578,0.2358,-36.922
2026-04-25,-77.85,0.0,-77.85
2026-04-27,677.5236,0.245,677.7686
2026-04-28,1855.3988,0.1351,1855.5339
2026-04-29,390.7846,-0.2181,390.5665
2026-04-30,413.8701,0.2187,414.0888
2026-05-01,-869.5837,-0.3589,-869.9426
2026-05-04,1080.0834,0.0,1080.0834
2026-05-05,706.3433,0.0,706.3433
2026-05-06,822.7119,0.0,822.7119
2026-05-07,-901.0823,0.0,-901.0823
2026-05-08,1022.886,0.0,1022.886
2026-05-09,97.52,0.0,97.52
2026-05-11,149.2512,0.0,149.2512
2026-05-12,1045.4496,0.0,1045.4496
2026-05-13,-608.8426,-0.496,-609.3386
2026-05-14,165.77,-0.3719,165.3981
2026-05-15,1287.192,1.3628,1288.5548
2026-05-16,-52.12,0.0,-52.12
2026-05-18,597.8064,-0.1687,597.6377
2026-05-19,1577.6578,0.3775,1578.0353
2026-05-20,259.4702,-0.1661,259.3041
2026-05-21,336.4965,0.5108,337.0073
2026-05-22,660.7964,0.1378,660.9342
2026-05-23,-75.4,0.0,-75.4
2026-05-25,790.5593,-0.5013,790.058
2026-05-26,696.2683,0.1908,696.4591
2026-05-27,861.2424,0.4508,861.6932
2026-05-28,1119.844,0.2658,1120.1098
2026-05-29,1372.5851,0.0,1372.5851
2026-05-30,119.62,0.0,119.62
2026-06-01,1526.3315,0.0,1526.3315
2026-06-02,35.1169,0.4144,35.5313
2026-06-03,2197.178,-0.2387,2196.9393
2026-06-04,2059.2637,-0.3034,2058.9603
2026-06-05,452.1402,0.5578,452.698
2026-06-08,111.2,0.3452,111.5452
2026-06-09,-510.7647,-0.5043,-511.269
2026-06-10,1043.7002,0.0,1043.7002
2026-06-11,1088.0426,0.0,1088.0426
2026-06-12,-171.2454,0.0,-171.2454
2026-06-15,1656.3251,0.0,1656.3251
2026-06-16,-584.3062,0.0,-584.3062
2026-06-17,-206.0928,0.0,-206.0928
2026-06-18,973.71,0.0,973.71
2026-06-19,150.692,0.0,150.692
2026-06-22,-356.336,0.0,-356.336
2026-06-23,870.028,0.4693,870.4973
2026-06-24,1020.2637,0.0,1020.2637
2026-06-25,1079.1555,-0.4717,1078.6838
2026-06-26,1586.1036,-0.6147,1585.4889
2026-06-27,-351.68,0.0,-351.68
2026-06-29,455.45,0.0,455.45
2026-06-30,1922.9507,0.0,1922.9507
2026-07-01,-390.3692,0.0,-390.3692
2026-07-02,2053.1596,0.0,2053.1596
2026-07-03,225.3872,0.0,225.3872
