TF,Sub-Pattern,Trades,WinRate(%),P/L($),AvgWin($),AvgLoss($),MaxSLStreak
M1,S20.9,3234,49.3,-989.96,4.45,-4.93,8
M5,S20.9,699,47.6,-373.73,10.67,-10.73,8
M15,S20.9,277,48.0,-334.88,18.55,-19.46,7
M30,S20.9,132,51.5,84.9,26.07,-26.37,6
H1,S20.9,83,57.8,416.77,36.49,-38.13,5
H4,S20.9,27,44.4,-342.75,92.48,-96.83,6
H12,S20.9,22,40.9,-592.14,149.79,-149.25,4
D1,S20.9,27,44.4,-210.34,209.4,-181.54,5
