time,exit_time,dir,entry,sl,tp,outcome,profit,ml_prob
2026-07-01 14:35,2026-07-01 15:15,SELL,3967.52,3974.87,3960.17,TP,7.15,0.557
2026-07-06 20:15,2026-07-06 20:20,SELL,4155.69,4160.57,4150.81,TP,4.68,0.561
2026-07-07 13:00,2026-07-07 13:10,SELL,4128.41,4134.22,4122.6,TP,5.61,0.559
2026-07-08 01:25,2026-07-08 02:00,SELL,4146.09,4150.42,4141.76,TP,4.13,0.556
2026-07-08 02:20,2026-07-08 02:30,SELL,4143.02,4146.72,4139.32,TP,3.5,0.554
2026-07-08 08:05,2026-07-08 08:25,SELL,4100.03,4106.5,4093.56,SL,-6.67,0.551
2026-07-08 13:00,2026-07-08 13:05,SELL,4127.96,4133.48,4122.44,SL,-5.72,0.555
2026-07-09 07:00,2026-07-09 08:00,SELL,4075.41,4080.39,4070.43,SL,-5.18,0.554
2026-07-09 23:25,2026-07-10 00:30,SELL,4127.89,4135.08,4120.7,SL,-7.39,0.554
2026-07-10 02:15,2026-07-10 02:35,SELL,4127.18,4132.58,4121.78,TP,5.2,0.552
2026-07-10 09:45,2026-07-10 10:05,SELL,4113.26,4122.23,4104.29,SL,-9.17,0.551
2026-07-10 10:35,2026-07-10 11:00,SELL,4123.92,4131.74,4116.1,SL,-8.02,0.584
2026-07-10 21:15,2026-07-10 21:25,SELL,4102.18,4111.13,4093.23,TP,8.75,0.552
