strategy,days,signals,closed,wins,win_rate,net,pnl_per_day,pf,max_dd,error
110,30,0,0,0,None,0,0.0,None,0.0,
110,60,0,0,0,None,0,0.0,None,0.0,
110,90,0,0,0,None,0,0.0,None,0.0,
110,120,0,0,0,None,0,0.0,None,0.0,
110,150,0,0,0,None,0,0.0,None,0.0,
110,365,0,0,0,None,0,0.0,None,0.0,
165,30,14,9,0,0.0,-24.349999999999998,-0.8116666666666666,0.0,24.349999999999998,
165,60,33,25,1,4.0,-3.1799999999999953,-0.05213114754098353,0.9410237388724033,29.569999999999997,
165,90,46,34,2,5.88235294117647,64.39999999999995,0.7076923076923072,1.9787234042553181,36.780000000000044,
165,120,66,47,5,10.638297872340425,290.63000000000034,2.382213114754101,4.4244138093554835,36.7799999999998,
165,150,77,53,5,9.433962264150944,277.77000000000027,1.8518000000000017,3.8422183566970207,36.77999999999983,
165,365,145,98,7,7.142857142857142,242.7400000000002,0.6650410958904115,2.239101582440022,61.62000000000002,
166,30,24,14,1,7.142857142857142,78.57999999999996,2.6193333333333317,6.604850213980028,13.820000000000036,
166,60,35,22,2,9.090909090909092,186.10000000000008,3.0508196721311487,13.068741893644615,13.819999999999908,
166,90,49,28,2,7.142857142857142,174.97000000000008,1.9227472527472538,7.590207156308854,13.819999999999908,
166,120,60,36,2,5.555555555555555,159.8400000000001,1.3101639344262301,4.834932821497121,27.45999999999999,
166,150,71,43,2,4.651162790697675,155.9500000000001,1.0396666666666674,4.422207592714504,31.349999999999987,
166,365,180,120,3,2.5,95.78999999999992,0.2624383561643833,1.7216362814524622,118.12000000000005,
172,30,15,9,0,0.0,-12.389999999999997,-0.4129999999999999,0.0,12.389999999999997,
172,60,26,19,0,0.0,-17.779999999999998,-0.2914754098360655,0.0,17.779999999999998,
172,90,39,30,1,3.3333333333333335,71.38999999999994,0.7845054945054939,3.9745833333333347,18.780000000000058,
172,120,60,43,4,9.30232558139535,301.99000000000035,2.475327868852462,8.103975535168196,18.779999999999745,
172,150,69,49,4,8.16326530612245,293.48000000000036,1.9565333333333357,6.752254018032136,21.729999999999997,
172,365,175,123,5,4.0650406504065035,270.4800000000003,0.7410410958904118,2.7729417933927674,71.54000000000005,
173,30,25,15,2,13.333333333333334,175.4600000000001,5.84866666666667,13.52391149179158,13.809999999999889,
173,60,40,27,3,11.11111111111111,217.8400000000001,3.571147540983608,7.382654556108994,20.12000000000001,
173,90,63,42,4,9.523809523809524,267.54000000000013,2.9400000000000013,6.117444529456769,20.120000000000033,
173,120,74,51,4,7.8431372549019605,253.8600000000001,2.0808196721311485,4.848696179502727,24.149999999999988,
173,150,81,57,4,7.017543859649122,249.6100000000001,1.6640666666666672,4.555191568152683,28.399999999999988,
173,365,182,135,5,3.7037037037037033,131.26000000000022,0.35961643835616497,1.6079384928905591,169.0599999999999,
176,30,67,50,3,6.0,11.79999999999999,0.393333333333333,1.0908321145408357,86.79000000000002,
176,60,117,84,7,8.333333333333332,131.6100000000002,2.1575409836065607,1.5774647887323952,86.78999999999982,
176,90,164,115,8,6.956521739130435,124.04000000000022,1.3630769230769255,1.3830878038234669,86.78999999999982,
176,120,195,134,11,8.208955223880597,278.1500000000005,2.279918032786889,1.7385820499203413,87.50999999999996,
176,150,240,159,12,7.547169811320755,243.38000000000034,1.6225333333333356,1.5157776506241143,95.27000000000002,
176,365,571,401,20,4.987531172069826,240.39000000000078,0.6586027397260296,1.234204655059866,320.4499999999996,
206,30,3,3,0,0.0,-6.18,-0.206,0.0,6.18,
206,60,11,11,0,0.0,-18.799999999999997,-0.30819672131147535,0.0,18.799999999999997,
206,90,18,18,0,0.0,-35.40999999999999,-0.389120879120879,0.0,35.40999999999999,
206,120,23,23,1,4.3478260869565215,26.18999999999996,0.21467213114754063,1.630780346820809,35.61000000000004,
206,150,30,30,2,6.666666666666667,53.45999999999999,0.3563999999999999,1.8664505672609393,35.61000000000001,
206,365,89,88,12,13.636363636363635,547.3799999999995,1.499671232876711,4.947072396884916,35.61000000000047,
218,30,0,0,0,None,0,0.0,None,0.0,
218,60,0,0,0,None,0,0.0,None,0.0,
218,90,0,0,0,None,0,0.0,None,0.0,
218,120,0,0,0,None,0,0.0,None,0.0,
218,150,0,0,0,None,0,0.0,None,0.0,
218,365,0,0,0,None,0,0.0,None,0.0,
224,30,3,3,0,0.0,-3.4699999999999998,-0.11566666666666665,0.0,3.4699999999999998,
224,60,5,5,0,0.0,-7.449999999999999,-0.1221311475409836,0.0,7.449999999999999,
224,90,7,7,0,0.0,-7.85,-0.08626373626373626,0.0,7.85,
224,120,11,11,1,9.090909090909092,-7.51,-0.06155737704918032,0.5866813428728676,10.32,
