timestamp,label,entry_tf,st_atr_period,st_atr_mult,sl_atr_mult,tp_rr,risk_pct,trades,wr,avg_per_day_span,avg_per_month,max_dd_pct,profit_factor,pct_pos_days,max_losing_day_streak,sharpe_like,final_equity
2026-06-27 16:20:33,smoke,M5,10,3.0,1.0,1.5,0.5,3,0.0,-1.76,-52.8,10.55,0.0,0.0,3,-5.557,894.48
2026-06-27 16:56:24,robust30,M5,20,2.0,1.5,2.0,0.5,22,31.8,-1.73,-51.9,21.31,0.86,30.8,7,-0.078,948.01
2026-06-27 16:56:38,robust60,M5,20,2.0,1.5,2.0,0.5,46,32.6,-1.92,-57.6,24.1,0.85,34.6,7,-0.078,884.76
2026-06-27 16:57:03,robust120,M5,20,2.0,1.5,2.0,0.5,89,34.8,-1.97,-59.1,34.63,0.86,36.0,7,-0.078,763.08
2026-06-27 16:57:40,robust180,M5,20,2.0,1.5,2.0,0.5,143,39.9,1.78,53.4,23.44,1.15,44.3,7,0.07,1320.14
