label,days,date,total,S208_M1,S2010_M30_ALL,S2010_M30_DM,S2010_M30_SP,other_total
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.25,150,2026-03-09,-994.1177,0.0,0.0,0.0,0.0,-994.1177
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.25,180,2026-03-05,-999.8963,0.0,0.0,0.0,0.0,-999.8963
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.5,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.5,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.5,150,2026-03-09,-994.1177,0.0,0.0,0.0,0.0,-994.1177
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.5,180,2026-03-05,-999.8963,0.0,0.0,0.0,0.0,-999.8963
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.5,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.5,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.5,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.5,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.75,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.75,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.75,150,2026-03-09,-994.1177,0.0,0.0,0.0,0.0,-994.1177
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.75,180,2026-03-05,-999.8963,0.0,0.0,0.0,0.0,-999.8963
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx1,90,2026-02-18,-984.7913,0.0,-18.83,0.0,0.0,-965.9613
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx1,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx1,150,2026-03-09,-994.1177,0.0,0.0,0.0,0.0,-994.1177
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx1,180,2026-02-17,-1009.5439,0.0,-71.16,0.0,0.0,-938.3839
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.75,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.75,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.75,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.75,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx1.25,90,2026-02-18,-989.4988,0.0,-23.5375,0.0,0.0,-965.9613
