timestamp,rank,mode,label,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_dd,skipped,min_trades,days,trades,day,pf,streak,window_worst_day
2026-07-03 10:52:40,1,scout,M5_lb10_pb4_lm0.7_pm0.15_ft0.05_cf0.1_sl0.45_rr1.5_flip1,"(0, 1, 0.860556, 0.860556, 1.273154, -6, -19.34)",0.86,0.86,1.273,6,-19.34,0.04,7.97,162,199,90,199,0.86,1.273,6,-19.34
2026-07-03 10:52:40,2,scout,M5_lb10_pb4_lm1.3_pm0.15_ft0.05_cf0.1_sl0.45_rr1_flip1,"(0, 1, 0.800667, 0.800667, 1.320181, -5, -18.9)",0.8,0.8,1.32,5,-18.9,0.03,4.96,90,165,90,165,0.8,1.32,5,-18.9
2026-07-03 10:52:40,3,scout,M5_lb10_pb3_lm0.7_pm0.15_ft0.05_cf0.1_sl0.25_rr1_flip0,"(0, 1, 0.796333, 0.796333, 1.093053, -7, -49.02)",0.8,0.8,1.093,7,-49.02,0.02,13.8,220,298,90,298,0.8,1.093,7,-49.02
2026-07-03 10:52:40,4,scout,M5_lb10_pb4_lm0.7_pm0.15_ft0.05_cf0.1_sl0.45_rr1_flip1,"(0, 1, 0.406556, 0.406556, 1.117774, -5, -20.64)",0.41,0.41,1.118,5,-20.64,0.04,8.6,123,238,90,238,0.41,1.118,5,-20.64
2026-07-03 10:52:40,5,scout,M5_lb10_pb3_lm0.7_pm0.15_ft0.05_cf0.1_sl0.45_rr1_flip0,"(0, 1, 0.287222, 0.287222, 1.029633, -5, -53.59)",0.29,0.29,1.03,5,-53.59,0.02,18.77,240,278,90,278,0.29,1.03,5,-53.59
2026-07-03 10:52:40,6,scout,M5_lb10_pb4_lm1.3_pm0.15_ft0.05_cf0.1_sl0.45_rr1.5_flip1,"(0, 1, 0.171778, 0.171778, 1.06253, -4, -18.9)",0.17,0.17,1.063,4,-18.9,0.03,6.35,110,145,90,145,0.17,1.063,4,-18.9
2026-07-03 10:52:40,7,scout,M5_lb10_pb4_lm1.3_pm0.15_ft0.05_cf0.1_sl0.25_rr1.5_flip1,"(0, 1, -0.468556, -0.468556, 0.808135, -6, -16.13)",-0.47,-0.47,0.808,6,-16.13,0.05,7.73,130,125,90,125,-0.47,0.808,6,-16.13
2026-07-03 10:52:40,8,scout,M5_lb18_pb4_lm0.7_pm0.15_ft0.05_cf0.1_sl0.45_rr1.5_flip0,"(0, 1, -0.554444, -0.554444, 0.936903, -6, -88.82)",-0.55,-0.55,0.937,6,-88.82,0.01,21.88,226,198,90,198,-0.55,0.937,6,-88.82
2026-07-03 10:52:40,9,scout,M5_lb10_pb3_lm1.3_pm0.15_ft0.05_cf0.1_sl0.25_rr1_flip0,"(0, 1, -1.034667, -1.034667, 0.845256, -6, -52.72)",-1.03,-1.03,0.845,6,-52.72,0.02,22.06,180,186,90,186,-1.03,0.845,6,-52.72
2026-07-03 10:52:40,10,scout,M5_lb10_pb4_lm1.3_pm0.15_ft0.05_cf0.1_sl0.25_rr1_flip1,"(0, 1, -1.533778, -1.533778, 0.489006, -10, -18.16)",-1.53,-1.53,0.489,10,-18.16,0.05,14.63,113,142,90,142,-1.53,0.489,10,-18.16
2026-07-03 10:52:40,11,scout,M5_lb10_pb3_lm1.3_pm0.15_ft0.05_cf0.1_sl0.45_rr1_flip0,"(0, 1, -2.908889, -2.908889, 0.627559, -7, -56.22)",-2.91,-2.91,0.628,7,-56.22,0.01,32.62,200,166,90,166,-2.91,0.628,7,-56.22
2026-07-03 10:52:40,12,scout,M5_lb10_pb3_lm1.3_pm0.15_ft0.05_cf0.1_sl0.45_rr1.5_flip0,"(0, 1, -3.744111, -3.744111, 0.59026, -5, -88.97)",-3.74,-3.74,0.59,5,-88.97,0.01,37.53,210,156,90,156,-3.74,0.59,5,-88.97
