timestamp,label,entry_tf,confirmation_type,htf_tf,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,ema_fast,pullback_touch_atr,sl_atr_mult,tp_rr,htf_ema_period,htf_slope_bars,adx_min_threshold,rsi_threshold,level_lookback,level_zone_pct
2026-06-26 20:59:57,grid001_none_M1_sl0.5_rr0.8,M1,none,M15,5422,54.5,-1908.14,-63.6,-56.12,159.5,34,30,0,1972.47,189.95,0.01,0.1,1.0,-908.14,10,-0.38,0.83,8,0.15,0.5,0.8,50,5,0.0,10.0,20,0.2
2026-06-26 20:59:58,grid002_none_M1_sl0.5_rr1.0,M1,none,M15,5422,49.5,-1675.12,-55.84,-49.27,159.5,34,30,0,1744.34,174.43,0.01,0.1,1.0,-675.12,15,0.173,0.87,8,0.15,0.5,1.0,50,5,0.0,10.0,20,0.2
2026-06-26 20:59:59,grid003_none_M1_sl0.5_rr1.5,M1,none,M15,5422,39.8,-1471.58,-49.05,-42.05,154.9,35,30,0,1510.09,151.01,0.01,0.09,1.0,-471.58,19,-0.529,0.9,8,0.15,0.5,1.5,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:00,grid004_none_M1_sl0.5_rr2.0,M1,none,M15,5422,33.0,-1610.3,-53.68,-47.36,159.5,34,30,0,1726.47,162.19,0.01,0.09,1.0,-610.3,24,0.055,0.91,8,0.15,0.5,2.0,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:01,grid005_none_M1_sl0.8_rr0.8,M1,none,M15,5417,54.8,-1817.32,-60.58,-53.45,159.3,34,30,0,2036.8,174.27,0.01,0.08,1.0,-817.32,11,-0.062,0.87,8,0.15,0.8,0.8,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:02,grid006_none_M1_sl0.8_rr1.0,M1,none,M15,5417,49.8,-1566.9,-52.23,-46.09,159.3,34,30,0,1929.58,144.93,0.01,0.11,1.0,-566.9,14,0.301,0.91,8,0.15,0.8,1.0,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:03,grid007_none_M1_sl0.8_rr1.5,M1,none,M15,5417,39.6,-1666.18,-55.54,-47.61,154.8,35,30,0,1894.23,160.44,0.01,0.07,1.0,-666.18,20,-0.021,0.91,8,0.15,0.8,1.5,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:05,grid008_none_M1_sl0.8_rr2.0,M1,none,M15,5416,33.2,-1646.38,-54.88,-48.42,159.3,34,30,0,2199.67,146.43,0.01,0.1,1.0,-646.38,32,0.044,0.93,8,0.15,0.8,2.0,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:05,grid009_none_M5_sl0.5_rr0.8,M5,none,M15,1213,53.3,-705.38,-23.51,-20.75,35.7,34,30,0,739.65,73.28,0.01,0.04,1.0,294.62,9,-0.089,0.86,8,0.15,0.5,0.8,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:05,grid010_none_M5_sl0.5_rr1.0,M5,none,M15,1212,47.0,-792.65,-26.42,-23.31,35.6,34,30,0,808.15,80.81,0.01,0.03,1.0,207.35,14,-0.104,0.85,8,0.15,0.5,1.0,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:05,grid011_none_M5_sl0.5_rr1.5,M5,none,M15,1211,37.7,-634.32,-21.14,-17.14,32.7,37,30,0,860.87,80.14,0.01,0.03,1.0,365.68,18,-0.053,0.9,8,0.15,0.5,1.5,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:06,grid012_none_M5_sl0.5_rr2.0,M5,none,M15,1211,30.1,-946.58,-31.55,-24.91,31.9,38,30,0,1144.18,103.45,0.01,0.03,1.0,53.42,23,0.628,0.87,8,0.15,0.5,2.0,50,5,0.0,10.0,20,0.2
2026-06-26 21:00:06,grid013_none_M5_sl0.8_rr0.8,M5,none,M15,1210,52.2,-777.41,-25.91,-22.21,34.6,35,30,0,804.84,80.48,0.01,0.02,1.0,222.59,15,-0.101,0.86,8,0.15,0.8,0.8,50,5,0.0,10.0,20,0.2
