timestamp,label,score,days,trading_days,day,month,daily_pf,sharpe,pos_day_pct,max_streak,worst_day,best_day,max_leg_dd_pct,max_lot,skipped_by_cb,trade_units,by_leg
2026-07-03 09:47:02,S75_GRID_38_P16+S63x1+S69x24+S64x2,"(1, 323.1278, 307.3917, 5.1958, -730.61, -3)",90,111,320.96,9628.68,6.043,0.609,69.4,3,-466.85,1701.95,47.2,0.09,4627,4758.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:170.93;S64:18.24;S69:1849.92
2026-07-03 09:47:02,S75_GRID_38_P16+S63x1+S69x24+S64x2,"(1, 323.1278, 307.3917, 5.1958, -730.61, -3)",120,142,341.47,10244.07,6.007,0.551,69.7,3,-560.93,3143.47,55.01,0.11,6477,6229.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:155.71;S64:218.56;S69:2150.64
2026-07-03 09:47:02,S75_GRID_38_P16+S63x1+S69x24+S64x2,"(1, 323.1278, 307.3917, 5.1958, -730.61, -3)",150,180,307.39,9221.75,5.542,0.51,66.7,3,-525.59,2991.73,49.25,0.12,8267,7587.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:148.40;S64:-110.88;S69:2150.64
2026-07-03 09:47:02,S75_GRID_38_P16+S63x1+S69x24+S64x2,"(1, 323.1278, 307.3917, 5.1958, -730.61, -3)",180,215,322.69,9680.83,5.196,0.494,66.0,3,-730.61,2991.73,34.59,0.19,9727,9032.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:194.74;S64:68.86;S69:3165.36
2026-07-03 09:47:02,S75_GRID_39_P16+S69x24+S64x8,"(1, 323.0614, 304.1848, 4.9014, -741.01, -3)",90,111,319.66,9589.95,5.387,0.6,69.4,3,-641.27,1605.18,47.2,0.09,4617,4912.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S64:72.96;S69:1849.92
2026-07-03 09:47:02,S75_GRID_39_P16+S69x24+S64x8,"(1, 323.0614, 304.1848, 4.9014, -741.01, -3)",120,142,345.64,10369.06,5.448,0.5,68.3,3,-678.64,4455.45,55.01,0.11,6467,6427.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S64:874.24;S69:2150.64
2026-07-03 09:47:02,S75_GRID_39_P16+S69x24+S64x8,"(1, 323.0614, 304.1848, 4.9014, -741.01, -3)",150,180,304.18,9125.54,5.116,0.504,65.0,3,-678.07,3033.51,49.25,0.12,8247,7763.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S64:-443.52;S69:2150.64
2026-07-03 09:47:02,S75_GRID_39_P16+S69x24+S64x8,"(1, 323.0614, 304.1848, 4.9014, -741.01, -3)",180,215,322.76,9682.81,4.901,0.494,65.1,3,-741.01,3033.51,34.59,0.19,9707,9271.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S64:275.44;S69:3165.36
2026-07-03 09:47:02,S75_GRID_40_P16+S63x1+S69x24+S64x1,"(1, 322.9194, 307.7613, 5.2341, -730.61, -3)",90,111,320.85,9625.64,6.167,0.609,69.4,3,-484.94,1701.95,47.2,0.09,4627,4727.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:170.93;S64:9.12;S69:1849.92
2026-07-03 09:47:02,S75_GRID_40_P16+S63x1+S69x24+S64x1,"(1, 322.9194, 307.7613, 5.2341, -730.61, -3)",120,142,340.56,10216.75,6.105,0.557,69.7,3,-579.02,2931.77,55.01,0.11,6477,6189.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:155.71;S64:109.28;S69:2150.64
2026-07-03 09:47:02,S75_GRID_40_P16+S63x1+S69x24+S64x1,"(1, 322.9194, 307.7613, 5.2341, -730.61, -3)",150,180,307.76,9232.84,5.598,0.51,66.7,3,-543.68,2991.73,49.25,0.12,8267,7550.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:148.40;S64:-55.44;S69:2150.64
2026-07-03 09:47:02,S75_GRID_40_P16+S63x1+S69x24+S64x1,"(1, 322.9194, 307.7613, 5.2341, -730.61, -3)",180,215,322.5,9675.09,5.234,0.494,66.0,3,-730.61,2991.73,34.59,0.19,9727,8982.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:194.74;S64:34.43;S69:3165.36
