date,trades,net_profit
2024-06-07,1,-5.04
2024-06-11,1,5.48
2024-06-14,1,-4.47
2024-06-17,1,-7.5
2024-06-19,1,-4.12
2024-06-20,1,3.94
2024-06-21,1,4.17
2024-06-26,3,-5.3500000000000005
2024-07-02,2,-12.82
2024-07-05,1,-3.73
2024-07-08,1,-5.59
2024-07-15,1,-3.92
2024-07-16,1,-9.58
2024-07-17,1,5.58
2024-07-19,1,-7.8
2024-07-24,1,-4.37
2024-07-31,1,-4.26
2024-08-05,2,15.14
2024-08-06,1,-7.3
2024-08-09,1,-8.15
2024-08-13,1,7.84
2024-08-20,1,7.99
2024-08-21,1,-4.78
2024-08-28,1,-3.88
2024-08-29,1,-4.92
2024-09-02,1,3.4
2024-09-09,1,-4.88
2024-09-13,1,-5.72
2024-09-16,1,3.77
2024-09-17,1,-8.64
2024-09-19,1,13.36
2024-09-27,1,3.14
2024-10-07,1,5.03
2024-10-08,2,12.629999999999999
2024-10-11,1,-5.96
2024-10-15,1,-5.3
2024-10-16,2,10.3
2024-10-30,1,3.89
2024-11-05,1,-8.25
2024-11-07,1,-5.59
2024-11-11,1,-4.39
2024-11-12,1,10.01
2024-11-18,1,5.67
2024-11-19,1,-5.33
2024-11-21,1,-4.69
2024-11-22,2,-12.41
2024-12-03,2,-10.9
2024-12-11,1,14.51
2024-12-26,2,-7.58
2024-12-31,1,-4.07
2025-01-02,1,-4.27
2025-01-03,1,-3.52
2025-01-07,1,5.82
2025-01-09,1,6.93
2025-01-29,1,3.75
2025-02-04,2,19.09
2025-02-05,1,-5.8
2025-02-11,1,34.05
2025-02-12,1,2.8
2025-02-15,1,7.2
2025-02-17,1,-4.72
2025-02-18,1,3.78
2025-02-19,1,-6.85
2025-02-21,1,7.4
2025-02-25,1,-6.4
2025-02-26,2,6.629999999999999
2025-02-27,1,7.29
2025-02-28,1,-6.5
2025-03-03,1,-5.38
2025-03-04,2,-13.81
2025-03-07,1,6.13
2025-03-10,2,11.86
2025-03-13,1,-3.74
2025-03-14,1,7.46
2025-03-18,1,-9.15
2025-03-19,2,9.620000000000001
2025-03-21,1,6.73
2025-03-24,1,-4.67
2025-03-28,1,-7.28
2025-04-02,1,-9.83
2025-04-08,1,-11.73
2025-04-10,2,-42.269999999999996
2025-04-16,1,-6.82
2025-04-17,1,12.74
2025-04-21,3,-18.98
2025-04-23,1,-20.16
2025-04-29,1,-15.76
2025-05-20,1,-7.45
2025-05-22,1,-11.34
2025-05-28,2,-1.9299999999999997
2025-05-30,1,-3.87
2025-06-02,1,-6.5
2025-06-03,1,-5.66
2025-06-10,1,9.3
2025-06-11,1,8.31
2025-06-13,1,-15.74
2025-06-18,1,5.65
2025-06-25,1,-6.75
2025-07-02,2,3.91
2025-07-03,2,21.88
2025-07-09,2,0.5300000000000002
2025-07-11,1,-4.74
2025-07-15,1,7.52
2025-07-18,1,-4.77
2025-07-21,1,3.84
2025-07-22,1,9.17
2025-07-28,1,7.44
2025-07-29,1,-4.35
2025-07-30,2,-8.07
2025-08-07,1,6.57
2025-08-08,1,3.26
2025-08-14,1,4.93
2025-08-19,1,4.76
2025-08-21,1,-5.82
2025-08-22,1,3.69
2025-08-26,1,-5.67
2025-08-27,2,2.2699999999999996
2025-08-28,1,3.41
2025-08-29,1,5.48
2025-09-01,1,6.26
2025-09-05,1,3.93
2025-09-09,3,5.6
2025-09-10,1,6.14
2025-09-12,1,3.51
2025-09-18,2,-27.229999999999997
2025-09-19,1,-8.8
2025-09-22,1,-8.24
2025-09-23,1,17.47
2025-09-24,1,40.7
2025-09-25,2,22.97
2025-09-26,2,9.92
