timestamp,rank,label,score,min_day,avg_day,min_pf,avg_sharpe,max_streak,scale_all,scaled_worst,days,fixed_per_day,fixed_pf,sharpe_like,max_losing_day_streak,worst_day,best_day,trade_units
2026-07-03 09:28:31,1,D[BCEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.3914, -8481.87, 1.339, 0.235)",106.48,123.04,1.339,0.235,4,9.391,-8481.87,90,128.24,1.4,0.302,4,-698.17,1383.49,3253.0
2026-07-03 09:28:31,1,D[BCEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.3914, -8481.87, 1.339, 0.235)",106.48,123.04,1.339,0.235,4,9.391,-8481.87,120,145.21,1.436,0.239,4,-709.81,4663.0,4155.0
2026-07-03 09:28:31,1,D[BCEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.3914, -8481.87, 1.339, 0.235)",106.48,123.04,1.339,0.235,4,9.391,-8481.87,150,106.48,1.339,0.191,4,-709.81,4663.0,5185.0
2026-07-03 09:28:31,1,D[BCEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.3914, -8481.87, 1.339, 0.235)",106.48,123.04,1.339,0.235,4,9.391,-8481.87,180,112.23,1.375,0.208,4,-903.15,4663.0,6147.0
2026-07-03 09:28:31,2,D[BCEGHIMNR]+S634_S6932_S648,"(1, 1, -9.4127, -8501.04, 1.348, 0.2345)",106.24,122.51,1.348,0.234,4,9.413,-8501.04,90,126.89,1.406,0.3,4,-648.92,1383.49,3141.0
2026-07-03 09:28:31,2,D[BCEGHIMNR]+S634_S6932_S648,"(1, 1, -9.4127, -8501.04, 1.348, 0.2345)",106.24,122.51,1.348,0.234,4,9.413,-8501.04,120,144.85,1.448,0.239,4,-709.81,4663.0,3990.0
2026-07-03 09:28:31,2,D[BCEGHIMNR]+S634_S6932_S648,"(1, 1, -9.4127, -8501.04, 1.348, 0.2345)",106.24,122.51,1.348,0.234,4,9.413,-8501.04,150,106.24,1.348,0.191,4,-709.81,4663.0,4970.0
2026-07-03 09:28:31,2,D[BCEGHIMNR]+S634_S6932_S648,"(1, 1, -9.4127, -8501.04, 1.348, 0.2345)",106.24,122.51,1.348,0.234,4,9.413,-8501.04,180,112.07,1.385,0.208,4,-903.15,4663.0,5907.0
2026-07-03 09:28:31,3,D[CEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.494, -8637.8, 1.336, 0.2325)",105.33,121.67,1.336,0.232,4,9.494,-8637.8,90,126.21,1.395,0.298,4,-698.17,1383.49,3227.0
2026-07-03 09:28:31,3,D[CEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.494, -8637.8, 1.336, 0.2325)",105.33,121.67,1.336,0.232,4,9.494,-8637.8,120,144.03,1.435,0.237,4,-723.0,4663.0,4122.0
2026-07-03 09:28:31,3,D[CEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.494, -8637.8, 1.336, 0.2325)",105.33,121.67,1.336,0.232,4,9.494,-8637.8,150,105.33,1.336,0.189,4,-723.0,4663.0,5141.0
2026-07-03 09:28:31,3,D[CEGHIMNPR]+S634_S6932_S648,"(1, 1, -9.494, -8637.8, 1.336, 0.2325)",105.33,121.67,1.336,0.232,4,9.494,-8637.8,180,111.12,1.372,0.206,4,-909.82,4663.0,6098.0
2026-07-03 09:28:31,4,D[CEGHIMNR]+S634_S6932_S648,"(1, 1, -9.5157, -8657.53, 1.346, 0.2318)",105.09,121.14,1.346,0.232,4,9.516,-8657.53,90,124.86,1.401,0.295,4,-648.92,1383.49,3115.0
2026-07-03 09:28:31,4,D[CEGHIMNR]+S634_S6932_S648,"(1, 1, -9.5157, -8657.53, 1.346, 0.2318)",105.09,121.14,1.346,0.232,4,9.516,-8657.53,120,143.67,1.446,0.237,4,-723.0,4663.0,3957.0
2026-07-03 09:28:31,4,D[CEGHIMNR]+S634_S6932_S648,"(1, 1, -9.5157, -8657.53, 1.346, 0.2318)",105.09,121.14,1.346,0.232,4,9.516,-8657.53,150,105.09,1.346,0.189,4,-723.0,4663.0,4926.0
2026-07-03 09:28:31,4,D[CEGHIMNR]+S634_S6932_S648,"(1, 1, -9.5157, -8657.53, 1.346, 0.2318)",105.09,121.14,1.346,0.232,4,9.516,-8657.53,180,110.96,1.382,0.206,4,-909.82,4663.0,5858.0
