timestamp,rank,label,w66,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 10:48:30,0,S81_BASELINE,,,339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,90,343.02,4.777,3,-965.96,2843.84,5487.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60
2026-07-03 10:48:30,0,S81_BASELINE,,,339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,120,366.24,4.607,3,-937.32,5164.4,7181.53,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67
2026-07-03 10:48:30,0,S81_BASELINE,,,339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,150,313.6,4.368,3,-936.75,2766.76,8551.1,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67
2026-07-03 10:48:30,0,S81_BASELINE,,,339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,180,336.41,4.37,3,-999.91,2766.76,10320.24,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97
2026-07-03 10:48:30,0,S66_ONLY,,,-0.44,-1.85,0.799,8,-75.14,0.03,42.4,551,90,1.2,1.162,5,-54.78,133.69,227.0,S66:108.07
2026-07-03 10:48:30,0,S66_ONLY,,,-0.44,-1.85,0.799,8,-75.14,0.03,42.4,551,120,-1.85,0.799,8,-75.14,133.69,298.0,S66:-222.49
2026-07-03 10:48:30,0,S66_ONLY,,,-0.44,-1.85,0.799,8,-75.14,0.03,42.4,551,150,-0.97,0.884,8,-75.14,133.69,373.0,S66:-145.89
2026-07-03 10:48:30,0,S66_ONLY,,,-0.44,-1.85,0.799,8,-75.14,0.03,42.4,551,180,-0.12,0.985,8,-75.14,133.69,458.0,S66:-22.05
2026-07-03 10:48:30,1,S81+S66x0,0.0,"(0, 339.818013, 313.597066, -999.9079, 4.36788, -3)",339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,90,343.02,4.777,3,-965.96,2843.84,5487.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60
2026-07-03 10:48:30,1,S81+S66x0,0.0,"(0, 339.818013, 313.597066, -999.9079, 4.36788, -3)",339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,120,366.24,4.607,3,-937.32,5164.4,7181.53,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67
2026-07-03 10:48:30,1,S81+S66x0,0.0,"(0, 339.818013, 313.597066, -999.9079, 4.36788, -3)",339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,150,313.6,4.368,3,-936.75,2766.76,8551.1,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67
2026-07-03 10:48:30,1,S81+S66x0,0.0,"(0, 339.818013, 313.597066, -999.9079, 4.36788, -3)",339.82,313.6,4.368,3,-999.91,0.19,55.01,9727,180,336.41,4.37,3,-999.91,2766.76,10320.24,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97
2026-07-03 10:48:30,2,S81+S66x1,1.0,"(0, 339.380912, 312.624466, -1054.5679, 4.352054, -4)",339.38,312.62,4.352,4,-1054.57,0.19,55.01,10278,90,344.22,4.744,4,-942.16,2814.7,5714.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S66:108.07;S69:1710.60
